POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
23019,23,19,Maine,Penobscot County,1045,1.0,45.0,Alabama,Dale County,9,15,ME
23005,23,5,Maine,Cumberland County,1089,1.0,89.0,Alabama,Madison County,7,11,ME
23015,23,15,Maine,Lincoln County,2261,2.0,261.0,Alaska,Valdez-Cordova Census Area,6,10,ME
23005,23,5,Maine,Cumberland County,4013,4.0,13.0,Arizona,Maricopa County,17,28,ME
23011,23,11,Maine,Kennebec County,4013,4.0,13.0,Arizona,Maricopa County,26,35,ME
23019,23,19,Maine,Penobscot County,4013,4.0,13.0,Arizona,Maricopa County,8,13,ME
23031,23,31,Maine,York County,4013,4.0,13.0,Arizona,Maricopa County,11,18,ME
23005,23,5,Maine,Cumberland County,4019,4.0,19.0,Arizona,Pima County,25,28,ME
23027,23,27,Maine,Waldo County,4019,4.0,19.0,Arizona,Pima County,29,45,ME
23021,23,21,Maine,Piscataquis County,5007,5.0,7.0,Arkansas,Benton County,3,4,ME
23005,23,5,Maine,Cumberland County,5053,5.0,53.0,Arkansas,Grant County,9,13,ME
23029,23,29,Maine,Washington County,6001,6.0,1.0,California,Alameda County,2,4,ME
23005,23,5,Maine,Cumberland County,6013,6.0,13.0,California,Contra Costa County,14,23,ME
23005,23,5,Maine,Cumberland County,6037,6.0,37.0,California,Los Angeles County,44,50,ME
23009,23,9,Maine,Hancock County,6037,6.0,37.0,California,Los Angeles County,1,3,ME
23023,23,23,Maine,Sagadahoc County,6037,6.0,37.0,California,Los Angeles County,3,4,ME
23029,23,29,Maine,Washington County,6037,6.0,37.0,California,Los Angeles County,1,5,ME
23003,23,3,Maine,Aroostook County,6059,6.0,59.0,California,Orange County,4,6,ME
23005,23,5,Maine,Cumberland County,6073,6.0,73.0,California,San Diego County,9,14,ME
23009,23,9,Maine,Hancock County,6073,6.0,73.0,California,San Diego County,2,3,ME
23011,23,11,Maine,Kennebec County,6073,6.0,73.0,California,San Diego County,12,12,ME
23019,23,19,Maine,Penobscot County,6073,6.0,73.0,California,San Diego County,3,4,ME
23023,23,23,Maine,Sagadahoc County,6073,6.0,73.0,California,San Diego County,5,8,ME
23027,23,27,Maine,Waldo County,6075,6.0,75.0,California,San Francisco County,3,4,ME
23005,23,5,Maine,Cumberland County,6085,6.0,85.0,California,Santa Clara County,8,13,ME
23019,23,19,Maine,Penobscot County,6103,6.0,103.0,California,Tehama County,4,6,ME
23031,23,31,Maine,York County,8041,8.0,41.0,Colorado,El Paso County,18,29,ME
23005,23,5,Maine,Cumberland County,9001,9.0,1.0,Connecticut,Fairfield County,52,47,ME
23007,23,7,Maine,Franklin County,9001,9.0,1.0,Connecticut,Fairfield County,3,4,ME
23013,23,13,Maine,Knox County,9001,9.0,1.0,Connecticut,Fairfield County,8,8,ME
23015,23,15,Maine,Lincoln County,9001,9.0,1.0,Connecticut,Fairfield County,2,3,ME
23025,23,25,Maine,Somerset County,9001,9.0,1.0,Connecticut,Fairfield County,3,4,ME
23029,23,29,Maine,Washington County,9001,9.0,1.0,Connecticut,Fairfield County,3,5,ME
23031,23,31,Maine,York County,9001,9.0,1.0,Connecticut,Fairfield County,16,18,ME
23003,23,3,Maine,Aroostook County,9003,9.0,3.0,Connecticut,Hartford County,4,7,ME
23005,23,5,Maine,Cumberland County,9003,9.0,3.0,Connecticut,Hartford County,9,15,ME
23009,23,9,Maine,Hancock County,9003,9.0,3.0,Connecticut,Hartford County,29,30,ME
23011,23,11,Maine,Kennebec County,9003,9.0,3.0,Connecticut,Hartford County,7,9,ME
23013,23,13,Maine,Knox County,9003,9.0,3.0,Connecticut,Hartford County,3,4,ME
23015,23,15,Maine,Lincoln County,9003,9.0,3.0,Connecticut,Hartford County,9,14,ME
23017,23,17,Maine,Oxford County,9003,9.0,3.0,Connecticut,Hartford County,9,13,ME
23025,23,25,Maine,Somerset County,9003,9.0,3.0,Connecticut,Hartford County,4,5,ME
23031,23,31,Maine,York County,9003,9.0,3.0,Connecticut,Hartford County,8,13,ME
23005,23,5,Maine,Cumberland County,9007,9.0,7.0,Connecticut,Middlesex County,23,34,ME
23019,23,19,Maine,Penobscot County,9007,9.0,7.0,Connecticut,Middlesex County,5,7,ME
23031,23,31,Maine,York County,9007,9.0,7.0,Connecticut,Middlesex County,10,15,ME
23001,23,1,Maine,Androscoggin County,9009,9.0,9.0,Connecticut,New Haven County,4,6,ME
23005,23,5,Maine,Cumberland County,9009,9.0,9.0,Connecticut,New Haven County,30,35,ME
23015,23,15,Maine,Lincoln County,9009,9.0,9.0,Connecticut,New Haven County,5,7,ME
23017,23,17,Maine,Oxford County,9009,9.0,9.0,Connecticut,New Haven County,2,3,ME
23021,23,21,Maine,Piscataquis County,9009,9.0,9.0,Connecticut,New Haven County,2,4,ME
23027,23,27,Maine,Waldo County,9009,9.0,9.0,Connecticut,New Haven County,9,16,ME
23005,23,5,Maine,Cumberland County,9011,9.0,11.0,Connecticut,New London County,17,26,ME
23009,23,9,Maine,Hancock County,9011,9.0,11.0,Connecticut,New London County,7,10,ME
23031,23,31,Maine,York County,9011,9.0,11.0,Connecticut,New London County,26,45,ME
23011,23,11,Maine,Kennebec County,9013,9.0,13.0,Connecticut,Tolland County,16,22,ME
23017,23,17,Maine,Oxford County,9013,9.0,13.0,Connecticut,Tolland County,5,6,ME
23007,23,7,Maine,Franklin County,10003,10.0,3.0,Delaware,New Castle County,4,5,ME
23031,23,31,Maine,York County,10005,10.0,5.0,Delaware,Sussex County,8,14,ME
23005,23,5,Maine,Cumberland County,11001,11.0,1.0,District of Columbia,District of Columbia,19,21,ME
23009,23,9,Maine,Hancock County,11001,11.0,1.0,District of Columbia,District of Columbia,3,4,ME
