POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
27099,27,99,Minnesota,Mower County,1073,1.0,73.0,Alabama,Jefferson County,17,26,MN
27169,27,169,Minnesota,Winona County,1073,1.0,73.0,Alabama,Jefferson County,2,5,MN
27077,27,77,Minnesota,Lake of the Woods County,1089,1.0,89.0,Alabama,Madison County,1,2,MN
27137,27,137,Minnesota,St. Louis County,1093,1.0,93.0,Alabama,Marion County,2,3,MN
27049,27,49,Minnesota,Goodhue County,1101,1.0,101.0,Alabama,Montgomery County,3,4,MN
27053,27,53,Minnesota,Hennepin County,2013,2.0,13.0,Alaska,Aleutians East Borough,6,11,MN
27095,27,95,Minnesota,Mille Lacs County,2016,2.0,16.0,Alaska,Aleutians West Census Area,1,3,MN
27003,27,3,Minnesota,Anoka County,2020,2.0,20.0,Alaska,Anchorage Municipality,10,16,MN
27009,27,9,Minnesota,Benton County,2020,2.0,20.0,Alaska,Anchorage Municipality,14,22,MN
27029,27,29,Minnesota,Clearwater County,2020,2.0,20.0,Alaska,Anchorage Municipality,1,3,MN
27053,27,53,Minnesota,Hennepin County,2020,2.0,20.0,Alaska,Anchorage Municipality,16,24,MN
27067,27,67,Minnesota,Kandiyohi County,2020,2.0,20.0,Alaska,Anchorage Municipality,2,2,MN
27071,27,71,Minnesota,Koochiching County,2020,2.0,20.0,Alaska,Anchorage Municipality,4,6,MN
27085,27,85,Minnesota,McLeod County,2020,2.0,20.0,Alaska,Anchorage Municipality,2,3,MN
27131,27,131,Minnesota,Rice County,2020,2.0,20.0,Alaska,Anchorage Municipality,3,4,MN
27137,27,137,Minnesota,St. Louis County,2020,2.0,20.0,Alaska,Anchorage Municipality,3,5,MN
27105,27,105,Minnesota,Nobles County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,2,2,MN
27131,27,131,Minnesota,Rice County,2110,2.0,110.0,Alaska,Juneau City and Borough,8,13,MN
27129,27,129,Minnesota,Renville County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,8,11,MN
27137,27,137,Minnesota,St. Louis County,2130,2.0,130.0,Alaska,Ketchikan Gateway Borough,3,4,MN
27005,27,5,Minnesota,Becker County,2185,2.0,185.0,Alaska,North Slope Borough,3,5,MN
27007,27,7,Minnesota,Beltrami County,2185,2.0,185.0,Alaska,North Slope Borough,2,3,MN
27013,27,13,Minnesota,Blue Earth County,2185,2.0,185.0,Alaska,North Slope Borough,2,3,MN
27035,27,35,Minnesota,Crow Wing County,2185,2.0,185.0,Alaska,North Slope Borough,2,3,MN
27043,27,43,Minnesota,Faribault County,2185,2.0,185.0,Alaska,North Slope Borough,1,2,MN
27055,27,55,Minnesota,Houston County,2185,2.0,185.0,Alaska,North Slope Borough,2,4,MN
27059,27,59,Minnesota,Isanti County,2185,2.0,185.0,Alaska,North Slope Borough,15,22,MN
27061,27,61,Minnesota,Itasca County,2185,2.0,185.0,Alaska,North Slope Borough,1,2,MN
27085,27,85,Minnesota,McLeod County,2185,2.0,185.0,Alaska,North Slope Borough,3,4,MN
27137,27,137,Minnesota,St. Louis County,2185,2.0,185.0,Alaska,North Slope Borough,6,10,MN
27145,27,145,Minnesota,Stearns County,2185,2.0,185.0,Alaska,North Slope Borough,9,14,MN
27171,27,171,Minnesota,Wright County,2185,2.0,185.0,Alaska,North Slope Borough,2,3,MN
27005,27,5,Minnesota,Becker County,2220,2.0,220.0,Alaska,Sitka City and Borough,2,3,MN
27123,27,123,Minnesota,Ramsey County,4003,4.0,3.0,Arizona,Cochise County,7,11,MN
27043,27,43,Minnesota,Faribault County,4005,4.0,5.0,Arizona,Coconino County,1,2,MN
27087,27,87,Minnesota,Mahnomen County,4005,4.0,5.0,Arizona,Coconino County,2,2,MN
27003,27,3,Minnesota,Anoka County,4013,4.0,13.0,Arizona,Maricopa County,17,20,MN
27021,27,21,Minnesota,Cass County,4013,4.0,13.0,Arizona,Maricopa County,6,8,MN
27035,27,35,Minnesota,Crow Wing County,4013,4.0,13.0,Arizona,Maricopa County,1,2,MN
27037,27,37,Minnesota,Dakota County,4013,4.0,13.0,Arizona,Maricopa County,20,24,MN
27047,27,47,Minnesota,Freeborn County,4013,4.0,13.0,Arizona,Maricopa County,4,6,MN
27049,27,49,Minnesota,Goodhue County,4013,4.0,13.0,Arizona,Maricopa County,2,4,MN
27053,27,53,Minnesota,Hennepin County,4013,4.0,13.0,Arizona,Maricopa County,6,10,MN
27067,27,67,Minnesota,Kandiyohi County,4013,4.0,13.0,Arizona,Maricopa County,3,4,MN
27109,27,109,Minnesota,Olmsted County,4013,4.0,13.0,Arizona,Maricopa County,36,50,MN
27111,27,111,Minnesota,Otter Tail County,4013,4.0,13.0,Arizona,Maricopa County,3,4,MN
27121,27,121,Minnesota,Pope County,4013,4.0,13.0,Arizona,Maricopa County,2,4,MN
27123,27,123,Minnesota,Ramsey County,4013,4.0,13.0,Arizona,Maricopa County,13,17,MN
27163,27,163,Minnesota,Washington County,4013,4.0,13.0,Arizona,Maricopa County,14,15,MN
27027,27,27,Minnesota,Clay County,4015,4.0,15.0,Arizona,Mohave County,11,18,MN
27003,27,3,Minnesota,Anoka County,4019,4.0,19.0,Arizona,Pima County,18,20,MN
27137,27,137,Minnesota,St. Louis County,4019,4.0,19.0,Arizona,Pima County,1,2,MN
27139,27,139,Minnesota,Scott County,4019,4.0,19.0,Arizona,Pima County,18,29,MN
27137,27,137,Minnesota,St. Louis County,4021,4.0,21.0,Arizona,Pinal County,2,2,MN
27143,27,143,Minnesota,Sibley County,4025,4.0,25.0,Arizona,Yavapai County,2,3,MN
27137,27,137,Minnesota,St. Louis County,4027,4.0,27.0,Arizona,Yuma County,8,11,MN
27053,27,53,Minnesota,Hennepin County,5007,5.0,7.0,Arkansas,Benton County,17,28,MN
27163,27,163,Minnesota,Washington County,5007,5.0,7.0,Arkansas,Benton County,9,15,MN
27081,27,81,Minnesota,Lincoln County,5039,5.0,39.0,Arkansas,Dallas County,2,2,MN
27053,27,53,Minnesota,Hennepin County,5119,5.0,119.0,Arkansas,Pulaski County,17,26,MN
27061,27,61,Minnesota,Itasca County,5119,5.0,119.0,Arkansas,Pulaski County,1,2,MN
27163,27,163,Minnesota,Washington County,5119,5.0,119.0,Arkansas,Pulaski County,3,4,MN
27109,27,109,Minnesota,Olmsted County,5123,5.0,123.0,Arkansas,St. Francis County,21,29,MN
