POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
29189,29,189,Missouri,St. Louis County,1003,1.0,3.0,Alabama,Baldwin County,11,18,MO
29189,29,189,Missouri,St. Louis County,1027,1.0,27.0,Alabama,Clay County,7,11,MO
29029,29,29,Missouri,Camden County,1035,1.0,35.0,Alabama,Conecuh County,9,12,MO
29115,29,115,Missouri,Linn County,1073,1.0,73.0,Alabama,Jefferson County,4,7,MO
29189,29,189,Missouri,St. Louis County,1089,1.0,89.0,Alabama,Madison County,24,28,MO
29029,29,29,Missouri,Camden County,1091,1.0,91.0,Alabama,Marengo County,10,16,MO
29115,29,115,Missouri,Linn County,1097,1.0,97.0,Alabama,Mobile County,7,10,MO
29209,29,209,Missouri,Stone County,1097,1.0,97.0,Alabama,Mobile County,3,5,MO
29097,29,97,Missouri,Jasper County,1117,1.0,117.0,Alabama,Shelby County,12,20,MO
29165,29,165,Missouri,Platte County,2020,2.0,20.0,Alaska,Anchorage Municipality,11,16,MO
29189,29,189,Missouri,St. Louis County,2020,2.0,20.0,Alaska,Anchorage Municipality,4,6,MO
29153,29,153,Missouri,Ozark County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,16,25,MO
29133,29,133,Missouri,Mississippi County,2170,2.0,170.0,Alaska,Matanuska-Susitna Borough,10,15,MO
29043,29,43,Missouri,Christian County,2185,2.0,185.0,Alaska,North Slope Borough,2,4,MO
29021,29,21,Missouri,Buchanan County,4003,4.0,3.0,Arizona,Cochise County,4,6,MO
29047,29,47,Missouri,Clay County,4013,4.0,13.0,Arizona,Maricopa County,29,29,MO
29079,29,79,Missouri,Grundy County,4013,4.0,13.0,Arizona,Maricopa County,1,3,MO
29087,29,87,Missouri,Holt County,4013,4.0,13.0,Arizona,Maricopa County,3,4,MO
29091,29,91,Missouri,Howell County,4013,4.0,13.0,Arizona,Maricopa County,19,23,MO
29095,29,95,Missouri,Jackson County,4013,4.0,13.0,Arizona,Maricopa County,63,67,MO
29099,29,99,Missouri,Jefferson County,4013,4.0,13.0,Arizona,Maricopa County,4,6,MO
29109,29,109,Missouri,Lawrence County,4013,4.0,13.0,Arizona,Maricopa County,14,19,MO
