POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
37119,37,119,North Carolina,Mecklenburg County,1003,1.0,3.0,Alabama,Baldwin County,26,41,NC
37097,37,97,North Carolina,Iredell County,1005,1.0,5.0,Alabama,Barbour County,10,14,NC
37155,37,155,North Carolina,Robeson County,1015,1.0,15.0,Alabama,Calhoun County,17,27,NC
37167,37,167,North Carolina,Stanly County,1043,1.0,43.0,Alabama,Cullman County,2,4,NC
37039,37,39,North Carolina,Cherokee County,1069,1.0,69.0,Alabama,Houston County,19,30,NC
37023,37,23,North Carolina,Burke County,1073,1.0,73.0,Alabama,Jefferson County,7,11,NC
37037,37,37,North Carolina,Chatham County,1073,1.0,73.0,Alabama,Jefferson County,10,17,NC
37047,37,47,North Carolina,Columbus County,1073,1.0,73.0,Alabama,Jefferson County,1,3,NC
37051,37,51,North Carolina,Cumberland County,1073,1.0,73.0,Alabama,Jefferson County,14,21,NC
37067,37,67,North Carolina,Forsyth County,1073,1.0,73.0,Alabama,Jefferson County,18,24,NC
37081,37,81,North Carolina,Guilford County,1073,1.0,73.0,Alabama,Jefferson County,8,10,NC
37097,37,97,North Carolina,Iredell County,1073,1.0,73.0,Alabama,Jefferson County,17,26,NC
37119,37,119,North Carolina,Mecklenburg County,1073,1.0,73.0,Alabama,Jefferson County,16,25,NC
37131,37,131,North Carolina,Northampton County,1073,1.0,73.0,Alabama,Jefferson County,12,20,NC
37183,37,183,North Carolina,Wake County,1073,1.0,73.0,Alabama,Jefferson County,9,15,NC
37199,37,199,North Carolina,Yancey County,1073,1.0,73.0,Alabama,Jefferson County,10,16,NC
37035,37,35,North Carolina,Catawba County,1081,1.0,81.0,Alabama,Lee County,16,26,NC
37021,37,21,North Carolina,Buncombe County,1089,1.0,89.0,Alabama,Madison County,21,32,NC
37087,37,87,North Carolina,Haywood County,1089,1.0,89.0,Alabama,Madison County,15,18,NC
37089,37,89,North Carolina,Henderson County,1089,1.0,89.0,Alabama,Madison County,32,55,NC
37109,37,109,North Carolina,Lincoln County,1089,1.0,89.0,Alabama,Madison County,25,39,NC
37119,37,119,North Carolina,Mecklenburg County,1089,1.0,89.0,Alabama,Madison County,17,28,NC
37197,37,197,North Carolina,Yadkin County,1093,1.0,93.0,Alabama,Marion County,4,7,NC
37119,37,119,North Carolina,Mecklenburg County,1097,1.0,97.0,Alabama,Mobile County,54,46,NC
37057,37,57,North Carolina,Davidson County,1099,1.0,99.0,Alabama,Monroe County,11,20,NC
37085,37,85,North Carolina,Harnett County,1101,1.0,101.0,Alabama,Montgomery County,3,4,NC
37097,37,97,North Carolina,Iredell County,1101,1.0,101.0,Alabama,Montgomery County,17,26,NC
37105,37,105,North Carolina,Lee County,1101,1.0,101.0,Alabama,Montgomery County,18,19,NC
37119,37,119,North Carolina,Mecklenburg County,1101,1.0,101.0,Alabama,Montgomery County,27,43,NC
37071,37,71,North Carolina,Gaston County,1109,1.0,109.0,Alabama,Pike County,38,54,NC
37119,37,119,North Carolina,Mecklenburg County,1113,1.0,113.0,Alabama,Russell County,15,22,NC
37119,37,119,North Carolina,Mecklenburg County,1117,1.0,117.0,Alabama,Shelby County,34,53,NC
37119,37,119,North Carolina,Mecklenburg County,1125,1.0,125.0,Alabama,Tuscaloosa County,5,10,NC
37133,37,133,North Carolina,Onslow County,1125,1.0,125.0,Alabama,Tuscaloosa County,20,33,NC
37119,37,119,North Carolina,Mecklenburg County,2020,2.0,20.0,Alaska,Anchorage Municipality,53,57,NC
37023,37,23,North Carolina,Burke County,2060,2.0,60.0,Alaska,Bristol Bay Borough,14,22,NC
37063,37,63,North Carolina,Durham County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,29,44,NC
37087,37,87,North Carolina,Haywood County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,35,56,NC
37141,37,141,North Carolina,Pender County,2100,2.0,100.0,Alaska,Haines Borough,16,26,NC
37105,37,105,North Carolina,Lee County,2105,2.0,105.0,Alaska,Hoonah-Angoon Census Area,10,15,NC
37051,37,51,North Carolina,Cumberland County,4003,4.0,3.0,Arizona,Cochise County,15,20,NC
37081,37,81,North Carolina,Guilford County,4003,4.0,3.0,Arizona,Cochise County,7,11,NC
37183,37,183,North Carolina,Wake County,4003,4.0,3.0,Arizona,Cochise County,12,20,NC
