POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
35001,35,1,New Mexico,Bernalillo County,1073,1.0,73.0,Alabama,Jefferson County,1,10,NM
35049,35,49,New Mexico,Santa Fe County,1089,1.0,89.0,Alabama,Madison County,2,3,NM
35031,35,31,New Mexico,McKinley County,2180,2.0,180.0,Alaska,Nome Census Area,2,4,NM
35001,35,1,New Mexico,Bernalillo County,2185,2.0,185.0,Alaska,North Slope Borough,17,27,NM
35001,35,1,New Mexico,Bernalillo County,4001,4.0,1.0,Arizona,Apache County,28,28,NM
35003,35,3,New Mexico,Catron County,4001,4.0,1.0,Arizona,Apache County,33,33,NM
35006,35,6,New Mexico,Cibola County,4001,4.0,1.0,Arizona,Apache County,4,6,NM
35031,35,31,New Mexico,McKinley County,4001,4.0,1.0,Arizona,Apache County,780,128,NM
35045,35,45,New Mexico,San Juan County,4001,4.0,1.0,Arizona,Apache County,223,59,NM
35001,35,1,New Mexico,Bernalillo County,4003,4.0,3.0,Arizona,Cochise County,9,14,NM
35003,35,3,New Mexico,Catron County,4003,4.0,3.0,Arizona,Cochise County,15,25,NM
35017,35,17,New Mexico,Grant County,4003,4.0,3.0,Arizona,Cochise County,41,53,NM
35023,35,23,New Mexico,Hidalgo County,4003,4.0,3.0,Arizona,Cochise County,63,40,NM
35029,35,29,New Mexico,Luna County,4003,4.0,3.0,Arizona,Cochise County,48,58,NM
35061,35,61,New Mexico,Valencia County,4003,4.0,3.0,Arizona,Cochise County,14,24,NM
35005,35,5,New Mexico,Chaves County,4005,4.0,5.0,Arizona,Coconino County,38,54,NM
35013,35,13,New Mexico,Doña Ana County,4005,4.0,5.0,Arizona,Coconino County,3,6,NM
35031,35,31,New Mexico,McKinley County,4005,4.0,5.0,Arizona,Coconino County,6,8,NM
35045,35,45,New Mexico,San Juan County,4005,4.0,5.0,Arizona,Coconino County,2,3,NM
35049,35,49,New Mexico,Santa Fe County,4005,4.0,5.0,Arizona,Coconino County,9,14,NM
35061,35,61,New Mexico,Valencia County,4005,4.0,5.0,Arizona,Coconino County,7,12,NM
35013,35,13,New Mexico,Doña Ana County,4007,4.0,7.0,Arizona,Gila County,17,26,NM
35023,35,23,New Mexico,Hidalgo County,4009,4.0,9.0,Arizona,Graham County,10,10,NM
35027,35,27,New Mexico,Lincoln County,4009,4.0,9.0,Arizona,Graham County,2,3,NM
35029,35,29,New Mexico,Luna County,4009,4.0,9.0,Arizona,Graham County,43,33,NM
35003,35,3,New Mexico,Catron County,4011,4.0,11.0,Arizona,Greenlee County,6,10,NM
35017,35,17,New Mexico,Grant County,4011,4.0,11.0,Arizona,Greenlee County,20,23,NM
35023,35,23,New Mexico,Hidalgo County,4011,4.0,11.0,Arizona,Greenlee County,158,71,NM
35029,35,29,New Mexico,Luna County,4011,4.0,11.0,Arizona,Greenlee County,68,58,NM
35031,35,31,New Mexico,McKinley County,4011,4.0,11.0,Arizona,Greenlee County,13,10,NM
35045,35,45,New Mexico,San Juan County,4011,4.0,11.0,Arizona,Greenlee County,2,3,NM
35061,35,61,New Mexico,Valencia County,4011,4.0,11.0,Arizona,Greenlee County,22,32,NM
35001,35,1,New Mexico,Bernalillo County,4013,4.0,13.0,Arizona,Maricopa County,139,65,NM
