POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
32003,32,3,Nevada,Clark County,1089,1.0,89.0,Alabama,Madison County,11,17,NV
32003,32,3,Nevada,Clark County,2020,2.0,20.0,Alaska,Anchorage Municipality,46,44,NV
32021,32,21,Nevada,Mineral County,2020,2.0,20.0,Alaska,Anchorage Municipality,7,11,NV
32003,32,3,Nevada,Clark County,2068,2.0,68.0,Alaska,Denali Borough,10,19,NV
32003,32,3,Nevada,Clark County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,27,28,NV
32005,32,5,Nevada,Douglas County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,1,2,NV
32510,32,510,Nevada,Carson City,2170,2.0,170.0,Alaska,Matanuska-Susitna Borough,39,49,NV
32003,32,3,Nevada,Clark County,2185,2.0,185.0,Alaska,North Slope Borough,68,68,NV
32031,32,31,Nevada,Washoe County,2185,2.0,185.0,Alaska,North Slope Borough,8,14,NV
32019,32,19,Nevada,Lyon County,2240,2.0,240.0,Alaska,Southeast Fairbanks Census Area,11,20,NV
32003,32,3,Nevada,Clark County,4005,4.0,5.0,Arizona,Coconino County,8,13,NV
32021,32,21,Nevada,Mineral County,4007,4.0,7.0,Arizona,Gila County,8,14,NV
32003,32,3,Nevada,Clark County,4009,4.0,9.0,Arizona,Graham County,4,11,NV
32003,32,3,Nevada,Clark County,4012,4.0,12.0,Arizona,La Paz County,14,18,NV
32003,32,3,Nevada,Clark County,4013,4.0,13.0,Arizona,Maricopa County,274,115,NV
32019,32,19,Nevada,Lyon County,4013,4.0,13.0,Arizona,Maricopa County,34,52,NV
32031,32,31,Nevada,Washoe County,4013,4.0,13.0,Arizona,Maricopa County,20,23,NV
32003,32,3,Nevada,Clark County,4015,4.0,15.0,Arizona,Mohave County,902,182,NV
32031,32,31,Nevada,Washoe County,4015,4.0,15.0,Arizona,Mohave County,15,22,NV
32003,32,3,Nevada,Clark County,4017,4.0,17.0,Arizona,Navajo County,11,18,NV
32007,32,7,Nevada,Elko County,4017,4.0,17.0,Arizona,Navajo County,5,8,NV
32003,32,3,Nevada,Clark County,4019,4.0,19.0,Arizona,Pima County,67,60,NV
32003,32,3,Nevada,Clark County,4025,4.0,25.0,Arizona,Yavapai County,9,18,NV
32031,32,31,Nevada,Washoe County,4025,4.0,25.0,Arizona,Yavapai County,10,19,NV
32003,32,3,Nevada,Clark County,5119,5.0,119.0,Arkansas,Pulaski County,6,9,NV
32003,32,3,Nevada,Clark County,6001,6.0,1.0,California,Alameda County,159,88,NV
32019,32,19,Nevada,Lyon County,6001,6.0,1.0,California,Alameda County,9,16,NV
32031,32,31,Nevada,Washoe County,6001,6.0,1.0,California,Alameda County,214,90,NV
32005,32,5,Nevada,Douglas County,6003,6.0,3.0,California,Alpine County,108,74,NV
32031,32,31,Nevada,Washoe County,6003,6.0,3.0,California,Alpine County,19,30,NV
32510,32,510,Nevada,Carson City,6003,6.0,3.0,California,Alpine County,7,11,NV
32031,32,31,Nevada,Washoe County,6005,6.0,5.0,California,Amador County,14,19,NV
32003,32,3,Nevada,Clark County,6007,6.0,7.0,California,Butte County,21,23,NV
32031,32,31,Nevada,Washoe County,6007,6.0,7.0,California,Butte County,15,26,NV
32003,32,3,Nevada,Clark County,6013,6.0,13.0,California,Contra Costa County,25,25,NV
32005,32,5,Nevada,Douglas County,6013,6.0,13.0,California,Contra Costa County,55,55,NV
32019,32,19,Nevada,Lyon County,6013,6.0,13.0,California,Contra Costa County,29,46,NV
32031,32,31,Nevada,Washoe County,6013,6.0,13.0,California,Contra Costa County,91,65,NV
32003,32,3,Nevada,Clark County,6017,6.0,17.0,California,El Dorado County,8,12,NV
32005,32,5,Nevada,Douglas County,6017,6.0,17.0,California,El Dorado County,1294,284,NV
32031,32,31,Nevada,Washoe County,6017,6.0,17.0,California,El Dorado County,408,153,NV
32510,32,510,Nevada,Carson City,6017,6.0,17.0,California,El Dorado County,82,64,NV
32003,32,3,Nevada,Clark County,6019,6.0,19.0,California,Fresno County,72,63,NV
32005,32,5,Nevada,Douglas County,6019,6.0,19.0,California,Fresno County,2,2,NV
32019,32,19,Nevada,Lyon County,6019,6.0,19.0,California,Fresno County,14,25,NV
32031,32,31,Nevada,Washoe County,6019,6.0,19.0,California,Fresno County,67,61,NV
32510,32,510,Nevada,Carson City,6019,6.0,19.0,California,Fresno County,8,12,NV
32031,32,31,Nevada,Washoe County,6025,6.0,25.0,California,Imperial County,12,19,NV
32001,32,1,Nevada,Churchill County,6027,6.0,27.0,California,Inyo County,1,2,NV
32005,32,5,Nevada,Douglas County,6027,6.0,27.0,California,Inyo County,4,5,NV
32023,32,23,Nevada,Nye County,6027,6.0,27.0,California,Inyo County,60,54,NV
32031,32,31,Nevada,Washoe County,6027,6.0,27.0,California,Inyo County,5,10,NV
32510,32,510,Nevada,Carson City,6027,6.0,27.0,California,Inyo County,5,10,NV
32001,32,1,Nevada,Churchill County,6029,6.0,29.0,California,Kern County,1,13,NV
32003,32,3,Nevada,Clark County,6029,6.0,29.0,California,Kern County,161,121,NV
32023,32,23,Nevada,Nye County,6029,6.0,29.0,California,Kern County,9,14,NV
32001,32,1,Nevada,Churchill County,6031,6.0,31.0,California,Kings County,5,7,NV
32003,32,3,Nevada,Clark County,6031,6.0,31.0,California,Kings County,24,36,NV
32031,32,31,Nevada,Washoe County,6033,6.0,33.0,California,Lake County,26,36,NV
32510,32,510,Nevada,Carson City,6033,6.0,33.0,California,Lake County,9,15,NV
32031,32,31,Nevada,Washoe County,6035,6.0,35.0,California,Lassen County,1091,291,NV
32001,32,1,Nevada,Churchill County,6037,6.0,37.0,California,Los Angeles County,6,8,NV
32003,32,3,Nevada,Clark County,6037,6.0,37.0,California,Los Angeles County,1571,296,NV
32005,32,5,Nevada,Douglas County,6037,6.0,37.0,California,Los Angeles County,29,23,NV
32019,32,19,Nevada,Lyon County,6037,6.0,37.0,California,Los Angeles County,19,32,NV
32023,32,23,Nevada,Nye County,6037,6.0,37.0,California,Los Angeles County,15,25,NV
32031,32,31,Nevada,Washoe County,6037,6.0,37.0,California,Los Angeles County,149,75,NV
32510,32,510,Nevada,Carson City,6037,6.0,37.0,California,Los Angeles County,12,20,NV
32003,32,3,Nevada,Clark County,6039,6.0,39.0,California,Madera County,22,28,NV
32003,32,3,Nevada,Clark County,6041,6.0,41.0,California,Marin County,8,13,NV
32023,32,23,Nevada,Nye County,6041,6.0,41.0,California,Marin County,42,63,NV
32031,32,31,Nevada,Washoe County,6041,6.0,41.0,California,Marin County,64,46,NV
32005,32,5,Nevada,Douglas County,6043,6.0,43.0,California,Mariposa County,3,5,NV
32510,32,510,Nevada,Carson City,6043,6.0,43.0,California,Mariposa County,14,23,NV
32003,32,3,Nevada,Clark County,6047,6.0,47.0,California,Merced County,5,7,NV
32005,32,5,Nevada,Douglas County,6047,6.0,47.0,California,Merced County,49,53,NV
32031,32,31,Nevada,Washoe County,6049,6.0,49.0,California,Modoc County,8,13,NV
32005,32,5,Nevada,Douglas County,6051,6.0,51.0,California,Mono County,269,108,NV
32019,32,19,Nevada,Lyon County,6051,6.0,51.0,California,Mono County,76,86,NV
32031,32,31,Nevada,Washoe County,6051,6.0,51.0,California,Mono County,6,11,NV
32019,32,19,Nevada,Lyon County,6053,6.0,53.0,California,Monterey County,28,43,NV
32031,32,31,Nevada,Washoe County,6053,6.0,53.0,California,Monterey County,30,34,NV
32510,32,510,Nevada,Carson City,6053,6.0,53.0,California,Monterey County,20,30,NV
32003,32,3,Nevada,Clark County,6055,6.0,55.0,California,Napa County,13,24,NV
32003,32,3,Nevada,Clark County,6057,6.0,57.0,California,Nevada County,21,32,NV
32005,32,5,Nevada,Douglas County,6057,6.0,57.0,California,Nevada County,8,13,NV
32031,32,31,Nevada,Washoe County,6057,6.0,57.0,California,Nevada County,1640,367,NV
32003,32,3,Nevada,Clark County,6059,6.0,59.0,California,Orange County,270,121,NV
32015,32,15,Nevada,Lander County,6059,6.0,59.0,California,Orange County,28,40,NV
32023,32,23,Nevada,Nye County,6059,6.0,59.0,California,Orange County,34,54,NV
32031,32,31,Nevada,Washoe County,6059,6.0,59.0,California,Orange County,29,37,NV
32005,32,5,Nevada,Douglas County,6061,6.0,61.0,California,Placer County,104,74,NV
