POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
36061,36,61,New York,New York County,1039,1.0,39.0,Alabama,Covington County,10,41,NY
36045,36,45,New York,Jefferson County,1045,1.0,45.0,Alabama,Dale County,8,12,NY
36031,36,31,New York,Essex County,1069,1.0,69.0,Alabama,Houston County,6,9,NY
36013,36,13,New York,Chautauqua County,1073,1.0,73.0,Alabama,Jefferson County,23,34,NY
36047,36,47,New York,Kings County,1073,1.0,73.0,Alabama,Jefferson County,21,23,NY
36063,36,63,New York,Niagara County,1073,1.0,73.0,Alabama,Jefferson County,12,21,NY
36095,36,95,New York,Schoharie County,1073,1.0,73.0,Alabama,Jefferson County,6,8,NY
36047,36,47,New York,Kings County,1089,1.0,89.0,Alabama,Madison County,16,24,NY
36081,36,81,New York,Queens County,1089,1.0,89.0,Alabama,Madison County,28,35,NY
36111,36,111,New York,Ulster County,1089,1.0,89.0,Alabama,Madison County,13,21,NY
36047,36,47,New York,Kings County,1097,1.0,97.0,Alabama,Mobile County,6,9,NY
36105,36,105,New York,Sullivan County,1101,1.0,101.0,Alabama,Montgomery County,4,5,NY
36085,36,85,New York,Richmond County,1117,1.0,117.0,Alabama,Shelby County,44,46,NY
36059,36,59,New York,Nassau County,2020,2.0,20.0,Alaska,Anchorage Municipality,4,8,NY
36061,36,61,New York,New York County,2020,2.0,20.0,Alaska,Anchorage Municipality,10,16,NY
36101,36,101,New York,Steuben County,2150,2.0,150.0,Alaska,Kodiak Island Borough,7,9,NY
36081,36,81,New York,Queens County,4003,4.0,3.0,Arizona,Cochise County,8,19,NY
36087,36,87,New York,Rockland County,4005,4.0,5.0,Arizona,Coconino County,4,6,NY
36103,36,103,New York,Suffolk County,4012,4.0,12.0,Arizona,La Paz County,11,20,NY
36005,36,5,New York,Bronx County,4013,4.0,13.0,Arizona,Maricopa County,16,24,NY
36029,36,29,New York,Erie County,4013,4.0,13.0,Arizona,Maricopa County,39,40,NY
36045,36,45,New York,Jefferson County,4013,4.0,13.0,Arizona,Maricopa County,5,9,NY
36047,36,47,New York,Kings County,4013,4.0,13.0,Arizona,Maricopa County,24,21,NY
36059,36,59,New York,Nassau County,4013,4.0,13.0,Arizona,Maricopa County,9,14,NY
36061,36,61,New York,New York County,4013,4.0,13.0,Arizona,Maricopa County,46,51,NY
36099,36,99,New York,Seneca County,4013,4.0,13.0,Arizona,Maricopa County,18,27,NY
36103,36,103,New York,Suffolk County,4013,4.0,13.0,Arizona,Maricopa County,4,6,NY
36031,36,31,New York,Essex County,4019,4.0,19.0,Arizona,Pima County,3,4,NY
36047,36,47,New York,Kings County,4019,4.0,19.0,Arizona,Pima County,21,33,NY
36109,36,109,New York,Tompkins County,4019,4.0,19.0,Arizona,Pima County,12,18,NY
