POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
39049,39,49,Ohio,Franklin County,1033,1.0,33.0,Alabama,Colbert County,6,9,OH
39135,39,135,Ohio,Preble County,1051,1.0,51.0,Alabama,Elmore County,61,93,OH
39015,39,15,Ohio,Brown County,1073,1.0,73.0,Alabama,Jefferson County,26,35,OH
39035,39,35,Ohio,Cuyahoga County,1073,1.0,73.0,Alabama,Jefferson County,17,27,OH
39049,39,49,Ohio,Franklin County,1073,1.0,73.0,Alabama,Jefferson County,33,44,OH
39055,39,55,Ohio,Geauga County,1073,1.0,73.0,Alabama,Jefferson County,17,28,OH
39081,39,81,Ohio,Jefferson County,1073,1.0,73.0,Alabama,Jefferson County,10,17,OH
39103,39,103,Ohio,Medina County,1073,1.0,73.0,Alabama,Jefferson County,7,13,OH
39151,39,151,Ohio,Stark County,1073,1.0,73.0,Alabama,Jefferson County,35,40,OH
39157,39,157,Ohio,Tuscarawas County,1073,1.0,73.0,Alabama,Jefferson County,4,6,OH
39041,39,41,Ohio,Delaware County,1089,1.0,89.0,Alabama,Madison County,13,21,OH
39057,39,57,Ohio,Greene County,1089,1.0,89.0,Alabama,Madison County,10,17,OH
39139,39,139,Ohio,Richland County,1089,1.0,89.0,Alabama,Madison County,10,16,OH
39169,39,169,Ohio,Wayne County,1089,1.0,89.0,Alabama,Madison County,7,12,OH
39061,39,61,Ohio,Hamilton County,1095,1.0,95.0,Alabama,Marshall County,6,8,OH
39113,39,113,Ohio,Montgomery County,1097,1.0,97.0,Alabama,Mobile County,12,20,OH
39061,39,61,Ohio,Hamilton County,1101,1.0,101.0,Alabama,Montgomery County,51,74,OH
39035,39,35,Ohio,Cuyahoga County,1117,1.0,117.0,Alabama,Shelby County,7,11,OH
39017,39,17,Ohio,Butler County,2020,2.0,20.0,Alaska,Anchorage Municipality,16,14,OH
39023,39,23,Ohio,Clark County,2020,2.0,20.0,Alaska,Anchorage Municipality,8,13,OH
39029,39,29,Ohio,Columbiana County,2020,2.0,20.0,Alaska,Anchorage Municipality,10,15,OH
39061,39,61,Ohio,Hamilton County,2020,2.0,20.0,Alaska,Anchorage Municipality,25,34,OH
39153,39,153,Ohio,Summit County,2020,2.0,20.0,Alaska,Anchorage Municipality,24,34,OH
39167,39,167,Ohio,Washington County,2185,2.0,185.0,Alaska,North Slope Borough,8,13,OH
39025,39,25,Ohio,Clermont County,4001,4.0,1.0,Arizona,Apache County,21,32,OH
39035,39,35,Ohio,Cuyahoga County,4001,4.0,1.0,Arizona,Apache County,15,22,OH
39079,39,79,Ohio,Jackson County,4001,4.0,1.0,Arizona,Apache County,51,81,OH
39035,39,35,Ohio,Cuyahoga County,4013,4.0,13.0,Arizona,Maricopa County,10,18,OH
39037,39,37,Ohio,Darke County,4013,4.0,13.0,Arizona,Maricopa County,46,73,OH
39041,39,41,Ohio,Delaware County,4013,4.0,13.0,Arizona,Maricopa County,7,11,OH
