POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
42003,42,3,Pennsylvania,Allegheny County,1015,1.0,15.0,Alabama,Calhoun County,3,5,PA
42047,42,47,Pennsylvania,Elk County,1015,1.0,15.0,Alabama,Calhoun County,5,7,PA
42007,42,7,Pennsylvania,Beaver County,1045,1.0,45.0,Alabama,Dale County,2,4,PA
42017,42,17,Pennsylvania,Bucks County,1055,1.0,55.0,Alabama,Etowah County,29,42,PA
42003,42,3,Pennsylvania,Allegheny County,1073,1.0,73.0,Alabama,Jefferson County,16,17,PA
42007,42,7,Pennsylvania,Beaver County,1073,1.0,73.0,Alabama,Jefferson County,8,12,PA
42021,42,21,Pennsylvania,Cambria County,1073,1.0,73.0,Alabama,Jefferson County,4,6,PA
42041,42,41,Pennsylvania,Cumberland County,1073,1.0,73.0,Alabama,Jefferson County,7,11,PA
42075,42,75,Pennsylvania,Lebanon County,1073,1.0,73.0,Alabama,Jefferson County,3,6,PA
42091,42,91,Pennsylvania,Montgomery County,1073,1.0,73.0,Alabama,Jefferson County,19,20,PA
42029,42,29,Pennsylvania,Chester County,1089,1.0,89.0,Alabama,Madison County,12,18,PA
42103,42,103,Pennsylvania,Pike County,1089,1.0,89.0,Alabama,Madison County,11,17,PA
42133,42,133,Pennsylvania,York County,1089,1.0,89.0,Alabama,Madison County,1,3,PA
42003,42,3,Pennsylvania,Allegheny County,1097,1.0,97.0,Alabama,Mobile County,13,21,PA
42007,42,7,Pennsylvania,Beaver County,1097,1.0,97.0,Alabama,Mobile County,11,17,PA
42009,42,9,Pennsylvania,Bedford County,1097,1.0,97.0,Alabama,Mobile County,3,4,PA
42129,42,129,Pennsylvania,Westmoreland County,1097,1.0,97.0,Alabama,Mobile County,66,86,PA
42071,42,71,Pennsylvania,Lancaster County,1117,1.0,117.0,Alabama,Shelby County,25,27,PA
42105,42,105,Pennsylvania,Potter County,1121,1.0,121.0,Alabama,Talladega County,2,3,PA
42011,42,11,Pennsylvania,Berks County,2020,2.0,20.0,Alaska,Anchorage Municipality,3,5,PA
42067,42,67,Pennsylvania,Juniata County,2020,2.0,20.0,Alaska,Anchorage Municipality,5,7,PA
42095,42,95,Pennsylvania,Northampton County,2020,2.0,20.0,Alaska,Anchorage Municipality,17,26,PA
42129,42,129,Pennsylvania,Westmoreland County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,5,7,PA
42125,42,125,Pennsylvania,Washington County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,6,9,PA
42033,42,33,Pennsylvania,Clearfield County,2185,2.0,185.0,Alaska,North Slope Borough,22,34,PA
42041,42,41,Pennsylvania,Cumberland County,2185,2.0,185.0,Alaska,North Slope Borough,5,8,PA
42123,42,123,Pennsylvania,Warren County,2185,2.0,185.0,Alaska,North Slope Borough,4,7,PA
42103,42,103,Pennsylvania,Pike County,2220,2.0,220.0,Alaska,Sitka City and Borough,2,3,PA
42091,42,91,Pennsylvania,Montgomery County,2261,2.0,261.0,Alaska,Valdez-Cordova Census Area,11,16,PA
