POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
72025,72,25,Puerto Rico,Caguas Municipio,5007,5.0,7.0,Arkansas,Benton County,30,47,PR
72151,72,151,Puerto Rico,Yabucoa Municipio,5143,5.0,143.0,Arkansas,Washington County,54,79,PR
72031,72,31,Puerto Rico,Carolina Municipio,6037,6.0,37.0,California,Los Angeles County,18,20,PR
72071,72,71,Puerto Rico,Isabela Municipio,6037,6.0,37.0,California,Los Angeles County,31,49,PR
72021,72,21,Puerto Rico,Bayamón Municipio,6081,6.0,81.0,California,San Mateo County,13,19,PR
72061,72,61,Puerto Rico,Guaynabo Municipio,9001,9.0,1.0,Connecticut,Fairfield County,37,60,PR
72029,72,29,Puerto Rico,Canóvanas Municipio,11001,11.0,1.0,District of Columbia,District of Columbia,9,16,PR
72031,72,31,Puerto Rico,Carolina Municipio,11001,11.0,1.0,District of Columbia,District of Columbia,10,15,PR
72021,72,21,Puerto Rico,Bayamón Municipio,12011,12.0,11.0,Florida,Broward County,8,13,PR
72031,72,31,Puerto Rico,Carolina Municipio,12011,12.0,11.0,Florida,Broward County,9,14,PR
72061,72,61,Puerto Rico,Guaynabo Municipio,12011,12.0,11.0,Florida,Broward County,28,44,PR
72089,72,89,Puerto Rico,Luquillo Municipio,12011,12.0,11.0,Florida,Broward County,15,23,PR
72021,72,21,Puerto Rico,Bayamón Municipio,12083,12.0,83.0,Florida,Marion County,10,15,PR
72031,72,31,Puerto Rico,Carolina Municipio,12086,12.0,86.0,Florida,Miami-Dade County,21,26,PR
72089,72,89,Puerto Rico,Luquillo Municipio,12086,12.0,86.0,Florida,Miami-Dade County,11,17,PR
72139,72,139,Puerto Rico,Trujillo Alto Municipio,12086,12.0,86.0,Florida,Miami-Dade County,11,16,PR
72145,72,145,Puerto Rico,Vega Baja Municipio,12086,12.0,86.0,Florida,Miami-Dade County,22,37,PR
72029,72,29,Puerto Rico,Canóvanas Municipio,12095,12.0,95.0,Florida,Orange County,17,27,PR
72061,72,61,Puerto Rico,Guaynabo Municipio,12095,12.0,95.0,Florida,Orange County,7,11,PR
72075,72,75,Puerto Rico,Juana Díaz Municipio,12095,12.0,95.0,Florida,Orange County,29,34,PR
72127,72,127,Puerto Rico,San Juan Municipio,12095,12.0,95.0,Florida,Orange County,20,24,PR
72141,72,141,Puerto Rico,Utuado Municipio,12095,12.0,95.0,Florida,Orange County,7,12,PR
72145,72,145,Puerto Rico,Vega Baja Municipio,12095,12.0,95.0,Florida,Orange County,31,47,PR
72111,72,111,Puerto Rico,Peñuelas Municipio,12103,12.0,103.0,Florida,Pinellas County,24,31,PR
72021,72,21,Puerto Rico,Bayamón Municipio,13121,13.0,121.0,Georgia,Fulton County,15,24,PR
72027,72,27,Puerto Rico,Camuy Municipio,13121,13.0,121.0,Georgia,Fulton County,17,26,PR
72113,72,113,Puerto Rico,Ponce Municipio,15003,15.0,3.0,Hawaii,Honolulu County,18,28,PR
72021,72,21,Puerto Rico,Bayamón Municipio,16001,16.0,1.0,Idaho,Ada County,13,22,PR
72057,72,57,Puerto Rico,Guayama Municipio,18063,18.0,63.0,Indiana,Hendricks County,36,55,PR
72097,72,97,Puerto Rico,Mayagüez Municipio,22033,22.0,33.0,Louisiana,East Baton Rouge Parish,16,26,PR
72153,72,153,Puerto Rico,Yauco Municipio,23005,23.0,5.0,Maine,Cumberland County,33,34,PR
72139,72,139,Puerto Rico,Trujillo Alto Municipio,24021,24.0,21.0,Maryland,Frederick County,24,30,PR
72031,72,31,Puerto Rico,Carolina Municipio,25005,25.0,5.0,Massachusetts,Bristol County,11,17,PR
72127,72,127,Puerto Rico,San Juan Municipio,25025,25.0,25.0,Massachusetts,Suffolk County,10,15,PR
72099,72,99,Puerto Rico,Moca Municipio,29189,29.0,189.0,Missouri,St. Louis County,54,61,PR
72027,72,27,Puerto Rico,Camuy Municipio,34001,34.0,1.0,New Jersey,Atlantic County,7,11,PR
72041,72,41,Puerto Rico,Cidra Municipio,34003,34.0,3.0,New Jersey,Bergen County,14,21,PR
72127,72,127,Puerto Rico,San Juan Municipio,34003,34.0,3.0,New Jersey,Bergen County,9,14,PR
72043,72,43,Puerto Rico,Coamo Municipio,34015,34.0,15.0,New Jersey,Gloucester County,16,25,PR
72145,72,145,Puerto Rico,Vega Baja Municipio,34029,34.0,29.0,New Jersey,Ocean County,49,79,PR
72043,72,43,Puerto Rico,Coamo Municipio,34039,34.0,39.0,New Jersey,Union County,10,17,PR
72149,72,149,Puerto Rico,Villalba Municipio,36029,36.0,29.0,New York,Erie County,14,23,PR
72137,72,137,Puerto Rico,Toa Baja Municipio,36031,36.0,31.0,New York,Essex County,12,18,PR
72117,72,117,Puerto Rico,Rincón Municipio,36047,36.0,47.0,New York,Kings County,13,21,PR
72025,72,25,Puerto Rico,Caguas Municipio,36059,36.0,59.0,New York,Nassau County,11,17,PR
72021,72,21,Puerto Rico,Bayamón Municipio,36061,36.0,61.0,New York,New York County,19,31,PR
72055,72,55,Puerto Rico,Guánica Municipio,36061,36.0,61.0,New York,New York County,11,18,PR
72075,72,75,Puerto Rico,Juana Díaz Municipio,36061,36.0,61.0,New York,New York County,10,16,PR
72097,72,97,Puerto Rico,Mayagüez Municipio,36061,36.0,61.0,New York,New York County,18,28,PR
72127,72,127,Puerto Rico,San Juan Municipio,36061,36.0,61.0,New York,New York County,8,13,PR
72127,72,127,Puerto Rico,San Juan Municipio,36071,36.0,71.0,New York,Orange County,19,31,PR
72031,72,31,Puerto Rico,Carolina Municipio,36081,36.0,81.0,New York,Queens County,22,36,PR
72051,72,51,Puerto Rico,Dorado Municipio,36081,36.0,81.0,New York,Queens County,9,14,PR
72071,72,71,Puerto Rico,Isabela Municipio,36081,36.0,81.0,New York,Queens County,11,17,PR
