POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
45007,45,7,South Carolina,Anderson County,1015,1.0,15.0,Alabama,Calhoun County,8,13,SC
45051,45,51,South Carolina,Horry County,1015,1.0,15.0,Alabama,Calhoun County,9,13,SC
45021,45,21,South Carolina,Cherokee County,1019,1.0,19.0,Alabama,Cherokee County,7,14,SC
45003,45,3,South Carolina,Aiken County,1031,1.0,31.0,Alabama,Coffee County,40,64,SC
45075,45,75,South Carolina,Orangeburg County,1031,1.0,31.0,Alabama,Coffee County,6,12,SC
45063,45,63,South Carolina,Lexington County,1043,1.0,43.0,Alabama,Cullman County,11,18,SC
45035,45,35,South Carolina,Dorchester County,1047,1.0,47.0,Alabama,Dallas County,31,49,SC
45051,45,51,South Carolina,Horry County,1055,1.0,55.0,Alabama,Etowah County,14,22,SC
45015,45,15,South Carolina,Berkeley County,1073,1.0,73.0,Alabama,Jefferson County,34,51,SC
45019,45,19,South Carolina,Charleston County,1073,1.0,73.0,Alabama,Jefferson County,6,10,SC
45033,45,33,South Carolina,Dillon County,1073,1.0,73.0,Alabama,Jefferson County,42,61,SC
45043,45,43,South Carolina,Georgetown County,1073,1.0,73.0,Alabama,Jefferson County,7,13,SC
45055,45,55,South Carolina,Kershaw County,1073,1.0,73.0,Alabama,Jefferson County,15,25,SC
45065,45,65,South Carolina,McCormick County,1073,1.0,73.0,Alabama,Jefferson County,3,8,SC
45083,45,83,South Carolina,Spartanburg County,1073,1.0,73.0,Alabama,Jefferson County,5,8,SC
45085,45,85,South Carolina,Sumter County,1073,1.0,73.0,Alabama,Jefferson County,6,10,SC
45037,45,37,South Carolina,Edgefield County,1081,1.0,81.0,Alabama,Lee County,145,140,SC
45077,45,77,South Carolina,Pickens County,1081,1.0,81.0,Alabama,Lee County,12,18,SC
45003,45,3,South Carolina,Aiken County,1083,1.0,83.0,Alabama,Limestone County,6,7,SC
45007,45,7,South Carolina,Anderson County,1089,1.0,89.0,Alabama,Madison County,16,25,SC
45059,45,59,South Carolina,Laurens County,1089,1.0,89.0,Alabama,Madison County,7,13,SC
45077,45,77,South Carolina,Pickens County,1089,1.0,89.0,Alabama,Madison County,12,18,SC
45085,45,85,South Carolina,Sumter County,1089,1.0,89.0,Alabama,Madison County,9,15,SC
45019,45,19,South Carolina,Charleston County,1097,1.0,97.0,Alabama,Mobile County,9,14,SC
45077,45,77,South Carolina,Pickens County,1097,1.0,97.0,Alabama,Mobile County,6,8,SC
45003,45,3,South Carolina,Aiken County,1101,1.0,101.0,Alabama,Montgomery County,13,19,SC
45073,45,73,South Carolina,Oconee County,1101,1.0,101.0,Alabama,Montgomery County,18,21,SC
45091,45,91,South Carolina,York County,1101,1.0,101.0,Alabama,Montgomery County,11,19,SC
45083,45,83,South Carolina,Spartanburg County,1103,1.0,103.0,Alabama,Morgan County,40,51,SC
45035,45,35,South Carolina,Dorchester County,1109,1.0,109.0,Alabama,Pike County,34,50,SC
45035,45,35,South Carolina,Dorchester County,1117,1.0,117.0,Alabama,Shelby County,8,13,SC
45031,45,31,South Carolina,Darlington County,1119,1.0,119.0,Alabama,Sumter County,30,48,SC
45037,45,37,South Carolina,Edgefield County,1119,1.0,119.0,Alabama,Sumter County,19,29,SC
45063,45,63,South Carolina,Lexington County,1121,1.0,121.0,Alabama,Talladega County,18,34,SC
45063,45,63,South Carolina,Lexington County,1125,1.0,125.0,Alabama,Tuscaloosa County,12,19,SC
45003,45,3,South Carolina,Aiken County,2020,2.0,20.0,Alaska,Anchorage Municipality,12,20,SC
45015,45,15,South Carolina,Berkeley County,2020,2.0,20.0,Alaska,Anchorage Municipality,14,18,SC
45045,45,45,South Carolina,Greenville County,2020,2.0,20.0,Alaska,Anchorage Municipality,52,65,SC
45063,45,63,South Carolina,Lexington County,2185,2.0,185.0,Alaska,North Slope Borough,9,15,SC
45015,45,15,South Carolina,Berkeley County,4001,4.0,1.0,Arizona,Apache County,7,12,SC
45013,45,13,South Carolina,Beaufort County,4013,4.0,13.0,Arizona,Maricopa County,6,8,SC
45021,45,21,South Carolina,Cherokee County,4013,4.0,13.0,Arizona,Maricopa County,42,58,SC
45031,45,31,South Carolina,Darlington County,4013,4.0,13.0,Arizona,Maricopa County,9,18,SC
45063,45,63,South Carolina,Lexington County,4013,4.0,13.0,Arizona,Maricopa County,7,10,SC
45079,45,79,South Carolina,Richland County,4013,4.0,13.0,Arizona,Maricopa County,13,17,SC
45085,45,85,South Carolina,Sumter County,4013,4.0,13.0,Arizona,Maricopa County,15,24,SC
45091,45,91,South Carolina,York County,4013,4.0,13.0,Arizona,Maricopa County,15,22,SC
45081,45,81,South Carolina,Saluda County,4015,4.0,15.0,Arizona,Mohave County,1,3,SC
45063,45,63,South Carolina,Lexington County,4019,4.0,19.0,Arizona,Pima County,8,13,SC
45041,45,41,South Carolina,Florence County,5033,5.0,33.0,Arkansas,Crawford County,22,34,SC
45083,45,83,South Carolina,Spartanburg County,5043,5.0,43.0,Arkansas,Drew County,9,17,SC
45019,45,19,South Carolina,Charleston County,5065,5.0,65.0,Arkansas,Izard County,11,18,SC
45055,45,55,South Carolina,Kershaw County,5093,5.0,93.0,Arkansas,Mississippi County,8,12,SC
45027,45,27,South Carolina,Clarendon County,5119,5.0,119.0,Arkansas,Pulaski County,9,15,SC
