POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
47029,47,29,Tennessee,Cocke County,1003,1.0,3.0,Alabama,Baldwin County,16,22,TN
47099,47,99,Tennessee,Lawrence County,1003,1.0,3.0,Alabama,Baldwin County,3,4,TN
47031,47,31,Tennessee,Coffee County,1005,1.0,5.0,Alabama,Barbour County,24,41,TN
47037,47,37,Tennessee,Davidson County,1015,1.0,15.0,Alabama,Calhoun County,14,24,TN
47053,47,53,Tennessee,Gibson County,1019,1.0,19.0,Alabama,Cherokee County,1,3,TN
47147,47,147,Tennessee,Robertson County,1019,1.0,19.0,Alabama,Cherokee County,5,8,TN
47167,47,167,Tennessee,Tipton County,1021,1.0,21.0,Alabama,Chilton County,13,20,TN
47071,47,71,Tennessee,Hardin County,1023,1.0,23.0,Alabama,Choctaw County,10,15,TN
47089,47,89,Tennessee,Jefferson County,1029,1.0,29.0,Alabama,Cleburne County,16,24,TN
47093,47,93,Tennessee,Knox County,1031,1.0,31.0,Alabama,Coffee County,8,12,TN
47039,47,39,Tennessee,Decatur County,1033,1.0,33.0,Alabama,Colbert County,28,41,TN
47055,47,55,Tennessee,Giles County,1033,1.0,33.0,Alabama,Colbert County,8,12,TN
47071,47,71,Tennessee,Hardin County,1033,1.0,33.0,Alabama,Colbert County,80,78,TN
47099,47,99,Tennessee,Lawrence County,1033,1.0,33.0,Alabama,Colbert County,240,61,TN
47113,47,113,Tennessee,Madison County,1033,1.0,33.0,Alabama,Colbert County,3,4,TN
47119,47,119,Tennessee,Maury County,1033,1.0,33.0,Alabama,Colbert County,15,23,TN
47181,47,181,Tennessee,Wayne County,1033,1.0,33.0,Alabama,Colbert County,162,78,TN
47189,47,189,Tennessee,Wilson County,1033,1.0,33.0,Alabama,Colbert County,13,20,TN
47003,47,3,Tennessee,Bedford County,1043,1.0,43.0,Alabama,Cullman County,31,49,TN
47011,47,11,Tennessee,Bradley County,1043,1.0,43.0,Alabama,Cullman County,15,24,TN
47037,47,37,Tennessee,Davidson County,1043,1.0,43.0,Alabama,Cullman County,14,21,TN
47099,47,99,Tennessee,Lawrence County,1043,1.0,43.0,Alabama,Cullman County,7,9,TN
47065,47,65,Tennessee,Hamilton County,1045,1.0,45.0,Alabama,Dale County,6,10,TN
47125,47,125,Tennessee,Montgomery County,1045,1.0,45.0,Alabama,Dale County,74,71,TN
47181,47,181,Tennessee,Wayne County,1047,1.0,47.0,Alabama,Dallas County,30,48,TN
47051,47,51,Tennessee,Franklin County,1049,1.0,49.0,Alabama,DeKalb County,36,57,TN
47065,47,65,Tennessee,Hamilton County,1049,1.0,49.0,Alabama,DeKalb County,96,92,TN
47055,47,55,Tennessee,Giles County,1055,1.0,55.0,Alabama,Etowah County,34,34,TN
47065,47,65,Tennessee,Hamilton County,1055,1.0,55.0,Alabama,Etowah County,14,23,TN
47103,47,103,Tennessee,Lincoln County,1055,1.0,55.0,Alabama,Etowah County,37,42,TN
47107,47,107,Tennessee,McMinn County,1055,1.0,55.0,Alabama,Etowah County,17,22,TN
47129,47,129,Tennessee,Morgan County,1055,1.0,55.0,Alabama,Etowah County,6,9,TN
47131,47,131,Tennessee,Obion County,1055,1.0,55.0,Alabama,Etowah County,23,34,TN
47147,47,147,Tennessee,Robertson County,1055,1.0,55.0,Alabama,Etowah County,4,7,TN
47183,47,183,Tennessee,Weakley County,1055,1.0,55.0,Alabama,Etowah County,13,18,TN
47001,47,1,Tennessee,Anderson County,1057,1.0,57.0,Alabama,Fayette County,7,14,TN
47071,47,71,Tennessee,Hardin County,1059,1.0,59.0,Alabama,Franklin County,20,35,TN
47149,47,149,Tennessee,Rutherford County,1059,1.0,59.0,Alabama,Franklin County,32,44,TN
47157,47,157,Tennessee,Shelby County,1059,1.0,59.0,Alabama,Franklin County,25,30,TN
47065,47,65,Tennessee,Hamilton County,1069,1.0,69.0,Alabama,Houston County,9,15,TN
47007,47,7,Tennessee,Bledsoe County,1071,1.0,71.0,Alabama,Jackson County,17,30,TN
47051,47,51,Tennessee,Franklin County,1071,1.0,71.0,Alabama,Jackson County,8,12,TN
47061,47,61,Tennessee,Grundy County,1071,1.0,71.0,Alabama,Jackson County,53,51,TN
47065,47,65,Tennessee,Hamilton County,1071,1.0,71.0,Alabama,Jackson County,53,55,TN
47093,47,93,Tennessee,Knox County,1071,1.0,71.0,Alabama,Jackson County,4,8,TN
47107,47,107,Tennessee,McMinn County,1071,1.0,71.0,Alabama,Jackson County,15,23,TN
47115,47,115,Tennessee,Marion County,1071,1.0,71.0,Alabama,Jackson County,524,134,TN
47143,47,143,Tennessee,Rhea County,1071,1.0,71.0,Alabama,Jackson County,6,10,TN
47153,47,153,Tennessee,Sequatchie County,1071,1.0,71.0,Alabama,Jackson County,37,46,TN
47165,47,165,Tennessee,Sumner County,1071,1.0,71.0,Alabama,Jackson County,17,27,TN
