POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
49035,49,35,Utah,Salt Lake County,1003,1.0,3.0,Alabama,Baldwin County,14,25,UT
49049,49,49,Utah,Utah County,1043,1.0,43.0,Alabama,Cullman County,29,37,UT
49049,49,49,Utah,Utah County,1045,1.0,45.0,Alabama,Dale County,4,6,UT
49011,49,11,Utah,Davis County,1073,1.0,73.0,Alabama,Jefferson County,8,13,UT
49013,49,13,Utah,Duchesne County,1083,1.0,83.0,Alabama,Limestone County,6,9,UT
49005,49,5,Utah,Cache County,1089,1.0,89.0,Alabama,Madison County,21,32,UT
49011,49,11,Utah,Davis County,1101,1.0,101.0,Alabama,Montgomery County,4,6,UT
49035,49,35,Utah,Salt Lake County,2020,2.0,20.0,Alaska,Anchorage Municipality,23,22,UT
49037,49,37,Utah,San Juan County,2020,2.0,20.0,Alaska,Anchorage Municipality,4,9,UT
49039,49,39,Utah,Sanpete County,2020,2.0,20.0,Alaska,Anchorage Municipality,11,15,UT
49049,49,49,Utah,Utah County,2020,2.0,20.0,Alaska,Anchorage Municipality,6,9,UT
49057,49,57,Utah,Weber County,2020,2.0,20.0,Alaska,Anchorage Municipality,7,10,UT
49035,49,35,Utah,Salt Lake County,2068,2.0,68.0,Alaska,Denali Borough,38,54,UT
49011,49,11,Utah,Davis County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,7,13,UT
49049,49,49,Utah,Utah County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,7,10,UT
49053,49,53,Utah,Washington County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,2,3,UT
49003,49,3,Utah,Box Elder County,2130,2.0,130.0,Alaska,Ketchikan Gateway Borough,5,6,UT
49005,49,5,Utah,Cache County,2185,2.0,185.0,Alaska,North Slope Borough,11,12,UT
49011,49,11,Utah,Davis County,2185,2.0,185.0,Alaska,North Slope Borough,7,10,UT
49035,49,35,Utah,Salt Lake County,2185,2.0,185.0,Alaska,North Slope Borough,8,13,UT
49047,49,47,Utah,Uintah County,2185,2.0,185.0,Alaska,North Slope Borough,37,51,UT
49053,49,53,Utah,Washington County,2185,2.0,185.0,Alaska,North Slope Borough,10,15,UT
49057,49,57,Utah,Weber County,2230,2.0,230.0,Alaska,Skagway Municipality,6,9,UT
49037,49,37,Utah,San Juan County,4001,4.0,1.0,Arizona,Apache County,69,29,UT
49003,49,3,Utah,Box Elder County,4003,4.0,3.0,Arizona,Cochise County,5,6,UT
49021,49,21,Utah,Iron County,4005,4.0,5.0,Arizona,Coconino County,48,49,UT
49023,49,23,Utah,Juab County,4005,4.0,5.0,Arizona,Coconino County,7,14,UT
49025,49,25,Utah,Kane County,4005,4.0,5.0,Arizona,Coconino County,322,123,UT
49035,49,35,Utah,Salt Lake County,4005,4.0,5.0,Arizona,Coconino County,17,19,UT
49037,49,37,Utah,San Juan County,4005,4.0,5.0,Arizona,Coconino County,57,30,UT
49049,49,49,Utah,Utah County,4005,4.0,5.0,Arizona,Coconino County,15,19,UT
49053,49,53,Utah,Washington County,4005,4.0,5.0,Arizona,Coconino County,38,24,UT
49037,49,37,Utah,San Juan County,4007,4.0,7.0,Arizona,Gila County,6,9,UT
49035,49,35,Utah,Salt Lake County,4011,4.0,11.0,Arizona,Greenlee County,7,11,UT
49005,49,5,Utah,Cache County,4013,4.0,13.0,Arizona,Maricopa County,15,17,UT
49011,49,11,Utah,Davis County,4013,4.0,13.0,Arizona,Maricopa County,51,51,UT
49021,49,21,Utah,Iron County,4013,4.0,13.0,Arizona,Maricopa County,2,2,UT
49035,49,35,Utah,Salt Lake County,4013,4.0,13.0,Arizona,Maricopa County,200,90,UT
49043,49,43,Utah,Summit County,4013,4.0,13.0,Arizona,Maricopa County,13,18,UT
49049,49,49,Utah,Utah County,4013,4.0,13.0,Arizona,Maricopa County,68,50,UT
49051,49,51,Utah,Wasatch County,4013,4.0,13.0,Arizona,Maricopa County,11,16,UT
49055,49,55,Utah,Wayne County,4013,4.0,13.0,Arizona,Maricopa County,3,5,UT
49057,49,57,Utah,Weber County,4013,4.0,13.0,Arizona,Maricopa County,22,25,UT
49025,49,25,Utah,Kane County,4015,4.0,15.0,Arizona,Mohave County,43,48,UT
49053,49,53,Utah,Washington County,4015,4.0,15.0,Arizona,Mohave County,214,82,UT
49021,49,21,Utah,Iron County,4017,4.0,17.0,Arizona,Navajo County,21,35,UT
49037,49,37,Utah,San Juan County,4017,4.0,17.0,Arizona,Navajo County,44,26,UT
49043,49,43,Utah,Summit County,4019,4.0,19.0,Arizona,Pima County,19,29,UT
49035,49,35,Utah,Salt Lake County,4027,4.0,27.0,Arizona,Yuma County,8,13,UT
49049,49,49,Utah,Utah County,4027,4.0,27.0,Arizona,Yuma County,9,14,UT
49053,49,53,Utah,Washington County,4027,4.0,27.0,Arizona,Yuma County,32,49,UT
49049,49,49,Utah,Utah County,5007,5.0,7.0,Arkansas,Benton County,8,11,UT
49047,49,47,Utah,Uintah County,5103,5.0,103.0,Arkansas,Ouachita County,13,19,UT
49035,49,35,Utah,Salt Lake County,5119,5.0,119.0,Arkansas,Pulaski County,7,11,UT
49005,49,5,Utah,Cache County,6001,6.0,1.0,California,Alameda County,1,2,UT
49011,49,11,Utah,Davis County,6001,6.0,1.0,California,Alameda County,56,61,UT
49035,49,35,Utah,Salt Lake County,6001,6.0,1.0,California,Alameda County,50,73,UT
49037,49,37,Utah,San Juan County,6001,6.0,1.0,California,Alameda County,2,3,UT
49043,49,43,Utah,Summit County,6001,6.0,1.0,California,Alameda County,7,12,UT
49049,49,49,Utah,Utah County,6001,6.0,1.0,California,Alameda County,16,19,UT
49035,49,35,Utah,Salt Lake County,6013,6.0,13.0,California,Contra Costa County,47,69,UT
49053,49,53,Utah,Washington County,6013,6.0,13.0,California,Contra Costa County,8,12,UT
49003,49,3,Utah,Box Elder County,6019,6.0,19.0,California,Fresno County,4,5,UT
49057,49,57,Utah,Weber County,6019,6.0,19.0,California,Fresno County,17,26,UT
49035,49,35,Utah,Salt Lake County,6029,6.0,29.0,California,Kern County,10,16,UT
49051,49,51,Utah,Wasatch County,6029,6.0,29.0,California,Kern County,21,31,UT
49035,49,35,Utah,Salt Lake County,6031,6.0,31.0,California,Kings County,8,12,UT
49003,49,3,Utah,Box Elder County,6037,6.0,37.0,California,Los Angeles County,13,16,UT
49005,49,5,Utah,Cache County,6037,6.0,37.0,California,Los Angeles County,8,9,UT
49021,49,21,Utah,Iron County,6037,6.0,37.0,California,Los Angeles County,19,29,UT
49035,49,35,Utah,Salt Lake County,6037,6.0,37.0,California,Los Angeles County,227,93,UT
49041,49,41,Utah,Sevier County,6037,6.0,37.0,California,Los Angeles County,15,22,UT
49043,49,43,Utah,Summit County,6037,6.0,37.0,California,Los Angeles County,79,56,UT
49049,49,49,Utah,Utah County,6037,6.0,37.0,California,Los Angeles County,99,85,UT
49051,49,51,Utah,Wasatch County,6037,6.0,37.0,California,Los Angeles County,23,29,UT
49053,49,53,Utah,Washington County,6037,6.0,37.0,California,Los Angeles County,65,48,UT
49057,49,57,Utah,Weber County,6037,6.0,37.0,California,Los Angeles County,24,31,UT
49049,49,49,Utah,Utah County,6039,6.0,39.0,California,Madera County,13,20,UT
49029,49,29,Utah,Morgan County,6041,6.0,41.0,California,Marin County,5,8,UT
49011,49,11,Utah,Davis County,6053,6.0,53.0,California,Monterey County,5,9,UT
49043,49,43,Utah,Summit County,6053,6.0,53.0,California,Monterey County,4,6,UT
49035,49,35,Utah,Salt Lake County,6057,6.0,57.0,California,Nevada County,9,14,UT
49003,49,3,Utah,Box Elder County,6059,6.0,59.0,California,Orange County,4,4,UT
49007,49,7,Utah,Carbon County,6059,6.0,59.0,California,Orange County,3,6,UT
49027,49,27,Utah,Millard County,6059,6.0,59.0,California,Orange County,3,5,UT
49035,49,35,Utah,Salt Lake County,6059,6.0,59.0,California,Orange County,82,78,UT
49049,49,49,Utah,Utah County,6059,6.0,59.0,California,Orange County,20,23,UT
49053,49,53,Utah,Washington County,6059,6.0,59.0,California,Orange County,20,24,UT
49057,49,57,Utah,Weber County,6059,6.0,59.0,California,Orange County,11,18,UT
49003,49,3,Utah,Box Elder County,6065,6.0,65.0,California,Riverside County,6,9,UT
49011,49,11,Utah,Davis County,6065,6.0,65.0,California,Riverside County,9,14,UT
49021,49,21,Utah,Iron County,6065,6.0,65.0,California,Riverside County,1,2,UT
49035,49,35,Utah,Salt Lake County,6065,6.0,65.0,California,Riverside County,9,14,UT
49057,49,57,Utah,Weber County,6065,6.0,65.0,California,Riverside County,16,25,UT
49015,49,15,Utah,Emery County,6071,6.0,71.0,California,San Bernardino County,6,9,UT
49025,49,25,Utah,Kane County,6071,6.0,71.0,California,San Bernardino County,3,5,UT
49035,49,35,Utah,Salt Lake County,6071,6.0,71.0,California,San Bernardino County,24,36,UT
49049,49,49,Utah,Utah County,6071,6.0,71.0,California,San Bernardino County,26,38,UT
49011,49,11,Utah,Davis County,6073,6.0,73.0,California,San Diego County,9,15,UT
49013,49,13,Utah,Duchesne County,6073,6.0,73.0,California,San Diego County,17,25,UT
49039,49,39,Utah,Sanpete County,6073,6.0,73.0,California,San Diego County,12,17,UT
49043,49,43,Utah,Summit County,6073,6.0,73.0,California,San Diego County,7,12,UT
49049,49,49,Utah,Utah County,6073,6.0,73.0,California,San Diego County,89,61,UT
49053,49,53,Utah,Washington County,6073,6.0,73.0,California,San Diego County,10,16,UT
