POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
51520,51,520,Virginia,Bristol city,1005,1.0,5.0,Alabama,Barbour County,7,11,VA
51630,51,630,Virginia,Fredericksburg city,1045,1.0,45.0,Alabama,Dale County,11,20,VA
51153,51,153,Virginia,Prince William County,1069,1.0,69.0,Alabama,Houston County,44,46,VA
51143,51,143,Virginia,Pittsylvania County,1073,1.0,73.0,Alabama,Jefferson County,16,26,VA
51165,51,165,Virginia,Rockingham County,1073,1.0,73.0,Alabama,Jefferson County,6,9,VA
51141,51,141,Virginia,Patrick County,1083,1.0,83.0,Alabama,Limestone County,3,5,VA
51041,51,41,Virginia,Chesterfield County,1089,1.0,89.0,Alabama,Madison County,9,15,VA
51059,51,59,Virginia,Fairfax County,1089,1.0,89.0,Alabama,Madison County,14,21,VA
51177,51,177,Virginia,Spotsylvania County,1089,1.0,89.0,Alabama,Madison County,24,27,VA
51510,51,510,Virginia,Alexandria city,1089,1.0,89.0,Alabama,Madison County,11,19,VA
51059,51,59,Virginia,Fairfax County,1097,1.0,97.0,Alabama,Mobile County,14,22,VA
51087,51,87,Virginia,Henrico County,2020,2.0,20.0,Alaska,Anchorage Municipality,7,12,VA
51730,51,730,Virginia,Petersburg city,2020,2.0,20.0,Alaska,Anchorage Municipality,7,12,VA
51760,51,760,Virginia,Richmond city,2020,2.0,20.0,Alaska,Anchorage Municipality,22,33,VA
51013,51,13,Virginia,Arlington County,2110,2.0,110.0,Alaska,Juneau City and Borough,10,18,VA
51740,51,740,Virginia,Portsmouth city,2240,2.0,240.0,Alaska,Southeast Fairbanks Census Area,6,10,VA
51550,51,550,Virginia,Chesapeake city,4003,4.0,3.0,Arizona,Cochise County,6,10,VA
51059,51,59,Virginia,Fairfax County,4005,4.0,5.0,Arizona,Coconino County,11,17,VA
51035,51,35,Virginia,Carroll County,4013,4.0,13.0,Arizona,Maricopa County,18,29,VA
51041,51,41,Virginia,Chesterfield County,4013,4.0,13.0,Arizona,Maricopa County,18,22,VA
51059,51,59,Virginia,Fairfax County,4013,4.0,13.0,Arizona,Maricopa County,17,20,VA
51065,51,65,Virginia,Fluvanna County,4013,4.0,13.0,Arizona,Maricopa County,9,15,VA
51087,51,87,Virginia,Henrico County,4013,4.0,13.0,Arizona,Maricopa County,23,29,VA
51091,51,91,Virginia,Highland County,4013,4.0,13.0,Arizona,Maricopa County,3,5,VA
51093,51,93,Virginia,Isle of Wight County,4013,4.0,13.0,Arizona,Maricopa County,6,9,VA
51137,51,137,Virginia,Orange County,4013,4.0,13.0,Arizona,Maricopa County,11,16,VA
51153,51,153,Virginia,Prince William County,4013,4.0,13.0,Arizona,Maricopa County,9,11,VA
51179,51,179,Virginia,Stafford County,4013,4.0,13.0,Arizona,Maricopa County,20,30,VA
51199,51,199,Virginia,York County,4013,4.0,13.0,Arizona,Maricopa County,27,31,VA
51550,51,550,Virginia,Chesapeake city,4013,4.0,13.0,Arizona,Maricopa County,79,108,VA
51800,51,800,Virginia,Suffolk city,4013,4.0,13.0,Arizona,Maricopa County,5,10,VA
51041,51,41,Virginia,Chesterfield County,4019,4.0,19.0,Arizona,Pima County,17,25,VA
51650,51,650,Virginia,Hampton city,4019,4.0,19.0,Arizona,Pima County,29,47,VA
51195,51,195,Virginia,Wise County,4027,4.0,27.0,Arizona,Yuma County,11,16,VA
51107,51,107,Virginia,Loudoun County,5063,5.0,63.0,Arkansas,Independence County,10,16,VA
51131,51,131,Virginia,Northampton County,5119,5.0,119.0,Arkansas,Pulaski County,5,10,VA
51680,51,680,Virginia,Lynchburg city,5119,5.0,119.0,Arkansas,Pulaski County,5,8,VA
51790,51,790,Virginia,Staunton city,5119,5.0,119.0,Arkansas,Pulaski County,19,31,VA
51740,51,740,Virginia,Portsmouth city,5131,5.0,131.0,Arkansas,Sebastian County,3,7,VA
51087,51,87,Virginia,Henrico County,5143,5.0,143.0,Arkansas,Washington County,5,7,VA
51177,51,177,Virginia,Spotsylvania County,5143,5.0,143.0,Arkansas,Washington County,9,14,VA
51023,51,23,Virginia,Botetourt County,6001,6.0,1.0,California,Alameda County,14,22,VA
51109,51,109,Virginia,Louisa County,6001,6.0,1.0,California,Alameda County,15,23,VA
51193,51,193,Virginia,Westmoreland County,6001,6.0,1.0,California,Alameda County,2,4,VA
51510,51,510,Virginia,Alexandria city,6001,6.0,1.0,California,Alameda County,16,24,VA
51700,51,700,Virginia,Newport News city,6001,6.0,1.0,California,Alameda County,6,12,VA
51800,51,800,Virginia,Suffolk city,6001,6.0,1.0,California,Alameda County,8,12,VA
51041,51,41,Virginia,Chesterfield County,6013,6.0,13.0,California,Contra Costa County,9,15,VA
51059,51,59,Virginia,Fairfax County,6013,6.0,13.0,California,Contra Costa County,7,12,VA
51650,51,650,Virginia,Hampton city,6025,6.0,25.0,California,Imperial County,26,44,VA
51149,51,149,Virginia,Prince George County,6029,6.0,29.0,California,Kern County,21,35,VA
51550,51,550,Virginia,Chesapeake city,6029,6.0,29.0,California,Kern County,24,38,VA
51003,51,3,Virginia,Albemarle County,6037,6.0,37.0,California,Los Angeles County,15,24,VA
51013,51,13,Virginia,Arlington County,6037,6.0,37.0,California,Los Angeles County,11,17,VA
51041,51,41,Virginia,Chesterfield County,6037,6.0,37.0,California,Los Angeles County,14,15,VA
51059,51,59,Virginia,Fairfax County,6037,6.0,37.0,California,Los Angeles County,66,50,VA
51103,51,103,Virginia,Lancaster County,6037,6.0,37.0,California,Los Angeles County,8,13,VA
51107,51,107,Virginia,Loudoun County,6037,6.0,37.0,California,Los Angeles County,11,19,VA
51131,51,131,Virginia,Northampton County,6037,6.0,37.0,California,Los Angeles County,14,21,VA
