POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
56005,56,5,Wyoming,Campbell County,1073,1.0,73.0,Alabama,Jefferson County,14,23,WY
56011,56,11,Wyoming,Crook County,1091,1.0,91.0,Alabama,Marengo County,2,3,WY
56021,56,21,Wyoming,Laramie County,1101,1.0,101.0,Alabama,Montgomery County,15,21,WY
56019,56,19,Wyoming,Johnson County,2016,2.0,16.0,Alaska,Aleutians West Census Area,8,12,WY
56021,56,21,Wyoming,Laramie County,2020,2.0,20.0,Alaska,Anchorage Municipality,15,25,WY
56029,56,29,Wyoming,Park County,2020,2.0,20.0,Alaska,Anchorage Municipality,8,13,WY
56025,56,25,Wyoming,Natrona County,2170,2.0,170.0,Alaska,Matanuska-Susitna Borough,8,13,WY
56013,56,13,Wyoming,Fremont County,2185,2.0,185.0,Alaska,North Slope Borough,5,7,WY
56025,56,25,Wyoming,Natrona County,2185,2.0,185.0,Alaska,North Slope Borough,4,7,WY
56037,56,37,Wyoming,Sweetwater County,2185,2.0,185.0,Alaska,North Slope Borough,25,27,WY
56041,56,41,Wyoming,Uinta County,2185,2.0,185.0,Alaska,North Slope Borough,24,29,WY
56021,56,21,Wyoming,Laramie County,4005,4.0,5.0,Arizona,Coconino County,12,19,WY
56021,56,21,Wyoming,Laramie County,4013,4.0,13.0,Arizona,Maricopa County,6,9,WY
56013,56,13,Wyoming,Fremont County,4019,4.0,19.0,Arizona,Pima County,3,5,WY
56025,56,25,Wyoming,Natrona County,4019,4.0,19.0,Arizona,Pima County,11,19,WY
56041,56,41,Wyoming,Uinta County,6059,6.0,59.0,California,Orange County,49,44,WY
56037,56,37,Wyoming,Sweetwater County,6061,6.0,61.0,California,Placer County,9,13,WY
56013,56,13,Wyoming,Fremont County,6067,6.0,67.0,California,Sacramento County,6,9,WY
56015,56,15,Wyoming,Goshen County,6071,6.0,71.0,California,San Bernardino County,9,14,WY
56037,56,37,Wyoming,Sweetwater County,6071,6.0,71.0,California,San Bernardino County,18,29,WY
56035,56,35,Wyoming,Sublette County,6089,6.0,89.0,California,Shasta County,3,7,WY
56001,56,1,Wyoming,Albany County,6097,6.0,97.0,California,Sonoma County,56,50,WY
56001,56,1,Wyoming,Albany County,8001,8.0,1.0,Colorado,Adams County,8,12,WY
56021,56,21,Wyoming,Laramie County,8001,8.0,1.0,Colorado,Adams County,35,40,WY
56025,56,25,Wyoming,Natrona County,8001,8.0,1.0,Colorado,Adams County,68,77,WY
56029,56,29,Wyoming,Park County,8001,8.0,1.0,Colorado,Adams County,1,3,WY
56001,56,1,Wyoming,Albany County,8005,8.0,5.0,Colorado,Arapahoe County,65,73,WY
56007,56,7,Wyoming,Carbon County,8005,8.0,5.0,Colorado,Arapahoe County,7,10,WY
56009,56,9,Wyoming,Converse County,8005,8.0,5.0,Colorado,Arapahoe County,48,71,WY
56021,56,21,Wyoming,Laramie County,8005,8.0,5.0,Colorado,Arapahoe County,35,44,WY
56025,56,25,Wyoming,Natrona County,8005,8.0,5.0,Colorado,Arapahoe County,10,16,WY
56001,56,1,Wyoming,Albany County,8013,8.0,13.0,Colorado,Boulder County,22,29,WY
