st_fips,us_st_fips,usps,st_name,aland_sqmi,awater_sqmi,population,pop_65_plus
1,US01,AL,Alabama,50646.325999999994,1773.7489999999998,4864680.0,1092836.0
2,US02,AK,Alaska,570638.296,94746.25799999996,738516.0,122281.0
4,US04,AZ,Arizona,113592.987,396.74200000000013,6946685.0,1567148.0
5,US05,AR,Arkansas,52034.71,1143.837,2990671.0,669464.0
6,US06,CA,California,155787.96500000005,7906.598000000001,39148760.0,7507934.0
8,US08,CO,Colorado,103640.79699999999,453.85000000000014,5531141.0,1071803.0
9,US09,CT,Connecticut,4842.667,700.747,3581504.0,823529.0
10,US10,DE,Delaware,1948.698,540.058,949495.0,228755.0
11,US11,DC,District of Columbia,61.145,7.194,684498.0,115176.0
12,US12,FL,Florida,53631.459,12125.997999999998,20598139.0,5378753.0
13,US13,GA,Georgia,57594.77000000002,1830.442,10297484.0,1930893.0
15,US15,HI,Hawaii,6422.473999999998,4547.405000000002,1422029.0,335874.0
16,US16,ID,Idaho,82642.40199999999,925.7250000000003,1687809.0,355290.0
17,US17,IL,Illinois,55519.52299999997,2394.0659999999993,12821497.0,2675686.0
18,US18,IN,Indiana,35826.62800000001,593.0080000000003,6637426.0,1407682.0
19,US19,IA,Iowa,55856.42899999999,416.21,3132499.0,713847.0
20,US20,KS,Kansas,81758.17099999997,520.0440000000001,2908776.0,615164.0
21,US21,KY,Kentucky,39485.22300000001,922.585,4440204.0,970820.0
22,US22,LA,Louisiana,43206.07300000001,9169.116000000002,4663616.0,964214.0
23,US23,ME,Maine,30844.072000000004,4536.143999999998,1332813.0,360329.0
24,US24,MD,Maryland,9709.471,2696.3809999999994,6003435.0,1246886.0
25,US25,MA,Massachusetts,7801.358,2753.032,6830193.0,1511891.0
26,US26,MI,Michigan,56546.77400000001,40166.667000000016,9957488.0,2288719.0
27,US27,MN,Minnesota,79628.245,7306.88,5527358.0,1174081.0
28,US28,MS,Mississippi,46923.75500000003,1516.755,2988762.0,631828.0
29,US29,MO,Missouri,68746.50599999996,960.465,6090062.0,1368995.0
30,US30,MT,Montana,145546.92400000006,1493.5199999999993,1041732.0,260242.0
31,US31,NE,Nebraska,76823.69599999997,523.67,1904760.0,401009.0
32,US32,NV,Nevada,109781.246,790.6769999999998,2922849.0,612136.0
33,US33,NH,New Hampshire,8952.948,396.21400000000006,1343622.0,323496.0
34,US34,NJ,New Jersey,7354.503000000001,1368.131,8881845.0,1928202.0
35,US35,NM,New Mexico,121298.40900000006,291.76899999999995,2092434.0,474147.0
36,US36,NY,New York,47598.972,7568.129000000001,27687135.0,5860380.0
37,US37,NC,North Carolina,48617.25000000001,5201.78,10155624.0,2189433.0
38,US38,ND,North Dakota,69001.092,1698.4599999999996,752201.0,154971.0
39,US39,OH,Ohio,40861.727999999996,3963.837999999999,11641879.0,2658702.0
40,US40,OK,Oklahoma,68596.086,1302.7289999999996,3918137.0,820105.0
41,US41,OR,Oregon,95988.38899999998,2390.273000000001,4081943.0,959449.0
42,US42,PA,Pennsylvania,44742.87400000001,1311.4539999999986,12791181.0,3092425.0
44,US44,RI,Rhode Island,1033.889,510.996,1056611.0,243523.0
45,US45,SC,South Carolina,30061.257999999998,1959.225,4955925.0,1150118.0
46,US46,SD,South Dakota,75810.92999999996,1304.9520000000005,864289.0,192285.0
47,US47,TN,Tennessee,41235.781,908.4259999999997,6651089.0,1460994.0
48,US48,TX,Texas,261250.00699999995,7346.548000000006,27885195.0,4783562.0
49,US49,UT,Utah,82195.36600000001,2702.688000000001,3045350.0,459907.0
50,US50,VT,Vermont,9217.119,399.377,624977.0,160758.0
51,US51,VA,Virginia,39491.676,3283.237,8413774.0,1739052.0
53,US53,WA,Washington,66456.30200000001,4841.758999999999,7294336.0,1527965.0
54,US54,WV,West Virginia,24041.26500000001,188.986,1829054.0,478086.0
55,US55,WI,Wisconsin,54158.350999999995,11338.062999999998,5778394.0,1304186.0
56,US56,WY,Wyoming,97091.2,718.6360000000002,581836.0,127891.0
72,US72,PR,Puerto Rico,3423.905,1900.941,3386941.0,854307.0
