iata,city,state,longitude,latitude,passengers,airport_id
ATL,Atlanta,GA,-84.42786399960693,33.63669961099959,46075000.0,0
ORD,Chicago,IL,-87.90659722179846,41.97452194378772,33248993.0,1
DEN,Denver,CO,-104.67316666709075,39.86166666671349,30193165.0,2
LAX,Los Angeles,CA,-118.40804861098472,33.94249638870734,30191435.0,3
DFW,Dallas-Fort Worth,TX,-97.03769494382843,32.89723155612109,28736329.0,4
LAS,Las Vegas,NV,-115.15225000000237,36.080055556247814,22163751.0,5
SEA,Seattle,WA,-122.31177777829649,47.44988888905729,21435085.0,6
SFO,San Francisco,CA,-122.37541666713363,37.61880555583101,21060080.0,7
PHX,Phoenix,AZ,-112.01158333319859,33.43427777773061,20821934.0,8
CLT,Charlotte,NC,-80.94905555608683,35.21375000006177,20760093.0,9
MCO,Orlando,FL,-81.30899999990766,28.429388889069656,20140371.0,10
MSP,Minneapolis,MN,-93.22177777808383,44.8819722217615,16999677.0,11
BOS,Boston,MA,-71.00638888906613,42.36294444402285,16436778.0,12
IAH,Houston,TX,-95.3414425000344,29.98443527821907,16004306.0,13
EWR,Newark,NJ,-74.1686867777057,40.69247983273326,15922353.0,14
DTW,Detroit,MI,-83.3533888888456,42.212444444134114,15618595.0,15
JFK,New York,NY,-73.77869497222194,40.639925749925425,14051938.0,16
LGA,New York,NY,-73.87261111058638,40.77724999969072,13963605.0,17
FLL,Ft. Lauderdale,FL,-80.14969444361779,26.071666667214785,13506937.0,18
PHL,Philadelphia,PA,-75.24066305562101,39.872083888747305,13382365.0,19
BWI,Baltimore,MD,-76.66899111090534,39.175728333295204,12935474.0,20
SLC,Salt Lake City,UT,-111.97777333305241,40.788393332688344,11785964.0,21
SAN,San Diego,CA,-117.18966666696491,32.73355555580745,11770792.0,22
DCA,Arlington,VA,-77.03772222176019,38.85144444396098,11196280.0,23
MIA,Miami,FL,-80.29011583333677,25.79536111065603,10536523.0,24
MDW,Chicago,IL,-87.7524166665543,41.78597222208724,10488611.0,25
TPA,Tampa,FL,-82.53324999987471,27.975472221960462,9989690.0,26
PDX,Portland,OR,-122.5968694165518,45.58870886124275,9391236.0,27
DAL,Dallas,TX,-96.85087666742595,32.84594472213851,8126907.0,28
BNA,Nashville,TN,-86.67816666731498,36.12447222232407,7867965.0,29
IAD,Chantilly,VA,-77.45994444416762,38.94744444403362,7778740.0,30
STL,St Louis,MO,-90.37002888902781,38.748697222298134,7700214.0,31
AUS,Austin,TX,-97.66987611083259,30.194527221816,7695208.0,32
HNL,Honolulu,HI,-157.92026272242202,21.31782749964713,7207386.0,33
HOU,Houston,TX,-95.2788888892482,29.645416667192922,6739497.0,34
SJC,San Jose,CA,-121.92862055581864,37.36299472218325,6665271.0,35
MSY,New Orleans,LA,-90.25902777761469,29.99327777794861,6582784.0,36
OAK,Oakland,CA,-122.22113888902292,37.72125000016389,6315999.0,37
RDU,Raleigh,NC,-78.78747222162067,35.87763888917826,6121061.0,38
MCI,Kansas City,MO,-94.71388888923202,39.2976111110312,5906908.0,39
SMF,Sacramento,CA,-121.59077777795471,38.69544444367053,5861193.0,40
SNA,Santa Ana,CA,-117.86822222234629,33.675666666784444,5102026.0,41
SAT,San Antonio,TX,-98.46905705628996,29.533958000357213,4738235.0,42
IND,Indianapolis,IN,-86.29463888888408,39.71730555632778,4646155.0,43
CLE,Cleveland,OH,-81.85469444359506,41.40941666679453,4620955.0,44
PIT,Pittsburgh,PA,-80.23269444419411,40.491416666909494,4550405.0,45
RSW,Ft. Myers,FL,-81.75516666709294,26.536166666979646,4459073.0,46
CVG,Covington,KY,-84.6678222217444,39.04883666718477,4148195.0,47
CMH,Columbus,OH,-82.89216111072591,39.99694722172402,3961774.0,48
SJU,San Juan,PR,-66.00213333300621,18.43939916721143,3603770.0,49
MKE,Milwaukee,WI,-87.89705555580238,42.94694444384183,3477398.0,50
OGG,Kahului,HI,-156.43045444430132,20.89865305561085,3391563.0,51
BDL,Windsor Locks,CT,-72.68336111081905,41.939138888666506,3208910.0,52
PBI,West Palm Beach,FL,-80.09558333282241,26.683166666876563,3202387.0,53
JAX,Jacksonville,FL,-81.68783333268237,30.494055555914702,3158245.0,54
BUR,Burbank,CA,-118.35866666662952,34.200694444075474,2730555.0,55
ABQ,Albuquerque,NM,-106.60826216712351,35.038931555902664,2724754.0,56
ANC,Anchorage,AK,-149.99818863893827,61.17415650011856,2560072.0,57
BUF,Buffalo,NY,-78.7305833331172,42.940416666730044,2518452.0,58
OMA,Omaha,NE,-95.89405555603771,41.30316666666885,2489816.0,59
ONT,Ontario,CA,-117.60119444411829,34.055999999790856,2430960.0,60
MEM,Memphis,TN,-89.97667916663902,35.042411388972496,2213052.0,61
CHS,Charleston,SC,-80.0405277782531,32.89863888937168,2205900.0,62
OKC,Oklahoma City,OK,-97.60076172174247,35.39307402766115,2143150.0,63
RIC,Richmond,VA,-77.31973883337315,37.5051810557439,2056762.0,64
RNO,Reno,NV,-119.76811111056223,39.49911111085936,2036317.0,65
PVD,Providence,RI,-71.42772222221173,41.722333332765686,2020164.0,66
BOI,Boise,ID,-116.22286111087534,43.56436111116769,1972209.0,67
LGB,Long Beach,CA,-118.15189055639068,33.817929722145315,1907136.0,68
SDF,Louisville,KY,-85.73649888880645,38.17408583308971,1894073.0,69
GEG,Spokane,WA,-117.5352222217548,47.61902777796456,1880089.0,70
ORF,Norfolk,VA,-76.20122916707199,36.89460416688896,1857258.0,71
TUS,Tucson,AZ,-110.94101388888348,32.11606916668755,1761350.0,72
KOA,Kailua/Kona,HI,-156.04563138865552,19.73876583279334,1712321.0,73
GRR,Grand Rapids,MI,-85.52280555594548,42.8808333330781,1644799.0,74
ELP,El Paso,TX,-106.37636111083911,31.807333332841697,1629967.0,75
LIH,Lihue,HI,-159.33895772160488,21.97598286059504,1620023.0,76
