POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
2013,2,13,Alaska,Aleutians East Borough,2013,2.0,13.0,Alaska,Aleutians East Borough,2504,148,AK
2016,2,16,Alaska,Aleutians West Census Area,2013,2.0,13.0,Alaska,Aleutians East Borough,1,2,AK
2020,2,20,Alaska,Anchorage Municipality,2013,2.0,13.0,Alaska,Aleutians East Borough,15,27,AK
2070,2,70,Alaska,Dillingham Census Area,2013,2.0,13.0,Alaska,Aleutians East Borough,1,1,AK
2122,2,122,Alaska,Kenai Peninsula Borough,2013,2.0,13.0,Alaska,Aleutians East Borough,7,7,AK
2164,2,164,Alaska,Lake and Peninsula Borough,2013,2.0,13.0,Alaska,Aleutians East Borough,2,2,AK
2170,2,170,Alaska,Matanuska-Susitna Borough,2013,2.0,13.0,Alaska,Aleutians East Borough,25,36,AK
2016,2,16,Alaska,Aleutians West Census Area,2016,2.0,16.0,Alaska,Aleutians West Census Area,3788,114,AK
2020,2,20,Alaska,Anchorage Municipality,2016,2.0,16.0,Alaska,Aleutians West Census Area,97,104,AK
2050,2,50,Alaska,Bethel Census Area,2016,2.0,16.0,Alaska,Aleutians West Census Area,1,2,AK
2122,2,122,Alaska,Kenai Peninsula Borough,2016,2.0,16.0,Alaska,Aleutians West Census Area,25,19,AK
2150,2,150,Alaska,Kodiak Island Borough,2016,2.0,16.0,Alaska,Aleutians West Census Area,2,3,AK
2158,2,158,Alaska,Kusilvak Census Area,2016,2.0,16.0,Alaska,Aleutians West Census Area,2,3,AK
2170,2,170,Alaska,Matanuska-Susitna Borough,2016,2.0,16.0,Alaska,Aleutians West Census Area,19,17,AK
2013,2,13,Alaska,Aleutians East Borough,2020,2.0,20.0,Alaska,Anchorage Municipality,2,3,AK
2020,2,20,Alaska,Anchorage Municipality,2020,2.0,20.0,Alaska,Anchorage Municipality,151009,1783,AK
2050,2,50,Alaska,Bethel Census Area,2020,2.0,20.0,Alaska,Anchorage Municipality,7,5,AK
2060,2,60,Alaska,Bristol Bay Borough,2020,2.0,20.0,Alaska,Anchorage Municipality,5,5,AK
2090,2,90,Alaska,Fairbanks North Star Borough,2020,2.0,20.0,Alaska,Anchorage Municipality,75,79,AK
2110,2,110,Alaska,Juneau City and Borough,2020,2.0,20.0,Alaska,Anchorage Municipality,65,64,AK
2122,2,122,Alaska,Kenai Peninsula Borough,2020,2.0,20.0,Alaska,Anchorage Municipality,306,95,AK
2130,2,130,Alaska,Ketchikan Gateway Borough,2020,2.0,20.0,Alaska,Anchorage Municipality,8,8,AK
2150,2,150,Alaska,Kodiak Island Borough,2020,2.0,20.0,Alaska,Anchorage Municipality,29,36,AK
2158,2,158,Alaska,Kusilvak Census Area,2020,2.0,20.0,Alaska,Anchorage Municipality,3,4,AK
2164,2,164,Alaska,Lake and Peninsula Borough,2020,2.0,20.0,Alaska,Anchorage Municipality,2,2,AK
2170,2,170,Alaska,Matanuska-Susitna Borough,2020,2.0,20.0,Alaska,Anchorage Municipality,11787,487,AK
2180,2,180,Alaska,Nome Census Area,2020,2.0,20.0,Alaska,Anchorage Municipality,1,2,AK
2185,2,185,Alaska,North Slope Borough,2020,2.0,20.0,Alaska,Anchorage Municipality,33,29,AK
2188,2,188,Alaska,Northwest Arctic Borough,2020,2.0,20.0,Alaska,Anchorage Municipality,15,19,AK
2220,2,220,Alaska,Sitka City and Borough,2020,2.0,20.0,Alaska,Anchorage Municipality,6,7,AK
2230,2,230,Alaska,Skagway Municipality,2020,2.0,20.0,Alaska,Anchorage Municipality,15,29,AK
2261,2,261,Alaska,Valdez-Cordova Census Area,2020,2.0,20.0,Alaska,Anchorage Municipality,20,13,AK
2290,2,290,Alaska,Yukon-Koyukuk Census Area,2020,2.0,20.0,Alaska,Anchorage Municipality,14,7,AK
2020,2,20,Alaska,Anchorage Municipality,2050,2.0,50.0,Alaska,Bethel Census Area,5,9,AK
2050,2,50,Alaska,Bethel Census Area,2050,2.0,50.0,Alaska,Bethel Census Area,6017,215,AK
2090,2,90,Alaska,Fairbanks North Star Borough,2050,2.0,50.0,Alaska,Bethel Census Area,13,19,AK
2122,2,122,Alaska,Kenai Peninsula Borough,2050,2.0,50.0,Alaska,Bethel Census Area,26,36,AK
2158,2,158,Alaska,Kusilvak Census Area,2050,2.0,50.0,Alaska,Bethel Census Area,12,8,AK
2170,2,170,Alaska,Matanuska-Susitna Borough,2050,2.0,50.0,Alaska,Bethel Census Area,36,24,AK
2188,2,188,Alaska,Northwest Arctic Borough,2050,2.0,50.0,Alaska,Bethel Census Area,2,3,AK
2240,2,240,Alaska,Southeast Fairbanks Census Area,2050,2.0,50.0,Alaska,Bethel Census Area,15,22,AK
2020,2,20,Alaska,Anchorage Municipality,2060,2.0,60.0,Alaska,Bristol Bay Borough,134,85,AK
2060,2,60,Alaska,Bristol Bay Borough,2060,2.0,60.0,Alaska,Bristol Bay Borough,502,61,AK
2122,2,122,Alaska,Kenai Peninsula Borough,2060,2.0,60.0,Alaska,Bristol Bay Borough,3,5,AK
