POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
5131,5,131,Arkansas,Sebastian County,1043,1.0,43.0,Alabama,Cullman County,9,14,AR
5023,5,23,Arkansas,Cleburne County,1073,1.0,73.0,Alabama,Jefferson County,7,12,AR
5031,5,31,Arkansas,Craighead County,1073,1.0,73.0,Alabama,Jefferson County,4,6,AR
5069,5,69,Arkansas,Jefferson County,1085,1.0,85.0,Alabama,Lowndes County,3,5,AR
5007,5,7,Arkansas,Benton County,1089,1.0,89.0,Alabama,Madison County,5,8,AR
5109,5,109,Arkansas,Pike County,1089,1.0,89.0,Alabama,Madison County,5,9,AR
5119,5,119,Arkansas,Pulaski County,1089,1.0,89.0,Alabama,Madison County,13,21,AR
5119,5,119,Arkansas,Pulaski County,1097,1.0,97.0,Alabama,Mobile County,11,18,AR
5015,5,15,Arkansas,Carroll County,1109,1.0,109.0,Alabama,Pike County,13,21,AR
5051,5,51,Arkansas,Garland County,1125,1.0,125.0,Alabama,Tuscaloosa County,53,56,AR
5007,5,7,Arkansas,Benton County,2020,2.0,20.0,Alaska,Anchorage Municipality,50,73,AR
5027,5,27,Arkansas,Columbia County,2020,2.0,20.0,Alaska,Anchorage Municipality,19,32,AR
5059,5,59,Arkansas,Hot Spring County,2020,2.0,20.0,Alaska,Anchorage Municipality,11,18,AR
5115,5,115,Arkansas,Pope County,2020,2.0,20.0,Alaska,Anchorage Municipality,9,15,AR
5095,5,95,Arkansas,Monroe County,2170,2.0,170.0,Alaska,Matanuska-Susitna Borough,6,8,AR
5007,5,7,Arkansas,Benton County,2180,2.0,180.0,Alaska,Nome Census Area,11,17,AR
5083,5,83,Arkansas,Logan County,2185,2.0,185.0,Alaska,North Slope Borough,1,3,AR
5063,5,63,Arkansas,Independence County,4003,4.0,3.0,Arizona,Cochise County,11,20,AR
5007,5,7,Arkansas,Benton County,4013,4.0,13.0,Arizona,Maricopa County,26,31,AR
5033,5,33,Arkansas,Crawford County,4013,4.0,13.0,Arizona,Maricopa County,25,39,AR
5051,5,51,Arkansas,Garland County,4013,4.0,13.0,Arizona,Maricopa County,65,55,AR
5069,5,69,Arkansas,Jefferson County,4013,4.0,13.0,Arizona,Maricopa County,35,52,AR
5111,5,111,Arkansas,Poinsett County,4013,4.0,13.0,Arizona,Maricopa County,13,19,AR
5115,5,115,Arkansas,Pope County,4013,4.0,13.0,Arizona,Maricopa County,56,89,AR
5143,5,143,Arkansas,Washington County,4013,4.0,13.0,Arizona,Maricopa County,29,50,AR
5145,5,145,Arkansas,White County,4013,4.0,13.0,Arizona,Maricopa County,10,15,AR
5015,5,15,Arkansas,Carroll County,4017,4.0,17.0,Arizona,Navajo County,11,17,AR
5109,5,109,Arkansas,Pike County,4027,4.0,27.0,Arizona,Yuma County,2,4,AR
5001,5,1,Arkansas,Arkansas County,5001,5.0,1.0,Arkansas,Arkansas County,7327,349,AR
5035,5,35,Arkansas,Crittenden County,5001,5.0,1.0,Arkansas,Arkansas County,3,7,AR
5041,5,41,Arkansas,Desha County,5001,5.0,1.0,Arkansas,Arkansas County,110,53,AR
5043,5,43,Arkansas,Drew County,5001,5.0,1.0,Arkansas,Arkansas County,5,9,AR
5051,5,51,Arkansas,Garland County,5001,5.0,1.0,Arkansas,Arkansas County,15,25,AR
5053,5,53,Arkansas,Grant County,5001,5.0,1.0,Arkansas,Arkansas County,33,31,AR
5069,5,69,Arkansas,Jefferson County,5001,5.0,1.0,Arkansas,Arkansas County,380,126,AR
5077,5,77,Arkansas,Lee County,5001,5.0,1.0,Arkansas,Arkansas County,22,20,AR
5079,5,79,Arkansas,Lincoln County,5001,5.0,1.0,Arkansas,Arkansas County,15,18,AR
5085,5,85,Arkansas,Lonoke County,5001,5.0,1.0,Arkansas,Arkansas County,263,82,AR
5095,5,95,Arkansas,Monroe County,5001,5.0,1.0,Arkansas,Arkansas County,346,77,AR
5103,5,103,Arkansas,Ouachita County,5001,5.0,1.0,Arkansas,Arkansas County,10,18,AR
5107,5,107,Arkansas,Phillips County,5001,5.0,1.0,Arkansas,Arkansas County,99,60,AR
5117,5,117,Arkansas,Prairie County,5001,5.0,1.0,Arkansas,Arkansas County,544,97,AR
5119,5,119,Arkansas,Pulaski County,5001,5.0,1.0,Arkansas,Arkansas County,80,72,AR
5123,5,123,Arkansas,St. Francis County,5001,5.0,1.0,Arkansas,Arkansas County,19,18,AR
5145,5,145,Arkansas,White County,5001,5.0,1.0,Arkansas,Arkansas County,57,56,AR
5003,5,3,Arkansas,Ashley County,5003,5.0,3.0,Arkansas,Ashley County,6395,389,AR
5011,5,11,Arkansas,Bradley County,5003,5.0,3.0,Arkansas,Ashley County,105,64,AR
5017,5,17,Arkansas,Chicot County,5003,5.0,3.0,Arkansas,Ashley County,95,58,AR
5025,5,25,Arkansas,Cleveland County,5003,5.0,3.0,Arkansas,Ashley County,16,22,AR
5039,5,39,Arkansas,Dallas County,5003,5.0,3.0,Arkansas,Ashley County,10,16,AR
5041,5,41,Arkansas,Desha County,5003,5.0,3.0,Arkansas,Ashley County,7,10,AR
5043,5,43,Arkansas,Drew County,5003,5.0,3.0,Arkansas,Ashley County,168,79,AR
5047,5,47,Arkansas,Franklin County,5003,5.0,3.0,Arkansas,Ashley County,11,17,AR
5079,5,79,Arkansas,Lincoln County,5003,5.0,3.0,Arkansas,Ashley County,11,14,AR
5117,5,117,Arkansas,Prairie County,5003,5.0,3.0,Arkansas,Ashley County,2,4,AR
5139,5,139,Arkansas,Union County,5003,5.0,3.0,Arkansas,Ashley County,97,58,AR
5141,5,141,Arkansas,Van Buren County,5003,5.0,3.0,Arkansas,Ashley County,27,42,AR
5005,5,5,Arkansas,Baxter County,5005,5.0,5.0,Arkansas,Baxter County,12543,604,AR
5007,5,7,Arkansas,Benton County,5005,5.0,5.0,Arkansas,Baxter County,8,13,AR
5009,5,9,Arkansas,Boone County,5005,5.0,5.0,Arkansas,Baxter County,24,25,AR
5015,5,15,Arkansas,Carroll County,5005,5.0,5.0,Arkansas,Baxter County,4,7,AR
5045,5,45,Arkansas,Faulkner County,5005,5.0,5.0,Arkansas,Baxter County,29,36,AR
5049,5,49,Arkansas,Fulton County,5005,5.0,5.0,Arkansas,Baxter County,410,143,AR
5063,5,63,Arkansas,Independence County,5005,5.0,5.0,Arkansas,Baxter County,10,16,AR
5065,5,65,Arkansas,Izard County,5005,5.0,5.0,Arkansas,Baxter County,281,99,AR
5089,5,89,Arkansas,Marion County,5005,5.0,5.0,Arkansas,Baxter County,1201,245,AR
5093,5,93,Arkansas,Mississippi County,5005,5.0,5.0,Arkansas,Baxter County,10,16,AR
5099,5,99,Arkansas,Nevada County,5005,5.0,5.0,Arkansas,Baxter County,6,10,AR
5101,5,101,Arkansas,Newton County,5005,5.0,5.0,Arkansas,Baxter County,40,39,AR
5119,5,119,Arkansas,Pulaski County,5005,5.0,5.0,Arkansas,Baxter County,19,23,AR
