POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
4013,4,13,Arizona,Maricopa County,1069,1.0,69.0,Alabama,Houston County,16,25,AZ
4013,4,13,Arizona,Maricopa County,1089,1.0,89.0,Alabama,Madison County,38,36,AZ
4019,4,19,Arizona,Pima County,1089,1.0,89.0,Alabama,Madison County,6,11,AZ
4019,4,19,Arizona,Pima County,1097,1.0,97.0,Alabama,Mobile County,4,6,AZ
4003,4,3,Arizona,Cochise County,1101,1.0,101.0,Alabama,Montgomery County,8,12,AZ
4013,4,13,Arizona,Maricopa County,2013,2.0,13.0,Alaska,Aleutians East Borough,27,39,AZ
4013,4,13,Arizona,Maricopa County,2016,2.0,16.0,Alaska,Aleutians West Census Area,19,22,AZ
4013,4,13,Arizona,Maricopa County,2020,2.0,20.0,Alaska,Anchorage Municipality,197,111,AZ
4015,4,15,Arizona,Mohave County,2020,2.0,20.0,Alaska,Anchorage Municipality,17,28,AZ
4019,4,19,Arizona,Pima County,2020,2.0,20.0,Alaska,Anchorage Municipality,10,15,AZ
4017,4,17,Arizona,Navajo County,2068,2.0,68.0,Alaska,Denali Borough,3,4,AZ
4013,4,13,Arizona,Maricopa County,2110,2.0,110.0,Alaska,Juneau City and Borough,44,68,AZ
4027,4,27,Arizona,Yuma County,2110,2.0,110.0,Alaska,Juneau City and Borough,4,8,AZ
4013,4,13,Arizona,Maricopa County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,18,25,AZ
4025,4,25,Arizona,Yavapai County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,25,29,AZ
4007,4,7,Arizona,Gila County,2185,2.0,185.0,Alaska,North Slope Borough,22,37,AZ
4013,4,13,Arizona,Maricopa County,2185,2.0,185.0,Alaska,North Slope Borough,26,29,AZ
4021,4,21,Arizona,Pinal County,2185,2.0,185.0,Alaska,North Slope Borough,32,36,AZ
4019,4,19,Arizona,Pima County,2240,2.0,240.0,Alaska,Southeast Fairbanks Census Area,12,18,AZ
4001,4,1,Arizona,Apache County,4001,4.0,1.0,Arizona,Apache County,14349,555,AZ
4003,4,3,Arizona,Cochise County,4001,4.0,1.0,Arizona,Apache County,2,2,AZ
4005,4,5,Arizona,Coconino County,4001,4.0,1.0,Arizona,Apache County,114,50,AZ
4007,4,7,Arizona,Gila County,4001,4.0,1.0,Arizona,Apache County,16,13,AZ
4013,4,13,Arizona,Maricopa County,4001,4.0,1.0,Arizona,Apache County,163,87,AZ
4015,4,15,Arizona,Mohave County,4001,4.0,1.0,Arizona,Apache County,5,9,AZ
4017,4,17,Arizona,Navajo County,4001,4.0,1.0,Arizona,Apache County,652,175,AZ
4019,4,19,Arizona,Pima County,4001,4.0,1.0,Arizona,Apache County,9,13,AZ
4025,4,25,Arizona,Yavapai County,4001,4.0,1.0,Arizona,Apache County,2,3,AZ
4001,4,1,Arizona,Apache County,4003,4.0,3.0,Arizona,Cochise County,4,6,AZ
4003,4,3,Arizona,Cochise County,4003,4.0,3.0,Arizona,Cochise County,45049,1421,AZ
4005,4,5,Arizona,Coconino County,4003,4.0,3.0,Arizona,Cochise County,15,24,AZ
4009,4,9,Arizona,Graham County,4003,4.0,3.0,Arizona,Cochise County,144,56,AZ
4011,4,11,Arizona,Greenlee County,4003,4.0,3.0,Arizona,Cochise County,15,20,AZ
4013,4,13,Arizona,Maricopa County,4003,4.0,3.0,Arizona,Cochise County,289,117,AZ
4017,4,17,Arizona,Navajo County,4003,4.0,3.0,Arizona,Cochise County,16,2,AZ
4019,4,19,Arizona,Pima County,4003,4.0,3.0,Arizona,Cochise County,1860,304,AZ
4023,4,23,Arizona,Santa Cruz County,4003,4.0,3.0,Arizona,Cochise County,266,131,AZ
4027,4,27,Arizona,Yuma County,4003,4.0,3.0,Arizona,Cochise County,21,19,AZ
4001,4,1,Arizona,Apache County,4005,4.0,5.0,Arizona,Coconino County,45,25,AZ
4005,4,5,Arizona,Coconino County,4005,4.0,5.0,Arizona,Coconino County,58867,1116,AZ
4007,4,7,Arizona,Gila County,4005,4.0,5.0,Arizona,Coconino County,106,108,AZ
4013,4,13,Arizona,Maricopa County,4005,4.0,5.0,Arizona,Coconino County,675,203,AZ
4015,4,15,Arizona,Mohave County,4005,4.0,5.0,Arizona,Coconino County,197,85,AZ
4017,4,17,Arizona,Navajo County,4005,4.0,5.0,Arizona,Coconino County,621,108,AZ
4019,4,19,Arizona,Pima County,4005,4.0,5.0,Arizona,Coconino County,71,47,AZ
4021,4,21,Arizona,Pinal County,4005,4.0,5.0,Arizona,Coconino County,14,23,AZ
4025,4,25,Arizona,Yavapai County,4005,4.0,5.0,Arizona,Coconino County,2117,451,AZ
4001,4,1,Arizona,Apache County,4007,4.0,7.0,Arizona,Gila County,34,27,AZ
4005,4,5,Arizona,Coconino County,4007,4.0,7.0,Arizona,Gila County,79,57,AZ
4007,4,7,Arizona,Gila County,4007,4.0,7.0,Arizona,Gila County,14829,661,AZ
4009,4,9,Arizona,Graham County,4007,4.0,7.0,Arizona,Gila County,645,134,AZ
4011,4,11,Arizona,Greenlee County,4007,4.0,7.0,Arizona,Gila County,7,10,AZ
4012,4,12,Arizona,La Paz County,4007,4.0,7.0,Arizona,Gila County,11,19,AZ
4013,4,13,Arizona,Maricopa County,4007,4.0,7.0,Arizona,Gila County,1105,187,AZ
4017,4,17,Arizona,Navajo County,4007,4.0,7.0,Arizona,Gila County,73,44,AZ
4019,4,19,Arizona,Pima County,4007,4.0,7.0,Arizona,Gila County,135,112,AZ
4021,4,21,Arizona,Pinal County,4007,4.0,7.0,Arizona,Gila County,899,226,AZ
4025,4,25,Arizona,Yavapai County,4007,4.0,7.0,Arizona,Gila County,54,47,AZ
4001,4,1,Arizona,Apache County,4009,4.0,9.0,Arizona,Graham County,93,125,AZ
4003,4,3,Arizona,Cochise County,4009,4.0,9.0,Arizona,Graham County,69,88,AZ
4007,4,7,Arizona,Gila County,4009,4.0,9.0,Arizona,Graham County,152,97,AZ
4009,4,9,Arizona,Graham County,4009,4.0,9.0,Arizona,Graham County,9401,512,AZ
4011,4,11,Arizona,Greenlee County,4009,4.0,9.0,Arizona,Graham County,144,64,AZ
4013,4,13,Arizona,Maricopa County,4009,4.0,9.0,Arizona,Graham County,110,65,AZ
4017,4,17,Arizona,Navajo County,4009,4.0,9.0,Arizona,Graham County,14,14,AZ
4019,4,19,Arizona,Pima County,4009,4.0,9.0,Arizona,Graham County,112,67,AZ
4021,4,21,Arizona,Pinal County,4009,4.0,9.0,Arizona,Graham County,24,38,AZ
4025,4,25,Arizona,Yavapai County,4009,4.0,9.0,Arizona,Graham County,31,37,AZ
4001,4,1,Arizona,Apache County,4011,4.0,11.0,Arizona,Greenlee County,23,26,AZ
4003,4,3,Arizona,Cochise County,4011,4.0,11.0,Arizona,Greenlee County,66,60,AZ
4005,4,5,Arizona,Coconino County,4011,4.0,11.0,Arizona,Greenlee County,2,3,AZ
4007,4,7,Arizona,Gila County,4011,4.0,11.0,Arizona,Greenlee County,32,33,AZ
4009,4,9,Arizona,Graham County,4011,4.0,11.0,Arizona,Greenlee County,1032,208,AZ
4011,4,11,Arizona,Greenlee County,4011,4.0,11.0,Arizona,Greenlee County,3009,196,AZ
4013,4,13,Arizona,Maricopa County,4011,4.0,11.0,Arizona,Greenlee County,200,101,AZ
4015,4,15,Arizona,Mohave County,4011,4.0,11.0,Arizona,Greenlee County,18,30,AZ
4017,4,17,Arizona,Navajo County,4011,4.0,11.0,Arizona,Greenlee County,21,27,AZ
4019,4,19,Arizona,Pima County,4011,4.0,11.0,Arizona,Greenlee County,258,114,AZ
4021,4,21,Arizona,Pinal County,4011,4.0,11.0,Arizona,Greenlee County,54,53,AZ
4023,4,23,Arizona,Santa Cruz County,4011,4.0,11.0,Arizona,Greenlee County,53,86,AZ
4025,4,25,Arizona,Yavapai County,4011,4.0,11.0,Arizona,Greenlee County,13,21,AZ
4012,4,12,Arizona,La Paz County,4012,4.0,12.0,Arizona,La Paz County,5590,504,AZ
4013,4,13,Arizona,Maricopa County,4012,4.0,12.0,Arizona,La Paz County,94,56,AZ
