POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
10001,10,1,Delaware,Kent County,4013,4.0,13.0,Arizona,Maricopa County,8,12,DE
10003,10,3,Delaware,New Castle County,4013,4.0,13.0,Arizona,Maricopa County,23,27,DE
10005,10,5,Delaware,Sussex County,4013,4.0,13.0,Arizona,Maricopa County,7,12,DE
10003,10,3,Delaware,New Castle County,5031,5.0,31.0,Arkansas,Craighead County,16,26,DE
10003,10,3,Delaware,New Castle County,5045,5.0,45.0,Arkansas,Faulkner County,6,11,DE
10003,10,3,Delaware,New Castle County,6073,6.0,73.0,California,San Diego County,11,17,DE
10003,10,3,Delaware,New Castle County,6075,6.0,75.0,California,San Francisco County,14,21,DE
10003,10,3,Delaware,New Castle County,8097,8.0,97.0,Colorado,Pitkin County,11,19,DE
10005,10,5,Delaware,Sussex County,9009,9.0,9.0,Connecticut,New Haven County,7,11,DE
10001,10,1,Delaware,Kent County,9011,9.0,11.0,Connecticut,New London County,14,22,DE
10003,10,3,Delaware,New Castle County,9011,9.0,11.0,Connecticut,New London County,14,23,DE
10001,10,1,Delaware,Kent County,10001,10.0,1.0,Delaware,Kent County,53552,1273,DE
10003,10,3,Delaware,New Castle County,10001,10.0,1.0,Delaware,Kent County,4019,441,DE
10005,10,5,Delaware,Sussex County,10001,10.0,1.0,Delaware,Kent County,6630,489,DE
10001,10,1,Delaware,Kent County,10003,10.0,3.0,Delaware,New Castle County,10562,769,DE
10003,10,3,Delaware,New Castle County,10003,10.0,3.0,Delaware,New Castle County,214105,2426,DE
10005,10,5,Delaware,Sussex County,10003,10.0,3.0,Delaware,New Castle County,1147,202,DE
10001,10,1,Delaware,Kent County,10005,10.0,5.0,Delaware,Sussex County,6797,587,DE
10003,10,3,Delaware,New Castle County,10005,10.0,5.0,Delaware,Sussex County,553,162,DE
10005,10,5,Delaware,Sussex County,10005,10.0,5.0,Delaware,Sussex County,67082,1338,DE
10001,10,1,Delaware,Kent County,11001,11.0,1.0,District of Columbia,District of Columbia,223,116,DE
10003,10,3,Delaware,New Castle County,11001,11.0,1.0,District of Columbia,District of Columbia,415,161,DE
10005,10,5,Delaware,Sussex County,11001,11.0,1.0,District of Columbia,District of Columbia,388,108,DE
10003,10,3,Delaware,New Castle County,12011,12.0,11.0,Florida,Broward County,24,28,DE
