POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
13089,13,89,Georgia,DeKalb County,1001,1.0,1.0,Alabama,Autauga County,24,40,GA
13067,13,67,Georgia,Cobb County,1003,1.0,3.0,Alabama,Baldwin County,7,11,GA
13285,13,285,Georgia,Troup County,1003,1.0,3.0,Alabama,Baldwin County,12,20,GA
13005,13,5,Georgia,Bacon County,1005,1.0,5.0,Alabama,Barbour County,9,15,GA
13037,13,37,Georgia,Calhoun County,1005,1.0,5.0,Alabama,Barbour County,32,46,GA
13061,13,61,Georgia,Clay County,1005,1.0,5.0,Alabama,Barbour County,141,68,GA
13095,13,95,Georgia,Dougherty County,1005,1.0,5.0,Alabama,Barbour County,12,19,GA
13099,13,99,Georgia,Early County,1005,1.0,5.0,Alabama,Barbour County,50,40,GA
13157,13,157,Georgia,Jackson County,1005,1.0,5.0,Alabama,Barbour County,4,7,GA
13239,13,239,Georgia,Quitman County,1005,1.0,5.0,Alabama,Barbour County,388,89,GA
13243,13,243,Georgia,Randolph County,1005,1.0,5.0,Alabama,Barbour County,81,77,GA
13259,13,259,Georgia,Stewart County,1005,1.0,5.0,Alabama,Barbour County,139,73,GA
13273,13,273,Georgia,Terrell County,1005,1.0,5.0,Alabama,Barbour County,29,35,GA
13215,13,215,Georgia,Muscogee County,1009,1.0,9.0,Alabama,Blount County,19,28,GA
13215,13,215,Georgia,Muscogee County,1011,1.0,11.0,Alabama,Bullock County,11,19,GA
13087,13,87,Georgia,Decatur County,1013,1.0,13.0,Alabama,Butler County,13,20,GA
13015,13,15,Georgia,Bartow County,1015,1.0,15.0,Alabama,Calhoun County,2,4,GA
13039,13,39,Georgia,Camden County,1015,1.0,15.0,Alabama,Calhoun County,3,6,GA
13045,13,45,Georgia,Carroll County,1015,1.0,15.0,Alabama,Calhoun County,61,72,GA
13067,13,67,Georgia,Cobb County,1015,1.0,15.0,Alabama,Calhoun County,25,29,GA
13073,13,73,Georgia,Columbia County,1015,1.0,15.0,Alabama,Calhoun County,52,78,GA
13079,13,79,Georgia,Crawford County,1015,1.0,15.0,Alabama,Calhoun County,9,14,GA
13097,13,97,Georgia,Douglas County,1015,1.0,15.0,Alabama,Calhoun County,46,45,GA
13113,13,113,Georgia,Fayette County,1015,1.0,15.0,Alabama,Calhoun County,11,17,GA
13115,13,115,Georgia,Floyd County,1015,1.0,15.0,Alabama,Calhoun County,15,27,GA
13117,13,117,Georgia,Forsyth County,1015,1.0,15.0,Alabama,Calhoun County,10,16,GA
13129,13,129,Georgia,Gordon County,1015,1.0,15.0,Alabama,Calhoun County,3,6,GA
13143,13,143,Georgia,Haralson County,1015,1.0,15.0,Alabama,Calhoun County,9,17,GA
13149,13,149,Georgia,Heard County,1015,1.0,15.0,Alabama,Calhoun County,4,7,GA
13223,13,223,Georgia,Paulding County,1015,1.0,15.0,Alabama,Calhoun County,12,18,GA
13233,13,233,Georgia,Polk County,1015,1.0,15.0,Alabama,Calhoun County,6,10,GA
13045,13,45,Georgia,Carroll County,1017,1.0,17.0,Alabama,Chambers County,15,22,GA
13077,13,77,Georgia,Coweta County,1017,1.0,17.0,Alabama,Chambers County,15,20,GA
13145,13,145,Georgia,Harris County,1017,1.0,17.0,Alabama,Chambers County,43,36,GA
13149,13,149,Georgia,Heard County,1017,1.0,17.0,Alabama,Chambers County,1,3,GA
13199,13,199,Georgia,Meriwether County,1017,1.0,17.0,Alabama,Chambers County,9,15,GA
13215,13,215,Georgia,Muscogee County,1017,1.0,17.0,Alabama,Chambers County,20,24,GA
13285,13,285,Georgia,Troup County,1017,1.0,17.0,Alabama,Chambers County,688,227,GA
13055,13,55,Georgia,Chattooga County,1019,1.0,19.0,Alabama,Cherokee County,66,53,GA
13115,13,115,Georgia,Floyd County,1019,1.0,19.0,Alabama,Cherokee County,21,33,GA
13233,13,233,Georgia,Polk County,1019,1.0,19.0,Alabama,Cherokee County,1,3,GA
13045,13,45,Georgia,Carroll County,1027,1.0,27.0,Alabama,Clay County,14,23,GA
13045,13,45,Georgia,Carroll County,1029,1.0,29.0,Alabama,Cleburne County,44,42,GA
13143,13,143,Georgia,Haralson County,1029,1.0,29.0,Alabama,Cleburne County,33,39,GA
13101,13,101,Georgia,Echols County,1031,1.0,31.0,Alabama,Coffee County,3,5,GA
13223,13,223,Georgia,Paulding County,1031,1.0,31.0,Alabama,Coffee County,11,18,GA
13285,13,285,Georgia,Troup County,1041,1.0,41.0,Alabama,Crenshaw County,3,6,GA
13055,13,55,Georgia,Chattooga County,1043,1.0,43.0,Alabama,Cullman County,11,16,GA
13111,13,111,Georgia,Fannin County,1043,1.0,43.0,Alabama,Cullman County,4,6,GA
13113,13,113,Georgia,Fayette County,1043,1.0,43.0,Alabama,Cullman County,12,18,GA
13051,13,51,Georgia,Chatham County,1045,1.0,45.0,Alabama,Dale County,5,7,GA
13089,13,89,Georgia,DeKalb County,1045,1.0,45.0,Alabama,Dale County,15,28,GA
13099,13,99,Georgia,Early County,1045,1.0,45.0,Alabama,Dale County,46,48,GA
13179,13,179,Georgia,Liberty County,1045,1.0,45.0,Alabama,Dale County,12,19,GA
13215,13,215,Georgia,Muscogee County,1045,1.0,45.0,Alabama,Dale County,22,33,GA
13303,13,303,Georgia,Washington County,1045,1.0,45.0,Alabama,Dale County,10,15,GA
13057,13,57,Georgia,Cherokee County,1047,1.0,47.0,Alabama,Dallas County,15,22,GA
13055,13,55,Georgia,Chattooga County,1049,1.0,49.0,Alabama,DeKalb County,39,29,GA
13083,13,83,Georgia,Dade County,1049,1.0,49.0,Alabama,DeKalb County,31,31,GA
13115,13,115,Georgia,Floyd County,1049,1.0,49.0,Alabama,DeKalb County,76,70,GA
13021,13,21,Georgia,Bibb County,1051,1.0,51.0,Alabama,Elmore County,9,14,GA
13247,13,247,Georgia,Rockdale County,1051,1.0,51.0,Alabama,Elmore County,24,35,GA
13285,13,285,Georgia,Troup County,1051,1.0,51.0,Alabama,Elmore County,36,40,GA
13067,13,67,Georgia,Cobb County,1053,1.0,53.0,Alabama,Escambia County,5,9,GA
13131,13,131,Georgia,Grady County,1053,1.0,53.0,Alabama,Escambia County,18,30,GA
13045,13,45,Georgia,Carroll County,1055,1.0,55.0,Alabama,Etowah County,26,41,GA
13089,13,89,Georgia,DeKalb County,1055,1.0,55.0,Alabama,Etowah County,37,57,GA
13115,13,115,Georgia,Floyd County,1055,1.0,55.0,Alabama,Etowah County,31,41,GA
13143,13,143,Georgia,Haralson County,1055,1.0,55.0,Alabama,Etowah County,38,43,GA
13223,13,223,Georgia,Paulding County,1055,1.0,55.0,Alabama,Etowah County,13,23,GA
13001,13,1,Georgia,Appling County,1059,1.0,59.0,Alabama,Franklin County,17,25,GA
13285,13,285,Georgia,Troup County,1061,1.0,61.0,Alabama,Geneva County,6,9,GA
13061,13,61,Georgia,Clay County,1067,1.0,67.0,Alabama,Henry County,31,23,GA
13099,13,99,Georgia,Early County,1067,1.0,67.0,Alabama,Henry County,19,24,GA
13201,13,201,Georgia,Miller County,1067,1.0,67.0,Alabama,Henry County,8,13,GA
13261,13,261,Georgia,Sumter County,1067,1.0,67.0,Alabama,Henry County,11,20,GA
13037,13,37,Georgia,Calhoun County,1069,1.0,69.0,Alabama,Houston County,12,24,GA
13039,13,39,Georgia,Camden County,1069,1.0,69.0,Alabama,Houston County,80,76,GA
13061,13,61,Georgia,Clay County,1069,1.0,69.0,Alabama,Houston County,57,73,GA
13087,13,87,Georgia,Decatur County,1069,1.0,69.0,Alabama,Houston County,36,50,GA
13099,13,99,Georgia,Early County,1069,1.0,69.0,Alabama,Houston County,305,82,GA
13113,13,113,Georgia,Fayette County,1069,1.0,69.0,Alabama,Houston County,33,50,GA
13121,13,121,Georgia,Fulton County,1069,1.0,69.0,Alabama,Houston County,17,31,GA
13127,13,127,Georgia,Glynn County,1069,1.0,69.0,Alabama,Houston County,18,29,GA
13157,13,157,Georgia,Jackson County,1069,1.0,69.0,Alabama,Houston County,75,116,GA
13201,13,201,Georgia,Miller County,1069,1.0,69.0,Alabama,Houston County,20,22,GA
13215,13,215,Georgia,Muscogee County,1069,1.0,69.0,Alabama,Houston County,49,64,GA
13233,13,233,Georgia,Polk County,1069,1.0,69.0,Alabama,Houston County,16,25,GA
13253,13,253,Georgia,Seminole County,1069,1.0,69.0,Alabama,Houston County,184,76,GA
13321,13,321,Georgia,Worth County,1069,1.0,69.0,Alabama,Houston County,6,10,GA
13067,13,67,Georgia,Cobb County,1071,1.0,71.0,Alabama,Jackson County,20,31,GA
13073,13,73,Georgia,Columbia County,1071,1.0,71.0,Alabama,Jackson County,15,25,GA
13083,13,83,Georgia,Dade County,1071,1.0,71.0,Alabama,Jackson County,78,45,GA
13121,13,121,Georgia,Fulton County,1071,1.0,71.0,Alabama,Jackson County,10,19,GA
13123,13,123,Georgia,Gilmer County,1071,1.0,71.0,Alabama,Jackson County,140,205,GA
13207,13,207,Georgia,Monroe County,1071,1.0,71.0,Alabama,Jackson County,36,38,GA
13213,13,213,Georgia,Murray County,1071,1.0,71.0,Alabama,Jackson County,15,25,GA
13293,13,293,Georgia,Upson County,1071,1.0,71.0,Alabama,Jackson County,2,4,GA
13295,13,295,Georgia,Walker County,1071,1.0,71.0,Alabama,Jackson County,49,37,GA
13021,13,21,Georgia,Bibb County,1073,1.0,73.0,Alabama,Jefferson County,11,19,GA
13045,13,45,Georgia,Carroll County,1073,1.0,73.0,Alabama,Jefferson County,32,37,GA
13047,13,47,Georgia,Catoosa County,1073,1.0,73.0,Alabama,Jefferson County,10,16,GA
13057,13,57,Georgia,Cherokee County,1073,1.0,73.0,Alabama,Jefferson County,92,96,GA
13059,13,59,Georgia,Clarke County,1073,1.0,73.0,Alabama,Jefferson County,15,25,GA
13063,13,63,Georgia,Clayton County,1073,1.0,73.0,Alabama,Jefferson County,9,14,GA
13067,13,67,Georgia,Cobb County,1073,1.0,73.0,Alabama,Jefferson County,149,76,GA
13071,13,71,Georgia,Colquitt County,1073,1.0,73.0,Alabama,Jefferson County,30,49,GA
13077,13,77,Georgia,Coweta County,1073,1.0,73.0,Alabama,Jefferson County,95,114,GA
13089,13,89,Georgia,DeKalb County,1073,1.0,73.0,Alabama,Jefferson County,22,36,GA
13097,13,97,Georgia,Douglas County,1073,1.0,73.0,Alabama,Jefferson County,98,86,GA
13113,13,113,Georgia,Fayette County,1073,1.0,73.0,Alabama,Jefferson County,8,12,GA
13115,13,115,Georgia,Floyd County,1073,1.0,73.0,Alabama,Jefferson County,8,12,GA
13117,13,117,Georgia,Forsyth County,1073,1.0,73.0,Alabama,Jefferson County,45,51,GA
13121,13,121,Georgia,Fulton County,1073,1.0,73.0,Alabama,Jefferson County,102,76,GA
13135,13,135,Georgia,Gwinnett County,1073,1.0,73.0,Alabama,Jefferson County,65,85,GA
13143,13,143,Georgia,Haralson County,1073,1.0,73.0,Alabama,Jefferson County,55,57,GA
13149,13,149,Georgia,Heard County,1073,1.0,73.0,Alabama,Jefferson County,38,41,GA
13157,13,157,Georgia,Jackson County,1073,1.0,73.0,Alabama,Jefferson County,26,40,GA
13161,13,161,Georgia,Jeff Davis County,1073,1.0,73.0,Alabama,Jefferson County,16,24,GA
13185,13,185,Georgia,Lowndes County,1073,1.0,73.0,Alabama,Jefferson County,6,8,GA
13193,13,193,Georgia,Macon County,1073,1.0,73.0,Alabama,Jefferson County,4,7,GA
13213,13,213,Georgia,Murray County,1073,1.0,73.0,Alabama,Jefferson County,7,11,GA
13215,13,215,Georgia,Muscogee County,1073,1.0,73.0,Alabama,Jefferson County,14,23,GA
13217,13,217,Georgia,Newton County,1073,1.0,73.0,Alabama,Jefferson County,12,16,GA
13237,13,237,Georgia,Putnam County,1073,1.0,73.0,Alabama,Jefferson County,19,24,GA
13241,13,241,Georgia,Rabun County,1073,1.0,73.0,Alabama,Jefferson County,3,4,GA
13261,13,261,Georgia,Sumter County,1073,1.0,73.0,Alabama,Jefferson County,17,25,GA
13287,13,287,Georgia,Turner County,1073,1.0,73.0,Alabama,Jefferson County,2,4,GA
13293,13,293,Georgia,Upson County,1073,1.0,73.0,Alabama,Jefferson County,7,12,GA
13295,13,295,Georgia,Walker County,1073,1.0,73.0,Alabama,Jefferson County,45,48,GA
13297,13,297,Georgia,Walton County,1073,1.0,73.0,Alabama,Jefferson County,57,61,GA
13313,13,313,Georgia,Whitfield County,1073,1.0,73.0,Alabama,Jefferson County,3,5,GA
13067,13,67,Georgia,Cobb County,1077,1.0,77.0,Alabama,Lauderdale County,13,21,GA
13045,13,45,Georgia,Carroll County,1081,1.0,81.0,Alabama,Lee County,8,14,GA
13053,13,53,Georgia,Chattahoochee County,1081,1.0,81.0,Alabama,Lee County,34,27,GA
13057,13,57,Georgia,Cherokee County,1081,1.0,81.0,Alabama,Lee County,13,23,GA
13063,13,63,Georgia,Clayton County,1081,1.0,81.0,Alabama,Lee County,89,102,GA
13067,13,67,Georgia,Cobb County,1081,1.0,81.0,Alabama,Lee County,14,22,GA
13089,13,89,Georgia,DeKalb County,1081,1.0,81.0,Alabama,Lee County,35,42,GA
13093,13,93,Georgia,Dooly County,1081,1.0,81.0,Alabama,Lee County,3,6,GA
13097,13,97,Georgia,Douglas County,1081,1.0,81.0,Alabama,Lee County,16,26,GA
13113,13,113,Georgia,Fayette County,1081,1.0,81.0,Alabama,Lee County,21,50,GA
13117,13,117,Georgia,Forsyth County,1081,1.0,81.0,Alabama,Lee County,15,25,GA
13121,13,121,Georgia,Fulton County,1081,1.0,81.0,Alabama,Lee County,83,90,GA
13135,13,135,Georgia,Gwinnett County,1081,1.0,81.0,Alabama,Lee County,3,6,GA
13145,13,145,Georgia,Harris County,1081,1.0,81.0,Alabama,Lee County,242,146,GA
13149,13,149,Georgia,Heard County,1081,1.0,81.0,Alabama,Lee County,10,14,GA
13175,13,175,Georgia,Laurens County,1081,1.0,81.0,Alabama,Lee County,4,6,GA
13181,13,181,Georgia,Lincoln County,1081,1.0,81.0,Alabama,Lee County,8,13,GA
13185,13,185,Georgia,Lowndes County,1081,1.0,81.0,Alabama,Lee County,17,26,GA
13197,13,197,Georgia,Marion County,1081,1.0,81.0,Alabama,Lee County,23,23,GA
13215,13,215,Georgia,Muscogee County,1081,1.0,81.0,Alabama,Lee County,633,184,GA
13231,13,231,Georgia,Pike County,1081,1.0,81.0,Alabama,Lee County,8,10,GA
13239,13,239,Georgia,Quitman County,1081,1.0,81.0,Alabama,Lee County,7,10,GA
13259,13,259,Georgia,Stewart County,1081,1.0,81.0,Alabama,Lee County,19,23,GA
13263,13,263,Georgia,Talbot County,1081,1.0,81.0,Alabama,Lee County,7,10,GA
13269,13,269,Georgia,Taylor County,1081,1.0,81.0,Alabama,Lee County,3,5,GA
13285,13,285,Georgia,Troup County,1081,1.0,81.0,Alabama,Lee County,371,156,GA
13307,13,307,Georgia,Webster County,1081,1.0,81.0,Alabama,Lee County,5,7,GA
13215,13,215,Georgia,Muscogee County,1087,1.0,87.0,Alabama,Macon County,33,37,GA
13067,13,67,Georgia,Cobb County,1089,1.0,89.0,Alabama,Madison County,27,33,GA
13085,13,85,Georgia,Dawson County,1089,1.0,89.0,Alabama,Madison County,28,44,GA
13089,13,89,Georgia,DeKalb County,1089,1.0,89.0,Alabama,Madison County,72,70,GA
13115,13,115,Georgia,Floyd County,1089,1.0,89.0,Alabama,Madison County,25,25,GA
13121,13,121,Georgia,Fulton County,1089,1.0,89.0,Alabama,Madison County,31,51,GA
13129,13,129,Georgia,Gordon County,1089,1.0,89.0,Alabama,Madison County,2,3,GA
13135,13,135,Georgia,Gwinnett County,1089,1.0,89.0,Alabama,Madison County,38,51,GA
13151,13,151,Georgia,Henry County,1089,1.0,89.0,Alabama,Madison County,32,36,GA
13215,13,215,Georgia,Muscogee County,1089,1.0,89.0,Alabama,Madison County,28,35,GA
13285,13,285,Georgia,Troup County,1089,1.0,89.0,Alabama,Madison County,6,9,GA
13295,13,295,Georgia,Walker County,1089,1.0,89.0,Alabama,Madison County,48,57,GA
13113,13,113,Georgia,Fayette County,1095,1.0,95.0,Alabama,Marshall County,7,11,GA
13135,13,135,Georgia,Gwinnett County,1095,1.0,95.0,Alabama,Marshall County,18,31,GA
13139,13,139,Georgia,Hall County,1095,1.0,95.0,Alabama,Marshall County,19,29,GA
13143,13,143,Georgia,Haralson County,1095,1.0,95.0,Alabama,Marshall County,15,25,GA
13215,13,215,Georgia,Muscogee County,1095,1.0,95.0,Alabama,Marshall County,33,36,GA
13297,13,297,Georgia,Walton County,1095,1.0,95.0,Alabama,Marshall County,23,38,GA
13067,13,67,Georgia,Cobb County,1097,1.0,97.0,Alabama,Mobile County,58,51,GA
13081,13,81,Georgia,Crisp County,1097,1.0,97.0,Alabama,Mobile County,36,51,GA
13117,13,117,Georgia,Forsyth County,1097,1.0,97.0,Alabama,Mobile County,14,22,GA
13135,13,135,Georgia,Gwinnett County,1097,1.0,97.0,Alabama,Mobile County,14,22,GA
13145,13,145,Georgia,Harris County,1097,1.0,97.0,Alabama,Mobile County,4,6,GA
