POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
18061,18,61,Indiana,Harrison County,1003,1.0,3.0,Alabama,Baldwin County,11,19,IN
18109,18,109,Indiana,Morgan County,1033,1.0,33.0,Alabama,Colbert County,18,26,IN
18035,18,35,Indiana,Delaware County,1045,1.0,45.0,Alabama,Dale County,30,43,IN
18173,18,173,Indiana,Warrick County,1071,1.0,71.0,Alabama,Jackson County,59,89,IN
18043,18,43,Indiana,Floyd County,1073,1.0,73.0,Alabama,Jefferson County,8,12,IN
18055,18,55,Indiana,Greene County,1073,1.0,73.0,Alabama,Jefferson County,7,11,IN
18063,18,63,Indiana,Hendricks County,1073,1.0,73.0,Alabama,Jefferson County,9,14,IN
18097,18,97,Indiana,Marion County,1073,1.0,73.0,Alabama,Jefferson County,9,14,IN
18141,18,141,Indiana,St. Joseph County,1073,1.0,73.0,Alabama,Jefferson County,29,33,IN
18163,18,163,Indiana,Vanderburgh County,1073,1.0,73.0,Alabama,Jefferson County,16,21,IN
18025,18,25,Indiana,Crawford County,1081,1.0,81.0,Alabama,Lee County,10,15,IN
18079,18,79,Indiana,Jennings County,1089,1.0,89.0,Alabama,Madison County,6,9,IN
18127,18,127,Indiana,Porter County,1089,1.0,89.0,Alabama,Madison County,16,26,IN
18081,18,81,Indiana,Johnson County,1093,1.0,93.0,Alabama,Marion County,65,97,IN
18057,18,57,Indiana,Hamilton County,1097,1.0,97.0,Alabama,Mobile County,11,15,IN
18097,18,97,Indiana,Marion County,1101,1.0,101.0,Alabama,Montgomery County,11,17,IN
18035,18,35,Indiana,Delaware County,1117,1.0,117.0,Alabama,Shelby County,2,4,IN
18029,18,29,Indiana,Dearborn County,1125,1.0,125.0,Alabama,Tuscaloosa County,16,24,IN
18097,18,97,Indiana,Marion County,2016,2.0,16.0,Alaska,Aleutians West Census Area,35,51,IN
18003,18,3,Indiana,Allen County,2020,2.0,20.0,Alaska,Anchorage Municipality,10,18,IN
18021,18,21,Indiana,Clay County,2020,2.0,20.0,Alaska,Anchorage Municipality,21,29,IN
18057,18,57,Indiana,Hamilton County,2020,2.0,20.0,Alaska,Anchorage Municipality,50,60,IN
18023,18,23,Indiana,Clinton County,2110,2.0,110.0,Alaska,Juneau City and Borough,7,11,IN
18011,18,11,Indiana,Boone County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,10,16,IN
18061,18,61,Indiana,Harrison County,4003,4.0,3.0,Arizona,Cochise County,16,25,IN
18063,18,63,Indiana,Hendricks County,4013,4.0,13.0,Arizona,Maricopa County,18,32,IN
18089,18,89,Indiana,Lake County,4013,4.0,13.0,Arizona,Maricopa County,26,32,IN
18105,18,105,Indiana,Monroe County,4013,4.0,13.0,Arizona,Maricopa County,12,18,IN
18137,18,137,Indiana,Ripley County,4013,4.0,13.0,Arizona,Maricopa County,9,14,IN
18141,18,141,Indiana,St. Joseph County,4013,4.0,13.0,Arizona,Maricopa County,15,24,IN
18097,18,97,Indiana,Marion County,4015,4.0,15.0,Arizona,Mohave County,28,44,IN
18019,18,19,Indiana,Clark County,5007,5.0,7.0,Arkansas,Benton County,6,10,IN
18021,18,21,Indiana,Clay County,5007,5.0,7.0,Arkansas,Benton County,11,19,IN
18097,18,97,Indiana,Marion County,5007,5.0,7.0,Arkansas,Benton County,30,40,IN
18097,18,97,Indiana,Marion County,5031,5.0,31.0,Arkansas,Craighead County,14,22,IN
18017,18,17,Indiana,Cass County,5033,5.0,33.0,Arkansas,Crawford County,7,12,IN
18031,18,31,Indiana,Decatur County,5033,5.0,33.0,Arkansas,Crawford County,2,4,IN
18097,18,97,Indiana,Marion County,5033,5.0,33.0,Arkansas,Crawford County,36,59,IN
