POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
25003,25,3,Massachusetts,Berkshire County,1015,1.0,15.0,Alabama,Calhoun County,9,13,MA
25021,25,21,Massachusetts,Norfolk County,1097,1.0,97.0,Alabama,Mobile County,16,24,MA
25017,25,17,Massachusetts,Middlesex County,1101,1.0,101.0,Alabama,Montgomery County,7,12,MA
25023,25,23,Massachusetts,Plymouth County,1117,1.0,117.0,Alabama,Shelby County,24,27,MA
25007,25,7,Massachusetts,Dukes County,2020,2.0,20.0,Alaska,Anchorage Municipality,12,18,MA
25003,25,3,Massachusetts,Berkshire County,2185,2.0,185.0,Alaska,North Slope Borough,5,5,MA
25017,25,17,Massachusetts,Middlesex County,4005,4.0,5.0,Arizona,Coconino County,9,14,MA
25001,25,1,Massachusetts,Barnstable County,4013,4.0,13.0,Arizona,Maricopa County,6,10,MA
25009,25,9,Massachusetts,Essex County,4013,4.0,13.0,Arizona,Maricopa County,19,30,MA
25015,25,15,Massachusetts,Hampshire County,4013,4.0,13.0,Arizona,Maricopa County,22,35,MA
25017,25,17,Massachusetts,Middlesex County,4013,4.0,13.0,Arizona,Maricopa County,10,15,MA
25025,25,25,Massachusetts,Suffolk County,4013,4.0,13.0,Arizona,Maricopa County,10,15,MA
25027,25,27,Massachusetts,Worcester County,4013,4.0,13.0,Arizona,Maricopa County,42,50,MA
25005,25,5,Massachusetts,Bristol County,4019,4.0,19.0,Arizona,Pima County,19,30,MA
25023,25,23,Massachusetts,Plymouth County,4019,4.0,19.0,Arizona,Pima County,14,23,MA
25009,25,9,Massachusetts,Essex County,5007,5.0,7.0,Arkansas,Benton County,6,13,MA
25005,25,5,Massachusetts,Bristol County,5119,5.0,119.0,Arkansas,Pulaski County,19,32,MA
25025,25,25,Massachusetts,Suffolk County,5119,5.0,119.0,Arkansas,Pulaski County,9,14,MA
25005,25,5,Massachusetts,Bristol County,6001,6.0,1.0,California,Alameda County,7,12,MA
25009,25,9,Massachusetts,Essex County,6001,6.0,1.0,California,Alameda County,31,50,MA
25015,25,15,Massachusetts,Hampshire County,6001,6.0,1.0,California,Alameda County,35,48,MA
25017,25,17,Massachusetts,Middlesex County,6001,6.0,1.0,California,Alameda County,17,20,MA
25023,25,23,Massachusetts,Plymouth County,6001,6.0,1.0,California,Alameda County,9,14,MA
25027,25,27,Massachusetts,Worcester County,6001,6.0,1.0,California,Alameda County,19,22,MA
25017,25,17,Massachusetts,Middlesex County,6029,6.0,29.0,California,Kern County,10,15,MA
25001,25,1,Massachusetts,Barnstable County,6037,6.0,37.0,California,Los Angeles County,15,21,MA
25005,25,5,Massachusetts,Bristol County,6037,6.0,37.0,California,Los Angeles County,19,21,MA
25015,25,15,Massachusetts,Hampshire County,6037,6.0,37.0,California,Los Angeles County,7,11,MA
25017,25,17,Massachusetts,Middlesex County,6037,6.0,37.0,California,Los Angeles County,72,54,MA
25023,25,23,Massachusetts,Plymouth County,6037,6.0,37.0,California,Los Angeles County,23,30,MA
25025,25,25,Massachusetts,Suffolk County,6037,6.0,37.0,California,Los Angeles County,38,37,MA
25027,25,27,Massachusetts,Worcester County,6037,6.0,37.0,California,Los Angeles County,7,8,MA
25001,25,1,Massachusetts,Barnstable County,6045,6.0,45.0,California,Mendocino County,11,17,MA
25021,25,21,Massachusetts,Norfolk County,6055,6.0,55.0,California,Napa County,19,32,MA
25025,25,25,Massachusetts,Suffolk County,6055,6.0,55.0,California,Napa County,18,30,MA
25005,25,5,Massachusetts,Bristol County,6059,6.0,59.0,California,Orange County,9,13,MA
25009,25,9,Massachusetts,Essex County,6059,6.0,59.0,California,Orange County,51,43,MA
25013,25,13,Massachusetts,Hampden County,6059,6.0,59.0,California,Orange County,9,14,MA
