POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
28047,28,47,Mississippi,Harrison County,1003,1.0,3.0,Alabama,Baldwin County,25,32,MS
28089,28,89,Mississippi,Madison County,1003,1.0,3.0,Alabama,Baldwin County,6,9,MS
28145,28,145,Mississippi,Union County,1003,1.0,3.0,Alabama,Baldwin County,9,16,MS
28021,28,21,Mississippi,Claiborne County,1005,1.0,5.0,Alabama,Barbour County,14,27,MS
28033,28,33,Mississippi,DeSoto County,1013,1.0,13.0,Alabama,Butler County,14,21,MS
28039,28,39,Mississippi,George County,1013,1.0,13.0,Alabama,Butler County,15,30,MS
28039,28,39,Mississippi,George County,1017,1.0,17.0,Alabama,Chambers County,74,83,MS
28023,28,23,Mississippi,Clarke County,1023,1.0,23.0,Alabama,Choctaw County,24,24,MS
28067,28,67,Mississippi,Jones County,1023,1.0,23.0,Alabama,Choctaw County,15,25,MS
28075,28,75,Mississippi,Lauderdale County,1023,1.0,23.0,Alabama,Choctaw County,70,67,MS
28087,28,87,Mississippi,Lowndes County,1023,1.0,23.0,Alabama,Choctaw County,12,20,MS
28153,28,153,Mississippi,Wayne County,1023,1.0,23.0,Alabama,Choctaw County,92,93,MS
28035,28,35,Mississippi,Forrest County,1025,1.0,25.0,Alabama,Clarke County,159,98,MS
28129,28,129,Mississippi,Smith County,1025,1.0,25.0,Alabama,Clarke County,7,14,MS
28153,28,153,Mississippi,Wayne County,1025,1.0,25.0,Alabama,Clarke County,16,28,MS
28075,28,75,Mississippi,Lauderdale County,1031,1.0,31.0,Alabama,Coffee County,12,19,MS
28003,28,3,Mississippi,Alcorn County,1033,1.0,33.0,Alabama,Colbert County,90,52,MS
28141,28,141,Mississippi,Tishomingo County,1033,1.0,33.0,Alabama,Colbert County,201,93,MS
28077,28,77,Mississippi,Lawrence County,1039,1.0,39.0,Alabama,Covington County,22,31,MS
28057,28,57,Mississippi,Itawamba County,1043,1.0,43.0,Alabama,Cullman County,38,38,MS
28033,28,33,Mississippi,DeSoto County,1051,1.0,51.0,Alabama,Elmore County,21,33,MS
28047,28,47,Mississippi,Harrison County,1053,1.0,53.0,Alabama,Escambia County,50,69,MS
28059,28,59,Mississippi,Jackson County,1053,1.0,53.0,Alabama,Escambia County,26,41,MS
28087,28,87,Mississippi,Lowndes County,1057,1.0,57.0,Alabama,Fayette County,14,22,MS
28003,28,3,Mississippi,Alcorn County,1059,1.0,59.0,Alabama,Franklin County,15,25,MS
28033,28,33,Mississippi,DeSoto County,1059,1.0,59.0,Alabama,Franklin County,9,15,MS
28057,28,57,Mississippi,Itawamba County,1059,1.0,59.0,Alabama,Franklin County,321,107,MS
28095,28,95,Mississippi,Monroe County,1059,1.0,59.0,Alabama,Franklin County,2,3,MS
28117,28,117,Mississippi,Prentiss County,1059,1.0,59.0,Alabama,Franklin County,16,18,MS
28141,28,141,Mississippi,Tishomingo County,1059,1.0,59.0,Alabama,Franklin County,598,207,MS
28075,28,75,Mississippi,Lauderdale County,1063,1.0,63.0,Alabama,Greene County,9,14,MS
28081,28,81,Mississippi,Lee County,1063,1.0,63.0,Alabama,Greene County,9,16,MS
28159,28,159,Mississippi,Winston County,1063,1.0,63.0,Alabama,Greene County,34,44,MS
28121,28,121,Mississippi,Rankin County,1071,1.0,71.0,Alabama,Jackson County,27,43,MS
28001,28,1,Mississippi,Adams County,1073,1.0,73.0,Alabama,Jefferson County,22,35,MS
28007,28,7,Mississippi,Attala County,1073,1.0,73.0,Alabama,Jefferson County,1,2,MS
28025,28,25,Mississippi,Clay County,1073,1.0,73.0,Alabama,Jefferson County,10,17,MS
28033,28,33,Mississippi,DeSoto County,1073,1.0,73.0,Alabama,Jefferson County,4,8,MS
28041,28,41,Mississippi,Greene County,1073,1.0,73.0,Alabama,Jefferson County,4,6,MS
28043,28,43,Mississippi,Grenada County,1073,1.0,73.0,Alabama,Jefferson County,10,18,MS
28045,28,45,Mississippi,Hancock County,1073,1.0,73.0,Alabama,Jefferson County,43,63,MS
28051,28,51,Mississippi,Holmes County,1073,1.0,73.0,Alabama,Jefferson County,9,14,MS
28065,28,65,Mississippi,Jefferson Davis County,1073,1.0,73.0,Alabama,Jefferson County,8,14,MS
28075,28,75,Mississippi,Lauderdale County,1073,1.0,73.0,Alabama,Jefferson County,8,13,MS
28077,28,77,Mississippi,Lawrence County,1073,1.0,73.0,Alabama,Jefferson County,5,9,MS
28081,28,81,Mississippi,Lee County,1073,1.0,73.0,Alabama,Jefferson County,32,51,MS
28085,28,85,Mississippi,Lincoln County,1073,1.0,73.0,Alabama,Jefferson County,17,27,MS
28087,28,87,Mississippi,Lowndes County,1073,1.0,73.0,Alabama,Jefferson County,36,37,MS
28089,28,89,Mississippi,Madison County,1073,1.0,73.0,Alabama,Jefferson County,17,28,MS
28103,28,103,Mississippi,Noxubee County,1073,1.0,73.0,Alabama,Jefferson County,34,52,MS
28105,28,105,Mississippi,Oktibbeha County,1073,1.0,73.0,Alabama,Jefferson County,11,17,MS
28109,28,109,Mississippi,Pearl River County,1073,1.0,73.0,Alabama,Jefferson County,24,42,MS
28111,28,111,Mississippi,Perry County,1073,1.0,73.0,Alabama,Jefferson County,7,11,MS
28117,28,117,Mississippi,Prentiss County,1073,1.0,73.0,Alabama,Jefferson County,15,21,MS
28121,28,121,Mississippi,Rankin County,1073,1.0,73.0,Alabama,Jefferson County,29,46,MS
28127,28,127,Mississippi,Simpson County,1073,1.0,73.0,Alabama,Jefferson County,74,89,MS
28137,28,137,Mississippi,Tate County,1073,1.0,73.0,Alabama,Jefferson County,62,93,MS
28157,28,157,Mississippi,Wilkinson County,1073,1.0,73.0,Alabama,Jefferson County,14,21,MS
28069,28,69,Mississippi,Kemper County,1075,1.0,75.0,Alabama,Lamar County,3,6,MS
28087,28,87,Mississippi,Lowndes County,1075,1.0,75.0,Alabama,Lamar County,172,108,MS
28095,28,95,Mississippi,Monroe County,1075,1.0,75.0,Alabama,Lamar County,110,73,MS
28141,28,141,Mississippi,Tishomingo County,1075,1.0,75.0,Alabama,Lamar County,15,22,MS
28003,28,3,Mississippi,Alcorn County,1077,1.0,77.0,Alabama,Lauderdale County,12,20,MS
28141,28,141,Mississippi,Tishomingo County,1077,1.0,77.0,Alabama,Lauderdale County,22,27,MS
28141,28,141,Mississippi,Tishomingo County,1079,1.0,79.0,Alabama,Lawrence County,21,32,MS
28103,28,103,Mississippi,Noxubee County,1081,1.0,81.0,Alabama,Lee County,7,11,MS
28029,28,29,Mississippi,Copiah County,1083,1.0,83.0,Alabama,Limestone County,7,12,MS
28003,28,3,Mississippi,Alcorn County,1089,1.0,89.0,Alabama,Madison County,10,16,MS
28045,28,45,Mississippi,Hancock County,1089,1.0,89.0,Alabama,Madison County,9,16,MS
28089,28,89,Mississippi,Madison County,1089,1.0,89.0,Alabama,Madison County,16,26,MS
28075,28,75,Mississippi,Lauderdale County,1091,1.0,91.0,Alabama,Marengo County,9,16,MS
28095,28,95,Mississippi,Monroe County,1091,1.0,91.0,Alabama,Marengo County,26,30,MS
28057,28,57,Mississippi,Itawamba County,1093,1.0,93.0,Alabama,Marion County,32,28,MS
28081,28,81,Mississippi,Lee County,1093,1.0,93.0,Alabama,Marion County,19,30,MS
28087,28,87,Mississippi,Lowndes County,1093,1.0,93.0,Alabama,Marion County,11,18,MS
28095,28,95,Mississippi,Monroe County,1093,1.0,93.0,Alabama,Marion County,61,58,MS
28117,28,117,Mississippi,Prentiss County,1093,1.0,93.0,Alabama,Marion County,33,51,MS
28141,28,141,Mississippi,Tishomingo County,1093,1.0,93.0,Alabama,Marion County,7,11,MS
28035,28,35,Mississippi,Forrest County,1097,1.0,97.0,Alabama,Mobile County,23,24,MS
28039,28,39,Mississippi,George County,1097,1.0,97.0,Alabama,Mobile County,1191,278,MS
28041,28,41,Mississippi,Greene County,1097,1.0,97.0,Alabama,Mobile County,197,97,MS
28045,28,45,Mississippi,Hancock County,1097,1.0,97.0,Alabama,Mobile County,20,33,MS
28047,28,47,Mississippi,Harrison County,1097,1.0,97.0,Alabama,Mobile County,428,180,MS
28049,28,49,Mississippi,Hinds County,1097,1.0,97.0,Alabama,Mobile County,9,15,MS
28059,28,59,Mississippi,Jackson County,1097,1.0,97.0,Alabama,Mobile County,1590,283,MS
28061,28,61,Mississippi,Jasper County,1097,1.0,97.0,Alabama,Mobile County,30,31,MS
28073,28,73,Mississippi,Lamar County,1097,1.0,97.0,Alabama,Mobile County,16,22,MS
28099,28,99,Mississippi,Neshoba County,1097,1.0,97.0,Alabama,Mobile County,17,28,MS
28107,28,107,Mississippi,Panola County,1097,1.0,97.0,Alabama,Mobile County,18,29,MS
28111,28,111,Mississippi,Perry County,1097,1.0,97.0,Alabama,Mobile County,23,26,MS
28123,28,123,Mississippi,Scott County,1097,1.0,97.0,Alabama,Mobile County,121,160,MS
28129,28,129,Mississippi,Smith County,1097,1.0,97.0,Alabama,Mobile County,11,18,MS
28143,28,143,Mississippi,Tunica County,1097,1.0,97.0,Alabama,Mobile County,7,9,MS
28153,28,153,Mississippi,Wayne County,1097,1.0,97.0,Alabama,Mobile County,18,29,MS
28075,28,75,Mississippi,Lauderdale County,1101,1.0,101.0,Alabama,Montgomery County,22,34,MS
28105,28,105,Mississippi,Oktibbeha County,1101,1.0,101.0,Alabama,Montgomery County,7,12,MS
28131,28,131,Mississippi,Stone County,1101,1.0,101.0,Alabama,Montgomery County,39,99,MS
28039,28,39,Mississippi,George County,1103,1.0,103.0,Alabama,Morgan County,35,57,MS
28087,28,87,Mississippi,Lowndes County,1107,1.0,107.0,Alabama,Pickens County,123,94,MS
28103,28,103,Mississippi,Noxubee County,1107,1.0,107.0,Alabama,Pickens County,22,34,MS
