POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
30001,30,1,Montana,Beaverhead County,2020,2.0,20.0,Alaska,Anchorage Municipality,3,5,MT
30013,30,13,Montana,Cascade County,2020,2.0,20.0,Alaska,Anchorage Municipality,5,5,MT
30029,30,29,Montana,Flathead County,2020,2.0,20.0,Alaska,Anchorage Municipality,49,60,MT
30031,30,31,Montana,Gallatin County,2020,2.0,20.0,Alaska,Anchorage Municipality,3,4,MT
30047,30,47,Montana,Lake County,2020,2.0,20.0,Alaska,Anchorage Municipality,6,8,MT
30093,30,93,Montana,Silver Bow County,2020,2.0,20.0,Alaska,Anchorage Municipality,12,18,MT
30111,30,111,Montana,Yellowstone County,2020,2.0,20.0,Alaska,Anchorage Municipality,14,20,MT
30001,30,1,Montana,Beaverhead County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,5,7,MT
30029,30,29,Montana,Flathead County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,11,18,MT
30049,30,49,Montana,Lewis and Clark County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,9,14,MT
30089,30,89,Montana,Sanders County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,3,6,MT
30095,30,95,Montana,Stillwater County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,6,9,MT
30009,30,9,Montana,Carbon County,2110,2.0,110.0,Alaska,Juneau City and Borough,8,12,MT
30097,30,97,Montana,Sweet Grass County,2110,2.0,110.0,Alaska,Juneau City and Borough,4,5,MT
30007,30,7,Montana,Broadwater County,2185,2.0,185.0,Alaska,North Slope Borough,6,9,MT
30029,30,29,Montana,Flathead County,2185,2.0,185.0,Alaska,North Slope Borough,18,15,MT
30053,30,53,Montana,Lincoln County,2185,2.0,185.0,Alaska,North Slope Borough,5,8,MT
30063,30,63,Montana,Missoula County,2185,2.0,185.0,Alaska,North Slope Borough,17,24,MT
30073,30,73,Montana,Pondera County,2185,2.0,185.0,Alaska,North Slope Borough,1,2,MT
