POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
38017,38,17,North Dakota,Cass County,2020,2.0,20.0,Alaska,Anchorage Municipality,4,6,ND
38011,38,11,North Dakota,Bowman County,2185,2.0,185.0,Alaska,North Slope Borough,1,2,ND
38029,38,29,North Dakota,Emmons County,2185,2.0,185.0,Alaska,North Slope Borough,6,9,ND
38095,38,95,North Dakota,Towner County,2185,2.0,185.0,Alaska,North Slope Borough,1,3,ND
38015,38,15,North Dakota,Burleigh County,4013,4.0,13.0,Arizona,Maricopa County,12,20,ND
38077,38,77,North Dakota,Richland County,4013,4.0,13.0,Arizona,Maricopa County,2,3,ND
38015,38,15,North Dakota,Burleigh County,4027,4.0,27.0,Arizona,Yuma County,8,13,ND
38097,38,97,North Dakota,Traill County,6029,6.0,29.0,California,Kern County,3,4,ND
38035,38,35,North Dakota,Grand Forks County,6037,6.0,37.0,California,Los Angeles County,4,5,ND
38091,38,91,North Dakota,Steele County,6037,6.0,37.0,California,Los Angeles County,7,8,ND
38055,38,55,North Dakota,McLean County,6065,6.0,65.0,California,Riverside County,2,3,ND
38017,38,17,North Dakota,Cass County,6075,6.0,75.0,California,San Francisco County,12,19,ND
38015,38,15,North Dakota,Burleigh County,8001,8.0,1.0,Colorado,Adams County,2,3,ND
38011,38,11,North Dakota,Bowman County,8031,8.0,31.0,Colorado,Denver County,4,7,ND
38015,38,15,North Dakota,Burleigh County,8031,8.0,31.0,Colorado,Denver County,13,20,ND
38023,38,23,North Dakota,Divide County,8031,8.0,31.0,Colorado,Denver County,2,4,ND
38053,38,53,North Dakota,McKenzie County,8031,8.0,31.0,Colorado,Denver County,12,18,ND
38015,38,15,North Dakota,Burleigh County,8035,8.0,35.0,Colorado,Douglas County,14,21,ND
38035,38,35,North Dakota,Grand Forks County,8041,8.0,41.0,Colorado,El Paso County,5,10,ND
38105,38,105,North Dakota,Williams County,8123,8.0,123.0,Colorado,Weld County,14,24,ND
38015,38,15,North Dakota,Burleigh County,11001,11.0,1.0,District of Columbia,District of Columbia,16,24,ND
38017,38,17,North Dakota,Cass County,11001,11.0,1.0,District of Columbia,District of Columbia,8,13,ND
38053,38,53,North Dakota,McKenzie County,11001,11.0,1.0,District of Columbia,District of Columbia,13,15,ND
38065,38,65,North Dakota,Oliver County,11001,11.0,1.0,District of Columbia,District of Columbia,8,9,ND
38017,38,17,North Dakota,Cass County,12071,12.0,71.0,Florida,Lee County,2,7,ND
38017,38,17,North Dakota,Cass County,12086,12.0,86.0,Florida,Miami-Dade County,8,11,ND
38057,38,57,North Dakota,Mercer County,12117,12.0,117.0,Florida,Seminole County,4,8,ND
38003,38,3,North Dakota,Barnes County,15003,15.0,3.0,Hawaii,Honolulu County,18,26,ND
38015,38,15,North Dakota,Burleigh County,16001,16.0,1.0,Idaho,Ada County,2,3,ND
38071,38,71,North Dakota,Ramsey County,17031,17.0,31.0,Illinois,Cook County,13,20,ND
38009,38,9,North Dakota,Bottineau County,17089,17.0,89.0,Illinois,Kane County,4,8,ND
38035,38,35,North Dakota,Grand Forks County,17107,17.0,107.0,Illinois,Logan County,7,11,ND
38047,38,47,North Dakota,Logan County,17167,17.0,167.0,Illinois,Sangamon County,1,3,ND
38035,38,35,North Dakota,Grand Forks County,17197,17.0,197.0,Illinois,Will County,7,12,ND
38097,38,97,North Dakota,Traill County,19013,19.0,13.0,Iowa,Black Hawk County,22,25,ND
38031,38,31,North Dakota,Foster County,19047,19.0,47.0,Iowa,Crawford County,7,10,ND
38057,38,57,North Dakota,Mercer County,19061,19.0,61.0,Iowa,Dubuque County,2,6,ND
38027,38,27,North Dakota,Eddy County,19119,19.0,119.0,Iowa,Lyon County,2,3,ND
38059,38,59,North Dakota,Morton County,19153,19.0,153.0,Iowa,Polk County,7,10,ND
38077,38,77,North Dakota,Richland County,19169,19.0,169.0,Iowa,Story County,3,5,ND
38017,38,17,North Dakota,Cass County,19193,19.0,193.0,Iowa,Woodbury County,19,24,ND
38077,38,77,North Dakota,Richland County,19193,19.0,193.0,Iowa,Woodbury County,15,25,ND
38017,38,17,North Dakota,Cass County,20091,20.0,91.0,Kansas,Johnson County,21,31,ND
38027,38,27,North Dakota,Eddy County,20091,20.0,91.0,Kansas,Johnson County,3,4,ND
38097,38,97,North Dakota,Traill County,20111,20.0,111.0,Kansas,Lyon County,3,4,ND
38055,38,55,North Dakota,McLean County,20113,20.0,113.0,Kansas,McPherson County,7,8,ND
38101,38,101,North Dakota,Ward County,24005,24.0,5.0,Maryland,Baltimore County,16,28,ND
38069,38,69,North Dakota,Pierce County,24027,24.0,27.0,Maryland,Howard County,13,20,ND
38035,38,35,North Dakota,Grand Forks County,24031,24.0,31.0,Maryland,Montgomery County,4,5,ND
38017,38,17,North Dakota,Cass County,26055,26.0,55.0,Michigan,Grand Traverse County,5,8,ND
38035,38,35,North Dakota,Grand Forks County,26149,26.0,149.0,Michigan,St. Joseph County,5,7,ND
38035,38,35,North Dakota,Grand Forks County,27003,27.0,3.0,Minnesota,Anoka County,1,4,ND
38055,38,55,North Dakota,McLean County,27003,27.0,3.0,Minnesota,Anoka County,2,3,ND
38017,38,17,North Dakota,Cass County,27005,27.0,5.0,Minnesota,Becker County,48,35,ND
38077,38,77,North Dakota,Richland County,27005,27.0,5.0,Minnesota,Becker County,2,4,ND
38035,38,35,North Dakota,Grand Forks County,27007,27.0,7.0,Minnesota,Beltrami County,10,17,ND
38071,38,71,North Dakota,Ramsey County,27007,27.0,7.0,Minnesota,Beltrami County,22,31,ND
38017,38,17,North Dakota,Cass County,27009,27.0,9.0,Minnesota,Benton County,3,5,ND
38003,38,3,North Dakota,Barnes County,27013,27.0,13.0,Minnesota,Blue Earth County,3,5,ND
38003,38,3,North Dakota,Barnes County,27021,27.0,21.0,Minnesota,Cass County,17,17,ND
38035,38,35,North Dakota,Grand Forks County,27023,27.0,23.0,Minnesota,Chippewa County,2,3,ND
38003,38,3,North Dakota,Barnes County,27027,27.0,27.0,Minnesota,Clay County,3,5,ND
38017,38,17,North Dakota,Cass County,27027,27.0,27.0,Minnesota,Clay County,6350,676,ND
38035,38,35,North Dakota,Grand Forks County,27027,27.0,27.0,Minnesota,Clay County,15,17,ND
38067,38,67,North Dakota,Pembina County,27027,27.0,27.0,Minnesota,Clay County,5,4,ND
38071,38,71,North Dakota,Ramsey County,27027,27.0,27.0,Minnesota,Clay County,2,3,ND
38073,38,73,North Dakota,Ransom County,27027,27.0,27.0,Minnesota,Clay County,8,8,ND
38077,38,77,North Dakota,Richland County,27027,27.0,27.0,Minnesota,Clay County,91,30,ND
38097,38,97,North Dakota,Traill County,27027,27.0,27.0,Minnesota,Clay County,33,19,ND
38099,38,99,North Dakota,Walsh County,27027,27.0,27.0,Minnesota,Clay County,4,4,ND
38017,38,17,North Dakota,Cass County,27031,27.0,31.0,Minnesota,Cook County,4,9,ND
38017,38,17,North Dakota,Cass County,27035,27.0,35.0,Minnesota,Crow Wing County,24,38,ND
38017,38,17,North Dakota,Cass County,27037,27.0,37.0,Minnesota,Dakota County,5,9,ND
38035,38,35,North Dakota,Grand Forks County,27037,27.0,37.0,Minnesota,Dakota County,20,21,ND
38045,38,45,North Dakota,LaMoure County,27037,27.0,37.0,Minnesota,Dakota County,7,6,ND
38077,38,77,North Dakota,Richland County,27037,27.0,37.0,Minnesota,Dakota County,6,13,ND
38005,38,5,North Dakota,Benson County,27041,27.0,41.0,Minnesota,Douglas County,11,8,ND
38017,38,17,North Dakota,Cass County,27041,27.0,41.0,Minnesota,Douglas County,43,70,ND
38035,38,35,North Dakota,Grand Forks County,27041,27.0,41.0,Minnesota,Douglas County,10,17,ND
38035,38,35,North Dakota,Grand Forks County,27049,27.0,49.0,Minnesota,Goodhue County,3,4,ND
38077,38,77,North Dakota,Richland County,27051,27.0,51.0,Minnesota,Grant County,10,14,ND
38005,38,5,North Dakota,Benson County,27053,27.0,53.0,Minnesota,Hennepin County,1,2,ND
38009,38,9,North Dakota,Bottineau County,27053,27.0,53.0,Minnesota,Hennepin County,10,21,ND
38013,38,13,North Dakota,Burke County,27053,27.0,53.0,Minnesota,Hennepin County,1,2,ND
38015,38,15,North Dakota,Burleigh County,27053,27.0,53.0,Minnesota,Hennepin County,1,2,ND
38017,38,17,North Dakota,Cass County,27053,27.0,53.0,Minnesota,Hennepin County,166,95,ND
38029,38,29,North Dakota,Emmons County,27053,27.0,53.0,Minnesota,Hennepin County,1,3,ND
38031,38,31,North Dakota,Foster County,27053,27.0,53.0,Minnesota,Hennepin County,4,6,ND
38035,38,35,North Dakota,Grand Forks County,27053,27.0,53.0,Minnesota,Hennepin County,23,25,ND
38053,38,53,North Dakota,McKenzie County,27053,27.0,53.0,Minnesota,Hennepin County,18,27,ND
38077,38,77,North Dakota,Richland County,27053,27.0,53.0,Minnesota,Hennepin County,15,15,ND
38097,38,97,North Dakota,Traill County,27053,27.0,53.0,Minnesota,Hennepin County,4,5,ND
38101,38,101,North Dakota,Ward County,27053,27.0,53.0,Minnesota,Hennepin County,20,26,ND
38017,38,17,North Dakota,Cass County,27057,27.0,57.0,Minnesota,Hubbard County,3,4,ND
38083,38,83,North Dakota,Sheridan County,27059,27.0,59.0,Minnesota,Isanti County,2,3,ND
38067,38,67,North Dakota,Pembina County,27067,27.0,67.0,Minnesota,Kandiyohi County,1,2,ND
38019,38,19,North Dakota,Cavalier County,27069,27.0,69.0,Minnesota,Kittson County,4,6,ND
38067,38,67,North Dakota,Pembina County,27069,27.0,69.0,Minnesota,Kittson County,40,22,ND
38099,38,99,North Dakota,Walsh County,27069,27.0,69.0,Minnesota,Kittson County,2,3,ND
38015,38,15,North Dakota,Burleigh County,27071,27.0,71.0,Minnesota,Koochiching County,17,27,ND
38035,38,35,North Dakota,Grand Forks County,27071,27.0,71.0,Minnesota,Koochiching County,59,91,ND
38035,38,35,North Dakota,Grand Forks County,27085,27.0,85.0,Minnesota,McLeod County,9,14,ND
38035,38,35,North Dakota,Grand Forks County,27087,27.0,87.0,Minnesota,Mahnomen County,14,20,ND
38035,38,35,North Dakota,Grand Forks County,27089,27.0,89.0,Minnesota,Marshall County,20,17,ND
38067,38,67,North Dakota,Pembina County,27089,27.0,89.0,Minnesota,Marshall County,10,8,ND
