POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
31087,31,87,Nebraska,Hitchcock County,1073,1.0,73.0,Alabama,Jefferson County,5,6,NE
31055,31,55,Nebraska,Douglas County,2020,2.0,20.0,Alaska,Anchorage Municipality,12,18,NE
31153,31,153,Nebraska,Sarpy County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,7,13,NE
31153,31,153,Nebraska,Sarpy County,2185,2.0,185.0,Alaska,North Slope Borough,9,15,NE
31095,31,95,Nebraska,Jefferson County,2275,2.0,275.0,Alaska,Wrangell City and Borough,2,3,NE
31141,31,141,Nebraska,Platte County,4001,4.0,1.0,Arizona,Apache County,26,41,NE
31055,31,55,Nebraska,Douglas County,4013,4.0,13.0,Arizona,Maricopa County,17,18,NE
31127,31,127,Nebraska,Nemaha County,4013,4.0,13.0,Arizona,Maricopa County,2,3,NE
31145,31,145,Nebraska,Red Willow County,4013,4.0,13.0,Arizona,Maricopa County,13,20,NE
31147,31,147,Nebraska,Richardson County,4013,4.0,13.0,Arizona,Maricopa County,1,4,NE
31153,31,153,Nebraska,Sarpy County,4013,4.0,13.0,Arizona,Maricopa County,8,14,NE
31055,31,55,Nebraska,Douglas County,4017,4.0,17.0,Arizona,Navajo County,11,18,NE
31019,31,19,Nebraska,Buffalo County,4019,4.0,19.0,Arizona,Pima County,6,10,NE
31055,31,55,Nebraska,Douglas County,5007,5.0,7.0,Arkansas,Benton County,14,14,NE
31033,31,33,Nebraska,Cheyenne County,5045,5.0,45.0,Arkansas,Faulkner County,1,2,NE
31153,31,153,Nebraska,Sarpy County,5063,5.0,63.0,Arkansas,Independence County,11,18,NE
31147,31,147,Nebraska,Richardson County,5097,5.0,97.0,Arkansas,Montgomery County,2,3,NE
31055,31,55,Nebraska,Douglas County,5115,5.0,115.0,Arkansas,Pope County,6,9,NE
31047,31,47,Nebraska,Dawson County,5143,5.0,143.0,Arkansas,Washington County,9,14,NE
31021,31,21,Nebraska,Burt County,5149,5.0,149.0,Arkansas,Yell County,2,4,NE
31177,31,177,Nebraska,Washington County,6001,6.0,1.0,California,Alameda County,12,17,NE
31055,31,55,Nebraska,Douglas County,6037,6.0,37.0,California,Los Angeles County,33,35,NE
31109,31,109,Nebraska,Lancaster County,6037,6.0,37.0,California,Los Angeles County,28,44,NE
31147,31,147,Nebraska,Richardson County,6037,6.0,37.0,California,Los Angeles County,1,2,NE
31055,31,55,Nebraska,Douglas County,6053,6.0,53.0,California,Monterey County,13,22,NE
31055,31,55,Nebraska,Douglas County,6059,6.0,59.0,California,Orange County,8,12,NE
31055,31,55,Nebraska,Douglas County,6067,6.0,67.0,California,Sacramento County,19,29,NE
31131,31,131,Nebraska,Otoe County,6067,6.0,67.0,California,Sacramento County,2,3,NE
31155,31,155,Nebraska,Saunders County,6067,6.0,67.0,California,Sacramento County,4,6,NE
31153,31,153,Nebraska,Sarpy County,6071,6.0,71.0,California,San Bernardino County,13,20,NE
31055,31,55,Nebraska,Douglas County,6073,6.0,73.0,California,San Diego County,14,21,NE
31055,31,55,Nebraska,Douglas County,6075,6.0,75.0,California,San Francisco County,21,26,NE
31051,31,51,Nebraska,Dixon County,6079,6.0,79.0,California,San Luis Obispo County,2,3,NE
31055,31,55,Nebraska,Douglas County,6081,6.0,81.0,California,San Mateo County,12,18,NE
31153,31,153,Nebraska,Sarpy County,6081,6.0,81.0,California,San Mateo County,24,27,NE
31053,31,53,Nebraska,Dodge County,6085,6.0,85.0,California,Santa Clara County,11,17,NE
31055,31,55,Nebraska,Douglas County,6085,6.0,85.0,California,Santa Clara County,10,15,NE
31153,31,153,Nebraska,Sarpy County,6085,6.0,85.0,California,Santa Clara County,9,15,NE
31029,31,29,Nebraska,Chase County,8001,8.0,1.0,Colorado,Adams County,7,10,NE
31049,31,49,Nebraska,Deuel County,8001,8.0,1.0,Colorado,Adams County,4,6,NE
31081,31,81,Nebraska,Hamilton County,8001,8.0,1.0,Colorado,Adams County,2,3,NE
31101,31,101,Nebraska,Keith County,8001,8.0,1.0,Colorado,Adams County,15,15,NE
31151,31,151,Nebraska,Saline County,8001,8.0,1.0,Colorado,Adams County,3,5,NE
31145,31,145,Nebraska,Red Willow County,8005,8.0,5.0,Colorado,Arapahoe County,8,14,NE
31053,31,53,Nebraska,Dodge County,8013,8.0,13.0,Colorado,Boulder County,6,10,NE
31055,31,55,Nebraska,Douglas County,8013,8.0,13.0,Colorado,Boulder County,11,17,NE
31101,31,101,Nebraska,Keith County,8013,8.0,13.0,Colorado,Boulder County,4,5,NE
31109,31,109,Nebraska,Lancaster County,8013,8.0,13.0,Colorado,Boulder County,15,20,NE
31157,31,157,Nebraska,Scotts Bluff County,8013,8.0,13.0,Colorado,Boulder County,7,9,NE
31135,31,135,Nebraska,Perkins County,8014,8.0,14.0,Colorado,Broomfield County,2,4,NE
31109,31,109,Nebraska,Lancaster County,8027,8.0,27.0,Colorado,Custer County,6,10,NE
31019,31,19,Nebraska,Buffalo County,8031,8.0,31.0,Colorado,Denver County,7,10,NE
31033,31,33,Nebraska,Cheyenne County,8031,8.0,31.0,Colorado,Denver County,11,16,NE
31045,31,45,Nebraska,Dawes County,8031,8.0,31.0,Colorado,Denver County,3,5,NE
31055,31,55,Nebraska,Douglas County,8031,8.0,31.0,Colorado,Denver County,16,17,NE
31087,31,87,Nebraska,Hitchcock County,8031,8.0,31.0,Colorado,Denver County,4,5,NE
31109,31,109,Nebraska,Lancaster County,8031,8.0,31.0,Colorado,Denver County,9,15,NE
31111,31,111,Nebraska,Lincoln County,8031,8.0,31.0,Colorado,Denver County,9,10,NE
31113,31,113,Nebraska,Logan County,8031,8.0,31.0,Colorado,Denver County,1,3,NE
31119,31,119,Nebraska,Madison County,8031,8.0,31.0,Colorado,Denver County,8,13,NE
31123,31,123,Nebraska,Morrill County,8031,8.0,31.0,Colorado,Denver County,13,18,NE
31157,31,157,Nebraska,Scotts Bluff County,8031,8.0,31.0,Colorado,Denver County,46,41,NE
31001,31,1,Nebraska,Adams County,8035,8.0,35.0,Colorado,Douglas County,20,26,NE
31143,31,143,Nebraska,Polk County,8037,8.0,37.0,Colorado,Eagle County,3,6,NE
31005,31,5,Nebraska,Arthur County,8041,8.0,41.0,Colorado,El Paso County,2,2,NE
31055,31,55,Nebraska,Douglas County,8041,8.0,41.0,Colorado,El Paso County,20,31,NE
31089,31,89,Nebraska,Holt County,8041,8.0,41.0,Colorado,El Paso County,2,3,NE
31109,31,109,Nebraska,Lancaster County,8041,8.0,41.0,Colorado,El Paso County,9,14,NE
31141,31,141,Nebraska,Platte County,8041,8.0,41.0,Colorado,El Paso County,32,47,NE
31153,31,153,Nebraska,Sarpy County,8041,8.0,41.0,Colorado,El Paso County,25,42,NE
31159,31,159,Nebraska,Seward County,8041,8.0,41.0,Colorado,El Paso County,2,3,NE
31179,31,179,Nebraska,Wayne County,8041,8.0,41.0,Colorado,El Paso County,18,29,NE
31111,31,111,Nebraska,Lincoln County,8045,8.0,45.0,Colorado,Garfield County,40,61,NE
31175,31,175,Nebraska,Valley County,8045,8.0,45.0,Colorado,Garfield County,5,8,NE
31153,31,153,Nebraska,Sarpy County,8055,8.0,55.0,Colorado,Huerfano County,10,17,NE
31115,31,115,Nebraska,Loup County,8059,8.0,59.0,Colorado,Jefferson County,2,3,NE
31007,31,7,Nebraska,Banner County,8069,8.0,69.0,Colorado,Larimer County,4,5,NE
31185,31,185,Nebraska,York County,8069,8.0,69.0,Colorado,Larimer County,13,23,NE
31007,31,7,Nebraska,Banner County,8075,8.0,75.0,Colorado,Logan County,3,4,NE
31033,31,33,Nebraska,Cheyenne County,8075,8.0,75.0,Colorado,Logan County,34,23,NE
31049,31,49,Nebraska,Deuel County,8075,8.0,75.0,Colorado,Logan County,2,3,NE
31111,31,111,Nebraska,Lincoln County,8075,8.0,75.0,Colorado,Logan County,15,20,NE
31135,31,135,Nebraska,Perkins County,8075,8.0,75.0,Colorado,Logan County,8,12,NE
31157,31,157,Nebraska,Scotts Bluff County,8075,8.0,75.0,Colorado,Logan County,34,40,NE
31169,31,169,Nebraska,Thayer County,8075,8.0,75.0,Colorado,Logan County,2,4,NE
31135,31,135,Nebraska,Perkins County,8087,8.0,87.0,Colorado,Morgan County,2,3,NE
31157,31,157,Nebraska,Scotts Bluff County,8087,8.0,87.0,Colorado,Morgan County,22,24,NE
31161,31,161,Nebraska,Sheridan County,8087,8.0,87.0,Colorado,Morgan County,9,13,NE
31029,31,29,Nebraska,Chase County,8095,8.0,95.0,Colorado,Phillips County,14,14,NE
31049,31,49,Nebraska,Deuel County,8095,8.0,95.0,Colorado,Phillips County,12,11,NE
31057,31,57,Nebraska,Dundy County,8095,8.0,95.0,Colorado,Phillips County,4,6,NE
31101,31,101,Nebraska,Keith County,8095,8.0,95.0,Colorado,Phillips County,3,5,NE
31135,31,135,Nebraska,Perkins County,8095,8.0,95.0,Colorado,Phillips County,9,8,NE
31183,31,183,Nebraska,Wheeler County,8103,8.0,103.0,Colorado,Rio Blanco County,3,4,NE
31005,31,5,Nebraska,Arthur County,8115,8.0,115.0,Colorado,Sedgwick County,1,2,NE
31033,31,33,Nebraska,Cheyenne County,8115,8.0,115.0,Colorado,Sedgwick County,3,3,NE
31049,31,49,Nebraska,Deuel County,8115,8.0,115.0,Colorado,Sedgwick County,45,20,NE
31069,31,69,Nebraska,Garden County,8115,8.0,115.0,Colorado,Sedgwick County,11,15,NE
31135,31,135,Nebraska,Perkins County,8115,8.0,115.0,Colorado,Sedgwick County,3,7,NE
31033,31,33,Nebraska,Cheyenne County,8123,8.0,123.0,Colorado,Weld County,5,7,NE
31105,31,105,Nebraska,Kimball County,8123,8.0,123.0,Colorado,Weld County,6,10,NE
31111,31,111,Nebraska,Lincoln County,8123,8.0,123.0,Colorado,Weld County,1,2,NE
31153,31,153,Nebraska,Sarpy County,8123,8.0,123.0,Colorado,Weld County,18,21,NE
31157,31,157,Nebraska,Scotts Bluff County,8123,8.0,123.0,Colorado,Weld County,9,12,NE
31163,31,163,Nebraska,Sherman County,8123,8.0,123.0,Colorado,Weld County,1,3,NE
31165,31,165,Nebraska,Sioux County,8123,8.0,123.0,Colorado,Weld County,4,5,NE
