POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
33011,33,11,New Hampshire,Hillsborough County,1073,1.0,73.0,Alabama,Jefferson County,19,24,NH
33011,33,11,New Hampshire,Hillsborough County,2020,2.0,20.0,Alaska,Anchorage Municipality,7,12,NH
33015,33,15,New Hampshire,Rockingham County,2020,2.0,20.0,Alaska,Anchorage Municipality,24,26,NH
33015,33,15,New Hampshire,Rockingham County,4005,4.0,5.0,Arizona,Coconino County,10,14,NH
33011,33,11,New Hampshire,Hillsborough County,4013,4.0,13.0,Arizona,Maricopa County,11,18,NH
33015,33,15,New Hampshire,Rockingham County,4013,4.0,13.0,Arizona,Maricopa County,7,8,NH
33019,33,19,New Hampshire,Sullivan County,6001,6.0,1.0,California,Alameda County,7,11,NH
33001,33,1,New Hampshire,Belknap County,6029,6.0,29.0,California,Kern County,6,9,NH
33005,33,5,New Hampshire,Cheshire County,6037,6.0,37.0,California,Los Angeles County,3,4,NH
33011,33,11,New Hampshire,Hillsborough County,6037,6.0,37.0,California,Los Angeles County,8,12,NH
33011,33,11,New Hampshire,Hillsborough County,6059,6.0,59.0,California,Orange County,39,48,NH
33015,33,15,New Hampshire,Rockingham County,6059,6.0,59.0,California,Orange County,17,22,NH
33009,33,9,New Hampshire,Grafton County,6065,6.0,65.0,California,Riverside County,10,12,NH
33003,33,3,New Hampshire,Carroll County,6073,6.0,73.0,California,San Diego County,18,26,NH
33003,33,3,New Hampshire,Carroll County,6075,6.0,75.0,California,San Francisco County,2,3,NH
33005,33,5,New Hampshire,Cheshire County,6075,6.0,75.0,California,San Francisco County,7,11,NH
33013,33,13,New Hampshire,Merrimack County,6075,6.0,75.0,California,San Francisco County,1,4,NH
33015,33,15,New Hampshire,Rockingham County,6081,6.0,81.0,California,San Mateo County,17,20,NH
33015,33,15,New Hampshire,Rockingham County,6083,6.0,83.0,California,Santa Barbara County,22,25,NH
33011,33,11,New Hampshire,Hillsborough County,6085,6.0,85.0,California,Santa Clara County,22,30,NH
33009,33,9,New Hampshire,Grafton County,6097,6.0,97.0,California,Sonoma County,5,7,NH
33013,33,13,New Hampshire,Merrimack County,6111,6.0,111.0,California,Ventura County,5,9,NH
33013,33,13,New Hampshire,Merrimack County,8013,8.0,13.0,Colorado,Boulder County,11,18,NH
33015,33,15,New Hampshire,Rockingham County,8014,8.0,14.0,Colorado,Broomfield County,5,8,NH
33009,33,9,New Hampshire,Grafton County,8031,8.0,31.0,Colorado,Denver County,15,16,NH
33011,33,11,New Hampshire,Hillsborough County,8041,8.0,41.0,Colorado,El Paso County,15,25,NH
33015,33,15,New Hampshire,Rockingham County,8041,8.0,41.0,Colorado,El Paso County,18,29,NH
33003,33,3,New Hampshire,Carroll County,9001,9.0,1.0,Connecticut,Fairfield County,9,16,NH
33005,33,5,New Hampshire,Cheshire County,9001,9.0,1.0,Connecticut,Fairfield County,14,12,NH
33007,33,7,New Hampshire,Coos County,9001,9.0,1.0,Connecticut,Fairfield County,4,6,NH
33011,33,11,New Hampshire,Hillsborough County,9001,9.0,1.0,Connecticut,Fairfield County,19,20,NH
33015,33,15,New Hampshire,Rockingham County,9001,9.0,1.0,Connecticut,Fairfield County,24,33,NH
33017,33,17,New Hampshire,Strafford County,9001,9.0,1.0,Connecticut,Fairfield County,50,68,NH
