POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
34013,34,13,New Jersey,Essex County,1073,1.0,73.0,Alabama,Jefferson County,16,24,NJ
34005,34,5,New Jersey,Burlington County,1101,1.0,101.0,Alabama,Montgomery County,21,28,NJ
34025,34,25,New Jersey,Monmouth County,1125,1.0,125.0,Alabama,Tuscaloosa County,11,17,NJ
34009,34,9,New Jersey,Cape May County,2016,2.0,16.0,Alaska,Aleutians West Census Area,1,3,NJ
34005,34,5,New Jersey,Burlington County,2110,2.0,110.0,Alaska,Juneau City and Borough,5,6,NJ
34027,34,27,New Jersey,Morris County,2185,2.0,185.0,Alaska,North Slope Borough,18,28,NJ
34023,34,23,New Jersey,Middlesex County,4005,4.0,5.0,Arizona,Coconino County,4,7,NJ
34003,34,3,New Jersey,Bergen County,4013,4.0,13.0,Arizona,Maricopa County,49,42,NJ
34015,34,15,New Jersey,Gloucester County,4013,4.0,13.0,Arizona,Maricopa County,19,30,NJ
34021,34,21,New Jersey,Mercer County,4013,4.0,13.0,Arizona,Maricopa County,33,32,NJ
34023,34,23,New Jersey,Middlesex County,4013,4.0,13.0,Arizona,Maricopa County,17,19,NJ
34029,34,29,New Jersey,Ocean County,4013,4.0,13.0,Arizona,Maricopa County,25,37,NJ
34031,34,31,New Jersey,Passaic County,4013,4.0,13.0,Arizona,Maricopa County,37,40,NJ
34013,34,13,New Jersey,Essex County,4019,4.0,19.0,Arizona,Pima County,29,47,NJ
34027,34,27,New Jersey,Morris County,4027,4.0,27.0,Arizona,Yuma County,15,24,NJ
34013,34,13,New Jersey,Essex County,5007,5.0,7.0,Arkansas,Benton County,10,16,NJ
34017,34,17,New Jersey,Hudson County,5007,5.0,7.0,Arkansas,Benton County,23,27,NJ
34023,34,23,New Jersey,Middlesex County,5007,5.0,7.0,Arkansas,Benton County,3,12,NJ
34027,34,27,New Jersey,Morris County,5007,5.0,7.0,Arkansas,Benton County,10,14,NJ
34029,34,29,New Jersey,Ocean County,5007,5.0,7.0,Arkansas,Benton County,14,22,NJ
34001,34,1,New Jersey,Atlantic County,5119,5.0,119.0,Arkansas,Pulaski County,5,8,NJ
34003,34,3,New Jersey,Bergen County,6001,6.0,1.0,California,Alameda County,13,20,NJ
34005,34,5,New Jersey,Burlington County,6001,6.0,1.0,California,Alameda County,16,27,NJ
34023,34,23,New Jersey,Middlesex County,6001,6.0,1.0,California,Alameda County,18,21,NJ
34035,34,35,New Jersey,Somerset County,6001,6.0,1.0,California,Alameda County,9,13,NJ
34007,34,7,New Jersey,Camden County,6013,6.0,13.0,California,Contra Costa County,10,17,NJ
34039,34,39,New Jersey,Union County,6013,6.0,13.0,California,Contra Costa County,11,17,NJ
34027,34,27,New Jersey,Morris County,6017,6.0,17.0,California,El Dorado County,11,18,NJ
34005,34,5,New Jersey,Burlington County,6031,6.0,31.0,California,Kings County,20,30,NJ
34003,34,3,New Jersey,Bergen County,6037,6.0,37.0,California,Los Angeles County,60,42,NJ
34005,34,5,New Jersey,Burlington County,6037,6.0,37.0,California,Los Angeles County,12,13,NJ
34011,34,11,New Jersey,Cumberland County,6037,6.0,37.0,California,Los Angeles County,6,9,NJ
34013,34,13,New Jersey,Essex County,6037,6.0,37.0,California,Los Angeles County,36,31,NJ
34015,34,15,New Jersey,Gloucester County,6037,6.0,37.0,California,Los Angeles County,13,15,NJ
34017,34,17,New Jersey,Hudson County,6037,6.0,37.0,California,Los Angeles County,14,12,NJ
34019,34,19,New Jersey,Hunterdon County,6037,6.0,37.0,California,Los Angeles County,19,30,NJ
34023,34,23,New Jersey,Middlesex County,6037,6.0,37.0,California,Los Angeles County,39,48,NJ
34025,34,25,New Jersey,Monmouth County,6037,6.0,37.0,California,Los Angeles County,38,31,NJ
34027,34,27,New Jersey,Morris County,6037,6.0,37.0,California,Los Angeles County,61,68,NJ
34029,34,29,New Jersey,Ocean County,6037,6.0,37.0,California,Los Angeles County,5,8,NJ
34035,34,35,New Jersey,Somerset County,6037,6.0,37.0,California,Los Angeles County,35,52,NJ
34039,34,39,New Jersey,Union County,6037,6.0,37.0,California,Los Angeles County,10,15,NJ
34041,34,41,New Jersey,Warren County,6037,6.0,37.0,California,Los Angeles County,23,27,NJ
34005,34,5,New Jersey,Burlington County,6053,6.0,53.0,California,Monterey County,10,16,NJ
34003,34,3,New Jersey,Bergen County,6059,6.0,59.0,California,Orange County,16,26,NJ
34021,34,21,New Jersey,Mercer County,6059,6.0,59.0,California,Orange County,17,26,NJ
34025,34,25,New Jersey,Monmouth County,6059,6.0,59.0,California,Orange County,18,28,NJ
34027,34,27,New Jersey,Morris County,6059,6.0,59.0,California,Orange County,18,30,NJ
34031,34,31,New Jersey,Passaic County,6059,6.0,59.0,California,Orange County,14,21,NJ
34037,34,37,New Jersey,Sussex County,6059,6.0,59.0,California,Orange County,23,36,NJ
34023,34,23,New Jersey,Middlesex County,6067,6.0,67.0,California,Sacramento County,9,14,NJ
34003,34,3,New Jersey,Bergen County,6071,6.0,71.0,California,San Bernardino County,10,15,NJ
34007,34,7,New Jersey,Camden County,6071,6.0,71.0,California,San Bernardino County,15,24,NJ
34035,34,35,New Jersey,Somerset County,6071,6.0,71.0,California,San Bernardino County,15,24,NJ
34003,34,3,New Jersey,Bergen County,6073,6.0,73.0,California,San Diego County,34,41,NJ
34005,34,5,New Jersey,Burlington County,6073,6.0,73.0,California,San Diego County,18,20,NJ
34009,34,9,New Jersey,Cape May County,6073,6.0,73.0,California,San Diego County,9,15,NJ
34011,34,11,New Jersey,Cumberland County,6073,6.0,73.0,California,San Diego County,20,30,NJ
34015,34,15,New Jersey,Gloucester County,6073,6.0,73.0,California,San Diego County,22,25,NJ
34023,34,23,New Jersey,Middlesex County,6073,6.0,73.0,California,San Diego County,5,7,NJ
34025,34,25,New Jersey,Monmouth County,6073,6.0,73.0,California,San Diego County,56,64,NJ
34029,34,29,New Jersey,Ocean County,6073,6.0,73.0,California,San Diego County,9,11,NJ
34037,34,37,New Jersey,Sussex County,6073,6.0,73.0,California,San Diego County,19,26,NJ
34039,34,39,New Jersey,Union County,6073,6.0,73.0,California,San Diego County,7,12,NJ
34003,34,3,New Jersey,Bergen County,6075,6.0,75.0,California,San Francisco County,12,20,NJ
34013,34,13,New Jersey,Essex County,6075,6.0,75.0,California,San Francisco County,31,34,NJ
34021,34,21,New Jersey,Mercer County,6075,6.0,75.0,California,San Francisco County,35,33,NJ
34025,34,25,New Jersey,Monmouth County,6075,6.0,75.0,California,San Francisco County,2,2,NJ
34027,34,27,New Jersey,Morris County,6075,6.0,75.0,California,San Francisco County,12,21,NJ
34029,34,29,New Jersey,Ocean County,6075,6.0,75.0,California,San Francisco County,11,16,NJ
