POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
40137,40,137,Oklahoma,Stephens County,1003,1.0,3.0,Alabama,Baldwin County,11,15,OK
40143,40,143,Oklahoma,Tulsa County,1053,1.0,53.0,Alabama,Escambia County,13,20,OK
40005,40,5,Oklahoma,Atoka County,1073,1.0,73.0,Alabama,Jefferson County,4,5,OK
40101,40,101,Oklahoma,Muskogee County,1073,1.0,73.0,Alabama,Jefferson County,5,7,OK
40107,40,107,Oklahoma,Okfuskee County,1073,1.0,73.0,Alabama,Jefferson County,2,3,OK
40109,40,109,Oklahoma,Oklahoma County,1089,1.0,89.0,Alabama,Madison County,43,58,OK
40117,40,117,Oklahoma,Pawnee County,1097,1.0,97.0,Alabama,Mobile County,5,8,OK
40131,40,131,Oklahoma,Rogers County,1097,1.0,97.0,Alabama,Mobile County,4,6,OK
40031,40,31,Oklahoma,Comanche County,1113,1.0,113.0,Alabama,Russell County,35,51,OK
40143,40,143,Oklahoma,Tulsa County,1117,1.0,117.0,Alabama,Shelby County,8,12,OK
40035,40,35,Oklahoma,Craig County,2020,2.0,20.0,Alaska,Anchorage Municipality,3,4,OK
40053,40,53,Oklahoma,Grant County,2020,2.0,20.0,Alaska,Anchorage Municipality,1,2,OK
40059,40,59,Oklahoma,Harper County,2020,2.0,20.0,Alaska,Anchorage Municipality,6,10,OK
40071,40,71,Oklahoma,Kay County,2020,2.0,20.0,Alaska,Anchorage Municipality,4,6,OK
40109,40,109,Oklahoma,Oklahoma County,2020,2.0,20.0,Alaska,Anchorage Municipality,35,46,OK
40111,40,111,Oklahoma,Okmulgee County,2020,2.0,20.0,Alaska,Anchorage Municipality,6,9,OK
40153,40,153,Oklahoma,Woodward County,2020,2.0,20.0,Alaska,Anchorage Municipality,12,19,OK
40143,40,143,Oklahoma,Tulsa County,2050,2.0,50.0,Alaska,Bethel Census Area,8,13,OK
40017,40,17,Oklahoma,Canadian County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,5,9,OK
40031,40,31,Oklahoma,Comanche County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,8,15,OK
40013,40,13,Oklahoma,Bryan County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,19,22,OK
40097,40,97,Oklahoma,Mayes County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,12,19,OK
40005,40,5,Oklahoma,Atoka County,2185,2.0,185.0,Alaska,North Slope Borough,4,5,OK
40109,40,109,Oklahoma,Oklahoma County,2185,2.0,185.0,Alaska,North Slope Borough,8,13,OK
40115,40,115,Oklahoma,Ottawa County,2185,2.0,185.0,Alaska,North Slope Borough,3,4,OK
40127,40,127,Oklahoma,Pushmataha County,2185,2.0,185.0,Alaska,North Slope Borough,9,12,OK
