POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
41041,41,41,Oregon,Lincoln County,2013,2.0,13.0,Alaska,Aleutians East Borough,7,10,OR
41041,41,41,Oregon,Lincoln County,2016,2.0,16.0,Alaska,Aleutians West Census Area,9,14,OR
41047,41,47,Oregon,Marion County,2016,2.0,16.0,Alaska,Aleutians West Census Area,6,9,OR
41051,41,51,Oregon,Multnomah County,2016,2.0,16.0,Alaska,Aleutians West Census Area,5,10,OR
41001,41,1,Oregon,Baker County,2020,2.0,20.0,Alaska,Anchorage Municipality,11,16,OR
41005,41,5,Oregon,Clackamas County,2020,2.0,20.0,Alaska,Anchorage Municipality,9,15,OR
41009,41,9,Oregon,Columbia County,2020,2.0,20.0,Alaska,Anchorage Municipality,20,26,OR
41019,41,19,Oregon,Douglas County,2020,2.0,20.0,Alaska,Anchorage Municipality,12,14,OR
41047,41,47,Oregon,Marion County,2020,2.0,20.0,Alaska,Anchorage Municipality,34,37,OR
41051,41,51,Oregon,Multnomah County,2020,2.0,20.0,Alaska,Anchorage Municipality,17,20,OR
41053,41,53,Oregon,Polk County,2020,2.0,20.0,Alaska,Anchorage Municipality,11,18,OR
41067,41,67,Oregon,Washington County,2020,2.0,20.0,Alaska,Anchorage Municipality,34,49,OR
41071,41,71,Oregon,Yamhill County,2020,2.0,20.0,Alaska,Anchorage Municipality,6,12,OR
41007,41,7,Oregon,Clatsop County,2060,2.0,60.0,Alaska,Bristol Bay Borough,23,27,OR
41001,41,1,Oregon,Baker County,2068,2.0,68.0,Alaska,Denali Borough,4,7,OR
41031,41,31,Oregon,Jefferson County,2070,2.0,70.0,Alaska,Dillingham Census Area,7,11,OR
41039,41,39,Oregon,Lane County,2090,2.0,90.0,Alaska,Fairbanks North Star Borough,49,56,OR
41043,41,43,Oregon,Linn County,2110,2.0,110.0,Alaska,Juneau City and Borough,2,4,OR
41061,41,61,Oregon,Union County,2110,2.0,110.0,Alaska,Juneau City and Borough,13,20,OR
41005,41,5,Oregon,Clackamas County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,15,31,OR
41039,41,39,Oregon,Lane County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,32,48,OR
41051,41,51,Oregon,Multnomah County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,23,25,OR
41059,41,59,Oregon,Umatilla County,2122,2.0,122.0,Alaska,Kenai Peninsula Borough,44,51,OR
41037,41,37,Oregon,Lake County,2150,2.0,150.0,Alaska,Kodiak Island Borough,19,31,OR
41041,41,41,Oregon,Lincoln County,2150,2.0,150.0,Alaska,Kodiak Island Borough,7,12,OR
41051,41,51,Oregon,Multnomah County,2150,2.0,150.0,Alaska,Kodiak Island Borough,7,13,OR
41067,41,67,Oregon,Washington County,2150,2.0,150.0,Alaska,Kodiak Island Borough,15,22,OR
41017,41,17,Oregon,Deschutes County,2158,2.0,158.0,Alaska,Kusilvak Census Area,54,66,OR
41043,41,43,Oregon,Linn County,2158,2.0,158.0,Alaska,Kusilvak Census Area,16,27,OR
41019,41,19,Oregon,Douglas County,2185,2.0,185.0,Alaska,North Slope Borough,4,7,OR
41029,41,29,Oregon,Jackson County,2185,2.0,185.0,Alaska,North Slope Borough,16,22,OR
41033,41,33,Oregon,Josephine County,2185,2.0,185.0,Alaska,North Slope Borough,11,18,OR
41039,41,39,Oregon,Lane County,2185,2.0,185.0,Alaska,North Slope Borough,3,5,OR
41043,41,43,Oregon,Linn County,2185,2.0,185.0,Alaska,North Slope Borough,8,12,OR
41047,41,47,Oregon,Marion County,2185,2.0,185.0,Alaska,North Slope Borough,11,15,OR
41057,41,57,Oregon,Tillamook County,2185,2.0,185.0,Alaska,North Slope Borough,3,4,OR
41047,41,47,Oregon,Marion County,2220,2.0,220.0,Alaska,Sitka City and Borough,33,52,OR
41051,41,51,Oregon,Multnomah County,2230,2.0,230.0,Alaska,Skagway Municipality,8,13,OR
41007,41,7,Oregon,Clatsop County,2261,2.0,261.0,Alaska,Valdez-Cordova Census Area,12,18,OR
41039,41,39,Oregon,Lane County,2261,2.0,261.0,Alaska,Valdez-Cordova Census Area,18,30,OR
41005,41,5,Oregon,Clackamas County,2275,2.0,275.0,Alaska,Wrangell City and Borough,10,15,OR
41005,41,5,Oregon,Clackamas County,4005,4.0,5.0,Arizona,Coconino County,21,33,OR
41029,41,29,Oregon,Jackson County,4011,4.0,11.0,Arizona,Greenlee County,9,15,OR
41003,41,3,Oregon,Benton County,4013,4.0,13.0,Arizona,Maricopa County,10,15,OR
41005,41,5,Oregon,Clackamas County,4013,4.0,13.0,Arizona,Maricopa County,68,63,OR
41017,41,17,Oregon,Deschutes County,4013,4.0,13.0,Arizona,Maricopa County,69,77,OR
41019,41,19,Oregon,Douglas County,4013,4.0,13.0,Arizona,Maricopa County,2,3,OR
41029,41,29,Oregon,Jackson County,4013,4.0,13.0,Arizona,Maricopa County,5,7,OR
41035,41,35,Oregon,Klamath County,4013,4.0,13.0,Arizona,Maricopa County,31,48,OR
41043,41,43,Oregon,Linn County,4013,4.0,13.0,Arizona,Maricopa County,16,25,OR
41047,41,47,Oregon,Marion County,4013,4.0,13.0,Arizona,Maricopa County,9,11,OR
41051,41,51,Oregon,Multnomah County,4013,4.0,13.0,Arizona,Maricopa County,93,86,OR
41067,41,67,Oregon,Washington County,4013,4.0,13.0,Arizona,Maricopa County,51,71,OR
41005,41,5,Oregon,Clackamas County,4015,4.0,15.0,Arizona,Mohave County,9,13,OR
41043,41,43,Oregon,Linn County,4015,4.0,15.0,Arizona,Mohave County,12,22,OR
41017,41,17,Oregon,Deschutes County,4019,4.0,19.0,Arizona,Pima County,18,30,OR
41061,41,61,Oregon,Union County,4019,4.0,19.0,Arizona,Pima County,12,19,OR
41005,41,5,Oregon,Clackamas County,4021,4.0,21.0,Arizona,Pinal County,8,12,OR
41051,41,51,Oregon,Multnomah County,5033,5.0,33.0,Arkansas,Crawford County,16,25,OR
41051,41,51,Oregon,Multnomah County,5125,5.0,125.0,Arkansas,Saline County,21,32,OR
41051,41,51,Oregon,Multnomah County,5143,5.0,143.0,Arkansas,Washington County,9,12,OR
41067,41,67,Oregon,Washington County,5143,5.0,143.0,Arkansas,Washington County,14,22,OR
41005,41,5,Oregon,Clackamas County,6001,6.0,1.0,California,Alameda County,44,34,OR
41009,41,9,Oregon,Columbia County,6001,6.0,1.0,California,Alameda County,16,25,OR
41017,41,17,Oregon,Deschutes County,6001,6.0,1.0,California,Alameda County,19,29,OR
41029,41,29,Oregon,Jackson County,6001,6.0,1.0,California,Alameda County,6,11,OR
41047,41,47,Oregon,Marion County,6001,6.0,1.0,California,Alameda County,62,55,OR
41051,41,51,Oregon,Multnomah County,6001,6.0,1.0,California,Alameda County,114,58,OR
41067,41,67,Oregon,Washington County,6001,6.0,1.0,California,Alameda County,52,67,OR
41071,41,71,Oregon,Yamhill County,6001,6.0,1.0,California,Alameda County,12,19,OR
