POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
44005,44,5,Rhode Island,Newport County,4013,4.0,13.0,Arizona,Maricopa County,17,23,RI
44007,44,7,Rhode Island,Providence County,4013,4.0,13.0,Arizona,Maricopa County,10,15,RI
44009,44,9,Rhode Island,Washington County,4013,4.0,13.0,Arizona,Maricopa County,6,10,RI
44009,44,9,Rhode Island,Washington County,4019,4.0,19.0,Arizona,Pima County,21,35,RI
44001,44,1,Rhode Island,Bristol County,6001,6.0,1.0,California,Alameda County,8,12,RI
44009,44,9,Rhode Island,Washington County,6001,6.0,1.0,California,Alameda County,5,8,RI
44001,44,1,Rhode Island,Bristol County,6037,6.0,37.0,California,Los Angeles County,16,25,RI
44007,44,7,Rhode Island,Providence County,6037,6.0,37.0,California,Los Angeles County,12,19,RI
44003,44,3,Rhode Island,Kent County,6073,6.0,73.0,California,San Diego County,6,9,RI
44005,44,5,Rhode Island,Newport County,6073,6.0,73.0,California,San Diego County,1,2,RI
44005,44,5,Rhode Island,Newport County,6075,6.0,75.0,California,San Francisco County,16,24,RI
44007,44,7,Rhode Island,Providence County,6075,6.0,75.0,California,San Francisco County,24,30,RI
44009,44,9,Rhode Island,Washington County,6075,6.0,75.0,California,San Francisco County,15,25,RI
44005,44,5,Rhode Island,Newport County,6085,6.0,85.0,California,Santa Clara County,13,21,RI
44009,44,9,Rhode Island,Washington County,6085,6.0,85.0,California,Santa Clara County,8,12,RI
44001,44,1,Rhode Island,Bristol County,9001,9.0,1.0,Connecticut,Fairfield County,57,50,RI
44003,44,3,Rhode Island,Kent County,9001,9.0,1.0,Connecticut,Fairfield County,19,20,RI
44005,44,5,Rhode Island,Newport County,9001,9.0,1.0,Connecticut,Fairfield County,26,29,RI
44007,44,7,Rhode Island,Providence County,9001,9.0,1.0,Connecticut,Fairfield County,84,45,RI
44009,44,9,Rhode Island,Washington County,9001,9.0,1.0,Connecticut,Fairfield County,105,60,RI
44001,44,1,Rhode Island,Bristol County,9003,9.0,3.0,Connecticut,Hartford County,26,30,RI
44003,44,3,Rhode Island,Kent County,9003,9.0,3.0,Connecticut,Hartford County,134,105,RI
44005,44,5,Rhode Island,Newport County,9003,9.0,3.0,Connecticut,Hartford County,90,52,RI
44007,44,7,Rhode Island,Providence County,9003,9.0,3.0,Connecticut,Hartford County,155,69,RI
44009,44,9,Rhode Island,Washington County,9003,9.0,3.0,Connecticut,Hartford County,173,82,RI
44007,44,7,Rhode Island,Providence County,9005,9.0,5.0,Connecticut,Litchfield County,16,17,RI
44009,44,9,Rhode Island,Washington County,9005,9.0,5.0,Connecticut,Litchfield County,17,19,RI
44003,44,3,Rhode Island,Kent County,9007,9.0,7.0,Connecticut,Middlesex County,34,38,RI
44007,44,7,Rhode Island,Providence County,9007,9.0,7.0,Connecticut,Middlesex County,20,18,RI
44009,44,9,Rhode Island,Washington County,9007,9.0,7.0,Connecticut,Middlesex County,116,96,RI
44001,44,1,Rhode Island,Bristol County,9009,9.0,9.0,Connecticut,New Haven County,14,22,RI
44003,44,3,Rhode Island,Kent County,9009,9.0,9.0,Connecticut,New Haven County,33,31,RI
44005,44,5,Rhode Island,Newport County,9009,9.0,9.0,Connecticut,New Haven County,20,24,RI
44007,44,7,Rhode Island,Providence County,9009,9.0,9.0,Connecticut,New Haven County,73,48,RI
44009,44,9,Rhode Island,Washington County,9009,9.0,9.0,Connecticut,New Haven County,85,55,RI
44001,44,1,Rhode Island,Bristol County,9011,9.0,11.0,Connecticut,New London County,42,38,RI
44003,44,3,Rhode Island,Kent County,9011,9.0,11.0,Connecticut,New London County,1122,250,RI
44005,44,5,Rhode Island,Newport County,9011,9.0,11.0,Connecticut,New London County,78,45,RI
44007,44,7,Rhode Island,Providence County,9011,9.0,11.0,Connecticut,New London County,897,245,RI
44009,44,9,Rhode Island,Washington County,9011,9.0,11.0,Connecticut,New London County,5343,528,RI
44003,44,3,Rhode Island,Kent County,9013,9.0,13.0,Connecticut,Tolland County,23,26,RI
44007,44,7,Rhode Island,Providence County,9013,9.0,13.0,Connecticut,Tolland County,122,92,RI
44009,44,9,Rhode Island,Washington County,9013,9.0,13.0,Connecticut,Tolland County,33,36,RI
44003,44,3,Rhode Island,Kent County,9015,9.0,15.0,Connecticut,Windham County,160,123,RI
44007,44,7,Rhode Island,Providence County,9015,9.0,15.0,Connecticut,Windham County,1089,260,RI
44009,44,9,Rhode Island,Washington County,9015,9.0,15.0,Connecticut,Windham County,214,97,RI
44007,44,7,Rhode Island,Providence County,10003,10.0,3.0,Delaware,New Castle County,14,23,RI
44001,44,1,Rhode Island,Bristol County,11001,11.0,1.0,District of Columbia,District of Columbia,15,18,RI
44003,44,3,Rhode Island,Kent County,11001,11.0,1.0,District of Columbia,District of Columbia,7,13,RI
44005,44,5,Rhode Island,Newport County,11001,11.0,1.0,District of Columbia,District of Columbia,27,40,RI
44007,44,7,Rhode Island,Providence County,11001,11.0,1.0,District of Columbia,District of Columbia,23,31,RI
44009,44,9,Rhode Island,Washington County,11001,11.0,1.0,District of Columbia,District of Columbia,15,22,RI
44005,44,5,Rhode Island,Newport County,12011,12.0,11.0,Florida,Broward County,15,24,RI
44007,44,7,Rhode Island,Providence County,12011,12.0,11.0,Florida,Broward County,9,13,RI
44005,44,5,Rhode Island,Newport County,12031,12.0,31.0,Florida,Duval County,49,55,RI
44003,44,3,Rhode Island,Kent County,12071,12.0,71.0,Florida,Lee County,7,12,RI
44005,44,5,Rhode Island,Newport County,12086,12.0,86.0,Florida,Miami-Dade County,5,14,RI
44007,44,7,Rhode Island,Providence County,12086,12.0,86.0,Florida,Miami-Dade County,6,10,RI
44001,44,1,Rhode Island,Bristol County,12087,12.0,87.0,Florida,Monroe County,8,12,RI
44007,44,7,Rhode Island,Providence County,12095,12.0,95.0,Florida,Orange County,15,22,RI
44009,44,9,Rhode Island,Washington County,12095,12.0,95.0,Florida,Orange County,13,19,RI
44007,44,7,Rhode Island,Providence County,12099,12.0,99.0,Florida,Palm Beach County,12,21,RI
44005,44,5,Rhode Island,Newport County,12115,12.0,115.0,Florida,Sarasota County,16,25,RI
44005,44,5,Rhode Island,Newport County,13039,13.0,39.0,Georgia,Camden County,20,28,RI
