POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
53063,53,63,Washington,Spokane County,1045,1.0,45.0,Alabama,Dale County,12,16,WA
53033,53,33,Washington,King County,1073,1.0,73.0,Alabama,Jefferson County,20,28,WA
53035,53,35,Washington,Kitsap County,1073,1.0,73.0,Alabama,Jefferson County,16,24,WA
53011,53,11,Washington,Clark County,1097,1.0,97.0,Alabama,Mobile County,9,13,WA
53015,53,15,Washington,Cowlitz County,2013,2.0,13.0,Alaska,Aleutians East Borough,8,12,WA
53033,53,33,Washington,King County,2013,2.0,13.0,Alaska,Aleutians East Borough,38,31,WA
53035,53,35,Washington,Kitsap County,2013,2.0,13.0,Alaska,Aleutians East Borough,14,25,WA
53049,53,49,Washington,Pacific County,2013,2.0,13.0,Alaska,Aleutians East Borough,7,12,WA
53005,53,5,Washington,Benton County,2016,2.0,16.0,Alaska,Aleutians West Census Area,7,13,WA
53007,53,7,Washington,Chelan County,2016,2.0,16.0,Alaska,Aleutians West Census Area,46,70,WA
53033,53,33,Washington,King County,2016,2.0,16.0,Alaska,Aleutians West Census Area,146,100,WA
53035,53,35,Washington,Kitsap County,2016,2.0,16.0,Alaska,Aleutians West Census Area,25,39,WA
53041,53,41,Washington,Lewis County,2016,2.0,16.0,Alaska,Aleutians West Census Area,11,17,WA
53049,53,49,Washington,Pacific County,2016,2.0,16.0,Alaska,Aleutians West Census Area,11,18,WA
53053,53,53,Washington,Pierce County,2016,2.0,16.0,Alaska,Aleutians West Census Area,66,58,WA
53057,53,57,Washington,Skagit County,2016,2.0,16.0,Alaska,Aleutians West Census Area,29,28,WA
53061,53,61,Washington,Snohomish County,2016,2.0,16.0,Alaska,Aleutians West Census Area,51,41,WA
53063,53,63,Washington,Spokane County,2016,2.0,16.0,Alaska,Aleutians West Census Area,20,33,WA
53073,53,73,Washington,Whatcom County,2016,2.0,16.0,Alaska,Aleutians West Census Area,15,23,WA
53003,53,3,Washington,Asotin County,2020,2.0,20.0,Alaska,Anchorage Municipality,10,15,WA
53007,53,7,Washington,Chelan County,2020,2.0,20.0,Alaska,Anchorage Municipality,5,9,WA
53009,53,9,Washington,Clallam County,2020,2.0,20.0,Alaska,Anchorage Municipality,84,97,WA
53011,53,11,Washington,Clark County,2020,2.0,20.0,Alaska,Anchorage Municipality,5,10,WA
53015,53,15,Washington,Cowlitz County,2020,2.0,20.0,Alaska,Anchorage Municipality,11,17,WA
53017,53,17,Washington,Douglas County,2020,2.0,20.0,Alaska,Anchorage Municipality,2,3,WA
53029,53,29,Washington,Island County,2020,2.0,20.0,Alaska,Anchorage Municipality,12,15,WA
53033,53,33,Washington,King County,2020,2.0,20.0,Alaska,Anchorage Municipality,59,43,WA
53037,53,37,Washington,Kittitas County,2020,2.0,20.0,Alaska,Anchorage Municipality,4,11,WA
53041,53,41,Washington,Lewis County,2020,2.0,20.0,Alaska,Anchorage Municipality,11,17,WA
53043,53,43,Washington,Lincoln County,2020,2.0,20.0,Alaska,Anchorage Municipality,4,6,WA
53051,53,51,Washington,Pend Oreille County,2020,2.0,20.0,Alaska,Anchorage Municipality,9,15,WA
