POR_FIPS,POR_SFIPS,POR_COFIPS,POR_State,POR_County,POW_FIPS,POW_SFIPS,POW_COFIPS,POW_State,POW_County,Worker_Flow,MOE,ABBR
55067,55,67,Wisconsin,Langlade County,1005,1.0,5.0,Alabama,Barbour County,8,14,WI
55025,55,25,Wisconsin,Dane County,1073,1.0,73.0,Alabama,Jefferson County,20,30,WI
55063,55,63,Wisconsin,La Crosse County,1073,1.0,73.0,Alabama,Jefferson County,6,8,WI
55133,55,133,Wisconsin,Waukesha County,1081,1.0,81.0,Alabama,Lee County,10,14,WI
55081,55,81,Wisconsin,Monroe County,1089,1.0,89.0,Alabama,Madison County,3,4,WI
55107,55,107,Wisconsin,Rusk County,1089,1.0,89.0,Alabama,Madison County,3,4,WI
55025,55,25,Wisconsin,Dane County,1097,1.0,97.0,Alabama,Mobile County,6,9,WI
55049,55,49,Wisconsin,Iowa County,1097,1.0,97.0,Alabama,Mobile County,2,3,WI
55085,55,85,Wisconsin,Oneida County,1097,1.0,97.0,Alabama,Mobile County,4,4,WI
55105,55,105,Wisconsin,Rock County,1097,1.0,97.0,Alabama,Mobile County,2,3,WI
55049,55,49,Wisconsin,Iowa County,1101,1.0,101.0,Alabama,Montgomery County,7,10,WI
55127,55,127,Wisconsin,Walworth County,1101,1.0,101.0,Alabama,Montgomery County,3,4,WI
55053,55,53,Wisconsin,Jackson County,1125,1.0,125.0,Alabama,Tuscaloosa County,2,3,WI
55007,55,7,Wisconsin,Bayfield County,2020,2.0,20.0,Alaska,Anchorage Municipality,2,3,WI
55021,55,21,Wisconsin,Columbia County,2020,2.0,20.0,Alaska,Anchorage Municipality,7,10,WI
55025,55,25,Wisconsin,Dane County,2020,2.0,20.0,Alaska,Anchorage Municipality,2,3,WI
55053,55,53,Wisconsin,Jackson County,2020,2.0,20.0,Alaska,Anchorage Municipality,2,3,WI
55081,55,81,Wisconsin,Monroe County,2020,2.0,20.0,Alaska,Anchorage Municipality,3,4,WI
55105,55,105,Wisconsin,Rock County,2020,2.0,20.0,Alaska,Anchorage Municipality,26,36,WI
55125,55,125,Wisconsin,Vilas County,2020,2.0,20.0,Alaska,Anchorage Municipality,13,19,WI
55079,55,79,Wisconsin,Milwaukee County,2110,2.0,110.0,Alaska,Juneau City and Borough,15,20,WI
55009,55,9,Wisconsin,Brown County,2185,2.0,185.0,Alaska,North Slope Borough,11,18,WI
55023,55,23,Wisconsin,Crawford County,2185,2.0,185.0,Alaska,North Slope Borough,2,2,WI
55081,55,81,Wisconsin,Monroe County,2185,2.0,185.0,Alaska,North Slope Borough,3,4,WI
55087,55,87,Wisconsin,Outagamie County,2185,2.0,185.0,Alaska,North Slope Borough,2,2,WI
55011,55,11,Wisconsin,Buffalo County,2240,2.0,240.0,Alaska,Southeast Fairbanks Census Area,3,4,WI
55025,55,25,Wisconsin,Dane County,4013,4.0,13.0,Arizona,Maricopa County,16,22,WI
55035,55,35,Wisconsin,Eau Claire County,4013,4.0,13.0,Arizona,Maricopa County,24,30,WI
55059,55,59,Wisconsin,Kenosha County,4013,4.0,13.0,Arizona,Maricopa County,9,15,WI
55077,55,77,Wisconsin,Marquette County,4013,4.0,13.0,Arizona,Maricopa County,2,3,WI
55097,55,97,Wisconsin,Portage County,4013,4.0,13.0,Arizona,Maricopa County,2,3,WI
55101,55,101,Wisconsin,Racine County,4013,4.0,13.0,Arizona,Maricopa County,10,18,WI
55109,55,109,Wisconsin,St. Croix County,4013,4.0,13.0,Arizona,Maricopa County,5,10,WI
55125,55,125,Wisconsin,Vilas County,4013,4.0,13.0,Arizona,Maricopa County,2,4,WI
55127,55,127,Wisconsin,Walworth County,4013,4.0,13.0,Arizona,Maricopa County,15,16,WI
55133,55,133,Wisconsin,Waukesha County,4013,4.0,13.0,Arizona,Maricopa County,39,38,WI
55059,55,59,Wisconsin,Kenosha County,4015,4.0,15.0,Arizona,Mohave County,16,23,WI
55073,55,73,Wisconsin,Marathon County,4019,4.0,19.0,Arizona,Pima County,3,4,WI
55105,55,105,Wisconsin,Rock County,4019,4.0,19.0,Arizona,Pima County,4,6,WI
55133,55,133,Wisconsin,Waukesha County,4019,4.0,19.0,Arizona,Pima County,31,44,WI
55025,55,25,Wisconsin,Dane County,4025,4.0,25.0,Arizona,Yavapai County,5,6,WI
55031,55,31,Wisconsin,Douglas County,4025,4.0,25.0,Arizona,Yavapai County,2,3,WI
55013,55,13,Wisconsin,Burnett County,4027,4.0,27.0,Arizona,Yuma County,3,3,WI
55111,55,111,Wisconsin,Sauk County,4027,4.0,27.0,Arizona,Yuma County,1,3,WI
55005,55,5,Wisconsin,Barron County,5007,5.0,7.0,Arkansas,Benton County,4,7,WI
55009,55,9,Wisconsin,Brown County,5007,5.0,7.0,Arkansas,Benton County,10,15,WI
55021,55,21,Wisconsin,Columbia County,5007,5.0,7.0,Arkansas,Benton County,4,5,WI
55043,55,43,Wisconsin,Grant County,5007,5.0,7.0,Arkansas,Benton County,2,3,WI
55047,55,47,Wisconsin,Green Lake County,5007,5.0,7.0,Arkansas,Benton County,2,3,WI
55111,55,111,Wisconsin,Sauk County,5007,5.0,7.0,Arkansas,Benton County,5,7,WI
